execution_date,channel_id,channel_name,videos_tracked,median_views_delta,median_engagement_rate,avg_duration_seconds,shorts_ratio,total_views_delta,new_videos,top_video_id,top_video_title,top_video_views_delta,channel_growth_percentile,channel_momentum_score
2026-05-24T10:51:56.512810+00:00,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,6,11435102,0.015921,411.166667,0.833333,71284565,0,QAkEMtJpq3c,"Hit The Button, Win $1,000",27565003,100,100
2026-05-24T10:51:56.512810+00:00,UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,3,3518587,0.0016,1657,0,13870852,0,iB_GeSHg5U0,Nastya and DIY beauty salon with Friends,9781268,99.757282,99.757282
2026-05-24T10:51:56.512810+00:00,UCK8sQmJBp8GCxrOtXWBpyEA,Google,35,3436,0.020802,720.914286,0.228571,8494067,0,uW4B6ziQqvY,What is Gemini Omni?,8325091,99.514563,99.514563
2026-05-24T10:51:56.512810+00:00,UCWsDFcIhY2DBi3GB5uykGXA,IShowSpeed,5,399366,0.045896,2694.4,0.8,4964274,0,bpi1C_2a-tk,"EAT THE WORLD's BIGGEST BURGER, OR GET SPANKED 💥 💥",3842455,98.300971,98.300971
2026-05-24T10:51:56.512810+00:00,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,112,1262.5,0.015273,262.892857,0.1875,5289176,4,DZ9lpup4VZ0,Dragon Glimpse - Hindi | NTR | Anil Kapoor | Rukmini Vasanth | Ravi Basrur | Prashanth Neel,2601705,98.543689,98.543689
2026-05-24T10:51:56.512810+00:00,UCGmnsW623G1r-Chmo5RB4Yw,KSI,7,110461.5,0.025705,1086.428571,0.571429,3240119,1,A_TI_Wct288,"$1 vs $50,000 Katana",2563574,97.330097,97.330097
2026-05-24T10:51:56.512810+00:00,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,41,4964,0.086552,75,0.658537,3780365,2,V1Lr-_AxeR8,LE SSERAFIM (르세라핌) 'BOOMPALA' OFFICIAL MV,2426576,97.572816,97.572816
2026-05-24T10:51:56.512810+00:00,UCpcTrCXblq78GZrTUTLWeBw,FIFA,166,1036.5,0.020695,848.319277,0.246988,2674765,10,safzyuZNCGI,"LISA, Anitta, Rema, FIFA Sound - Goals (FIFA World Cup 2026™) [Official Music Video]",2083481,96.359223,96.359223
2026-05-24T10:51:56.512810+00:00,UC415bOPUcGSamy543abLmRA,Cleo Abram,21,62140,0.042851,106.428571,0.761905,4563441,0,H7e43lhxd4Y,The First Ever Footage of a Giant Squid,2029470,97.815534,97.815534
2026-05-24T10:51:56.512810+00:00,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,77,10334,0.044887,263.207792,0.883117,5344280,2,oW8Tb4Mpd3s,I Tested Every Zack D. Films Video,1364213,98.786408,98.786408
2026-05-24T10:51:56.512810+00:00,UCvCfpQXRXdJdL07pzTIA6Cw,Kai Cenat Live,26,62526.5,0.020675,15.653846,1,4826841,4,t5BxJhllmi4,Fanum Can't Get Over How Tall Kai Cenat Is 😭,1287724,98.058252,98.058252
2026-05-24T10:51:56.512810+00:00,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,372,216,0.019474,521.849462,0.626344,2306969,21,NgqKzgtRTL4,"#1 THUNDER at #2 SPURS | FULL GAME 3 HIGHLIGHTS | May 22, 2026",1118108,95.145631,95.145631
2026-05-24T10:51:56.512810+00:00,UCOWFKaCN-rzmYk502JFWnqg,Eze Martínez,11,11378,0.061448,222.636364,0.818182,1378546,0,VNB9_9HuXfo,¿Rojo o Azul?,1100860,92.23301,92.23301
2026-05-24T10:51:56.512810+00:00,UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,9,805,0.086305,481.666667,0.444444,1201455,0,1jKnI_ib8c8,ITZY “Motto” M/V,1045344,91.747573,91.747573
2026-05-24T10:51:56.512810+00:00,UCQznUf1SjfDqx65hX3zRDiA,DrakeVEVO,18,264125,0.028451,213.777778,0,6471686,0,SD4yRDY9mek,Drake - Janice STFU,979089,99.029126,99.029126
2026-05-24T10:51:56.512810+00:00,UC4NALVCmcmL5ntpV0thoH6w,LooLoo Kids - Nursery Rhymes and Children's Songs,6,43908,0.003685,140.833333,0.333333,1069566,1,uUwzOU2FwXo,Johny Johny Yes Papa - Learn Colors with Colorful BALLS and SuperHERO - Kids Songs & Nursery Rhymes,957628,90.533981,90.533981
2026-05-24T10:51:56.512810+00:00,UCrPseYLGpNygVi34QpGNqpA,Ludwig,26,6768,0.018403,10896.692308,0.423077,1637099,2,_iQKpZvj7UQ,Maybe I shouldn't have lied to him...,823166,93.68932,93.68932
2026-05-24T10:51:56.512810+00:00,UCE_M8A5yxnLfW0KghEeajjw,Apple,10,45281.5,0.013535,47.9,0.7,2094482,0,jQK-S-HyHgc,Watch Annie Choi turn her sketch into a fashion film,713538,94.417476,94.417476
2026-05-24T10:51:56.512810+00:00,UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,305,2286.5,0.028926,3278.737705,0.504918,7135653,29,EW-XIxlzCvE,"Saturday Night's Main Event: May 23, 2026",704228,99.271845,99.271845
2026-05-24T10:51:56.512810+00:00,UCpEhnqL0y41EpW2TvWAHD7Q,SET India,677,49,0.006933,1409.313146,0.116691,2940214,49,sMLZfk4Yg0I,क्या Team CID रोक पाएगी Mumbai पर होने वाले Attack's? | CID Season 2 | Full Episode | Ep 80,703044,96.601942,96.601942
2026-05-24T10:51:56.512810+00:00,UCYiGq8XF7YQD00x7wAd62Zg,JuegaGerman,8,49677,0.046677,2507.5,0.25,1034183,1,mHHiGoNqzS0,Sin Brazos Ni Piernas 🦵,699520,89.805825,89.805825
2026-05-24T10:51:56.512810+00:00,UC_x5XG1OV2P6uZZ5FSM9Ttw,Google for Developers,35,926,0.029187,1602.571429,0.228571,2368246,0,NkGPm95Awuo,Google I/O 2026 Developer Keynote Recap,681486,95.631068,95.631068
2026-05-24T10:51:56.512810+00:00,UCyps-v4WNjWDnYRKmZ4BUGw,Airrack,1,664190,0.021182,1547,0,664190,0,_V_wkba_kyI,I Hunted Down 100 iPhone Thieves,664190,85.92233,85.92233
2026-05-24T10:51:56.512810+00:00,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,62,11849,0.031948,912.177419,0.516129,3070443,2,ifXSKulXVvs,BLOCKED BY GM 💀,639248,97.087379,97.087379
2026-05-24T10:51:56.512810+00:00,UCeY0bbntWzzVIaj2z3QigXg,NBC News,558,76,0.011627,1533.487455,0.310036,2639443,19,B77BCyO49pQ,Thousands in California under evacuation orders amid threat of chemical explosion,625224,96.116505,96.116505
2026-05-24T10:51:56.512810+00:00,UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,3,271975,0.025233,126.666667,0.333333,893436,0,tiKgdh4Csj8,TAEYONG 태용 'WYLD' MV,621010,88.106796,88.106796
