execution_date,video_id,channel_id,channel_name,upload_date,video_age_days,views,views_delta,views_per_day_since_upload,lifecycle_stage
2026-05-05T22:35:51.664592+00:00,n-gYFcVx-8Y,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,2026-05-05T14:00:01+00:00,0.358225,1184299,931480,3306019.959523,first_24h
2026-05-05T22:35:51.664592+00:00,N5iBaZ5gnfE,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,2026-05-05T14:10:00+00:00,0.351292,452691,331119,1288645.912802,first_24h
2026-05-05T22:35:51.664592+00:00,wmeUOPjA_qc,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,2026-05-04T22:01:11+00:00,1.024082,1620423,241955,1582317.626909,early
2026-05-05T22:35:51.664592+00:00,MjWI_rWQL68,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,2026-05-03T22:00:16+00:00,2.024718,5262977,230679,2599362.973016,early
2026-05-05T22:35:51.664592+00:00,B9ocddyGfo8,UC415bOPUcGSamy543abLmRA,Cleo Abram,2026-05-04T14:12:24+00:00,1.349626,2217128,220482,1642772.145765,early
2026-05-05T22:35:51.664592+00:00,k8j-6Xvw_G4,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,2026-05-04T11:08:00+00:00,1.477681,1999401,198655,1353066.730911,early
2026-05-05T22:35:51.664592+00:00,T_LWKGJDKgo,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,2026-05-04T15:00:47+00:00,1.316026,925915,194291,703568.92645,early
2026-05-05T22:35:51.664592+00:00,0idqiLonGYI,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,2026-05-04T23:00:01+00:00,0.983225,645627,169656,656642.172443,first_24h
2026-05-05T22:35:51.664592+00:00,Fz9FjKAZ1uw,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,2026-05-05T16:00:25+00:00,0.274614,181397,166179,660552.630237,first_24h
2026-05-05T22:35:51.664592+00:00,NdU6UdUKaYc,UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,2026-05-04T07:00:20+00:00,1.649672,1125267,147408,682115.596312,early
2026-05-05T22:35:51.664592+00:00,4m_M1Wpnr2Q,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,2026-05-03T16:00:06+00:00,2.274834,2815878,145094,1237838.89286,early
2026-05-05T22:35:51.664592+00:00,jRLXiOUYpqE,UCbdSYaPD-lr1kW27UJuk8Pw,QuantumFracture,2026-05-05T13:01:20+00:00,0.398978,160801,115533,403032.247392,first_24h
2026-05-05T22:35:51.664592+00:00,fKuIJ_z2Y6A,UCMOqf8ab-42UUQIdVoKwjlQ,Practical Engineering,2026-05-05T13:01:16+00:00,0.399024,134886,97423,338039.817154,first_24h
2026-05-05T22:35:51.664592+00:00,4yDM3ZFcQm4,UCUyDOdBWhC1MCxEjC46d-zw,Alex Hormozi,2026-05-02T19:00:00+00:00,3.149904,726653,94115,230690.522632,early
2026-05-05T22:35:51.664592+00:00,9iKWeo8sWh4,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,2026-05-03T19:00:07+00:00,2.149823,2643322,91629,1229553.316715,early
2026-05-05T22:35:51.664592+00:00,SVTPv4sI_Jc,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,2026-05-03T19:26:56+00:00,2.1312,1382541,80577,648714.808559,early
2026-05-05T22:35:51.664592+00:00,n2T6AOoUkOM,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,2026-05-02T19:00:42+00:00,3.149417,2174673,79849,690500.178287,early
2026-05-05T22:35:51.664592+00:00,lDyiY5vjqaw,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,2026-05-04T16:01:14+00:00,1.274047,876702,77545,688123.750537,early
2026-05-05T22:35:51.664592+00:00,qgzwtKsXCMo,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,2026-05-01T00:29:03+00:00,4.921397,2960328,72178,601521.884944,early
2026-05-05T22:35:51.664592+00:00,TG39Ow5fepA,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,2026-05-04T19:00:23+00:00,1.149637,860332,70711,748351.001229,early
2026-05-05T22:35:51.664592+00:00,4s9LuOSR3Q4,UC7DdEm33SyaTDtWYGO2CwdA,Physics Girl,2026-05-02T13:00:15+00:00,3.39973,1221807,61074,359383.539281,early
2026-05-05T22:35:51.664592+00:00,V6VQ54eTok0,UCUyDOdBWhC1MCxEjC46d-zw,Alex Hormozi,2026-05-04T15:45:00+00:00,1.28532,316449,60369,246202.502101,early
2026-05-05T22:35:51.664592+00:00,QPWScf-86po,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,2026-04-30T17:15:02+00:00,5.222797,6189151,59724,1185026.145952,early
2026-05-05T22:35:51.664592+00:00,0xt5-FTpASM,UC1yNl2E66ZzKApQdRuTQ4tw,Sabine Hossenfelder,2026-05-05T15:00:02+00:00,0.316547,74141,59710,234217.983427,first_24h
2026-05-05T22:35:51.664592+00:00,WOTUpoI2LQA,UCOWFKaCN-rzmYk502JFWnqg,Eze Martínez,2026-04-29T17:03:06+00:00,6.231084,3254611,58658,522318.588547,early
2026-05-05T22:35:51.664592+00:00,P1DSZNhApJA,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,2026-05-02T10:16:01+00:00,3.513781,3131707,58640,891264.139683,early
2026-05-05T22:35:51.664592+00:00,IEJALLQFmDs,UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,2026-04-30T16:00:29+00:00,5.274568,4226792,55603,801353.210348,early
2026-05-05T22:35:51.664592+00:00,OrI86PV-aPg,UCDOSaJ0pnglwzfkR6fYbisA,Luis Mi Negocios,2026-05-01T17:00:30+00:00,4.23289,1582961,55566,373966.958744,early
2026-05-05T22:35:51.664592+00:00,FCaTFLdtsco,UCC552Sd-3nyi_tk2BudLUzA,AsapSCIENCE,2026-05-04T19:44:40+00:00,1.118885,142344,55200,127219.508707,early
2026-05-05T22:35:51.664592+00:00,ksn5yrsC3Wg,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,2026-04-29T20:30:53+00:00,6.08679,4185085,51946,687568.488481,early
2026-05-05T22:35:51.664592+00:00,5EWqr_Y2uH0,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,2026-05-04T19:19:00+00:00,1.136709,423705,50654,372747.114697,early
2026-05-05T22:35:51.664592+00:00,PGBt4pOj4Vc,UCNYW2vfGrUE6R5mIJYzkRyQ,DrossRotzank,2026-05-04T15:57:27+00:00,1.276674,428051,49554,335286.063631,early
2026-05-05T22:35:51.664592+00:00,BAORYfrrBzc,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,2026-05-04T19:15:00+00:00,1.139487,388607,48255,341036.799893,early
2026-05-05T22:35:51.664592+00:00,vmRbevilfpU,UCOWFKaCN-rzmYk502JFWnqg,Eze Martínez,2026-04-23T17:02:28+00:00,12.231524,7454064,42967,609414.166215,active
