execution_date,channel_id,channel_name,videos_tracked,median_views_delta,median_engagement_rate,avg_duration_seconds,shorts_ratio,total_views_delta,new_videos,top_video_id,top_video_title,top_video_views_delta,channel_growth_percentile,channel_momentum_score
2026-05-22T12:02:39.617608+00:00,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,4,12390174,0.013501,21.25,1,60104745,0,QAkEMtJpq3c,"Hit The Button, Win $1,000",30713102,100,100
2026-05-22T12:02:39.617608+00:00,UCGmnsW623G1r-Chmo5RB4Yw,KSI,4,1037293,0.020556,34,1,9779453,0,A_TI_Wct288,"$1 vs $50,000 Katana",7658687,99.57265,99.57265
2026-05-22T12:02:39.617608+00:00,UCK8sQmJBp8GCxrOtXWBpyEA,Google,8,10795,0.019341,38.875,0.875,6592791,0,uW4B6ziQqvY,What is Gemini Omni?,6523153,99.145299,99.145299
2026-05-22T12:02:39.617608+00:00,UCrPseYLGpNygVi34QpGNqpA,Ludwig,10,43237,0.029287,28,1,2827152,1,_iQKpZvj7UQ,Maybe I shouldn't have lied to him...,2034465,97.435897,97.435897
2026-05-22T12:02:39.617608+00:00,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,31,38503,0.025514,28.129032,1,3850831,1,0YW_Sct6bZM,VAR replay,1249753,98.717949,98.717949
2026-05-22T12:02:39.617608+00:00,UCWsDFcIhY2DBi3GB5uykGXA,IShowSpeed,3,280568,0.047302,33.666667,1,1436616,0,KHooqK3Hijs,iShowSpeed vs Jamal Jump Challenge,1109520,94.871795,94.871795
2026-05-22T12:02:39.617608+00:00,UCvCfpQXRXdJdL07pzTIA6Cw,Kai Cenat Live,22,52479.5,0.022923,16,1,3079327,2,t5BxJhllmi4,Fanum Can't Get Over How Tall Kai Cenat Is 😭,751544,97.863248,97.863248
2026-05-22T12:02:39.617608+00:00,UCE_M8A5yxnLfW0KghEeajjw,Apple,7,134345,0.003332,33,1,1452920,0,jQK-S-HyHgc,Watch Annie Choi turn her sketch into a fashion film,664312,95.299145,95.299145
2026-05-22T12:02:39.617608+00:00,UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,2,304178,0.014937,31.5,1,608356,0,fp77qbUJJbQ,"Break The Glass, YOU LOSE",570990,91.880342,91.880342
2026-05-22T12:02:39.617608+00:00,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,64,7205,0.046757,54.25,1,2767629,2,gNwzZxHjEOs,I Tried Anti-Scream Devices,569262,97.008547,97.008547
2026-05-22T12:02:39.617608+00:00,UC415bOPUcGSamy543abLmRA,Cleo Abram,18,58050,0.043192,53.611111,0.888889,1895271,1,Qqwn4rzZ-Dk,Is There Life on Venus?,532554,96.153846,96.153846
2026-05-22T12:02:39.617608+00:00,UC_x5XG1OV2P6uZZ5FSM9Ttw,Google for Developers,7,317433,0.003201,49.428571,1,1491104,0,s7ssP0U7QkQ,What’s new in Android (Google I/O 2026 recap),428058,95.726496,95.726496
2026-05-22T12:02:39.617608+00:00,UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,2,254826,0.01955,34,1,509652,0,NnvIwG0S8WE,Tennis Ball Cannon vs Human Strength,427512,90.598291,90.598291
2026-05-22T12:02:39.617608+00:00,UC36xmz34q02JYaZYKrMwXng,Nate Gentile,6,6473.5,0.028213,44,1,435859,0,ImKo5rVlFfI,"🤖: ""Quiero más RAM.""",411698,88.888889,88.888889
2026-05-22T12:02:39.617608+00:00,UCTv-XvfzLX3i4IGWAm4sbmA,LALIGA EA SPORTS,85,178,0.028368,18.788235,1,555742,4,i4egKreJdd0,Los 3 jugadores españoles con mejor promedio goleador son...,409058,91.025641,91.025641
2026-05-22T12:02:39.617608+00:00,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,91,5894.5,0.028564,44.076923,1,2366146,3,sUyOBppOtDs,Muslim Husband Wants 3 Wives,365612,96.581197,96.581197
2026-05-22T12:02:39.617608+00:00,UCvgfXK4nTYKudb0rFR6noLA,UFC,53,950,0.014967,28.150943,0.924528,604588,1,bN78MvnoNxQ,Carlos Prates KO's Leon Edwards #ufc,340823,91.452991,91.452991
2026-05-22T12:02:39.617608+00:00,UCpEhnqL0y41EpW2TvWAHD7Q,SET India,76,3060,0.007376,55.289474,0.815789,1077771,4,_rP6bizVcKw,Anshika-Manraj Ne Gaya 'Koi Mil Gaya' | Indian Idol S16 | #indianidol #musicshow #shorts,326220,94.444444,94.444444
2026-05-22T12:02:39.617608+00:00,UCupvZG-5ko_eiXAupbDfxWw,CNN,136,396,0.018573,48.735294,0.845588,771831,14,V_3edJ3u1O8,Vance won’t rule out compensating Jan. 6 defendants,314497,92.735043,92.735043
2026-05-22T12:02:39.617608+00:00,UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,120,4264,0.027519,33.85,1,3801637,7,cXYZ70M33cE,"With every finisher used, Roman Reigns and Jacob Fatu gave us a #WWEBacklash classic! 🙌",285711,98.290598,98.290598
2026-05-22T12:02:39.617608+00:00,UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,7,127810,0.009444,33,1,815424,1,dGlonEIK7Io,A is for Apple🍎! Learn ABCs with JJ!,269994,93.589744,93.589744
2026-05-22T12:02:39.617608+00:00,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,25,6011,0.087466,24.96,1,708275,0,eY2JASSgF-s,LE SSERAFIM (르세라핌) 'BOOMPALA' MV TEASER 2,265167,92.307692,92.307692
2026-05-22T12:02:39.617608+00:00,UCaY_-ksFSQtTGk0y1HA_3YQ,Ibai,2,128767.5,0.069625,37.5,1,257535,0,G-gtlAc65-A,A Roro se le ha ido la cabeza,253479,86.324786,86.324786
2026-05-22T12:02:39.617608+00:00,UC52hytXteCKmuOzMViTK8_w,CdeCiencia,27,2426,0.05624,22,1,457998,1,gM1DToU76x4,Misiles conducidos por PALOMAS,242418,89.316239,89.316239
2026-05-22T12:02:39.617608+00:00,UChBEbMKI1eCcejTtmI32UEw,Joshua Weissman,1,214475,0.015988,25,1,214475,0,JZy3yPf7dkc,Steak Sandwich w/@tomsegura,214475,84.188034,84.188034
2026-05-22T12:02:39.617608+00:00,UCurvRE5fGcdUgCYWgh-BDsg,DAZN Boxing,79,684,0.01338,32.620253,0.974684,788074,15,-vhmvlcRTXs,Yes or No with Rico Verhoeven 👀🍿,210920,93.162393,93.162393
2026-05-22T12:02:39.617608+00:00,UCqynl7rdtktKMQESdSBmE-g,Sapnap,2,105946.5,0.038892,45,1,211893,0,aEqsCOxrQ3Y,Minecraft Arrow Toss...,209063,83.333333,83.333333
2026-05-22T12:02:39.617608+00:00,UC55-mxUj5Nj3niXFReG44OQ,Platzi,23,16,0.026265,36.695652,1,200592,1,WZ1AGTxFHgU,"Ya párenle a la AI, ¿no? A menos que...",184985,82.478632,82.478632
2026-05-22T12:02:39.617608+00:00,UCK1i2UviaXLUNrZlAFpw_jA,El Reino Infantil,4,22485,0.008378,26.5,1,215658,1,3UW3HIfih5Y,Familia Granja ¿Dónde estás?  #Shorts #LaGranjaDeZenon,184170,84.615385,84.615385
2026-05-22T12:02:39.617608+00:00,UCM-GvgUy0EAZU7ZwXKLarkg,López-Dóriga,37,445,0.029277,35.540541,1,387073,2,Wy942KTM4pI,¡Aquí no estás en la casa de la risa! Así la entrevista con Sergio Mayer,172479,88.034188,88.034188
2026-05-22T12:02:39.617608+00:00,UC-cnbLlplnXA4oc7rR21qzg,Lyna,2,135960.5,0.011461,8.5,1,271921,0,u97JbeRu8DU,Cuando le COPIAS el OUTFIT a tu AMIGO en Brookhaven Roblox,160674,87.606838,87.606838
2026-05-22T12:02:39.617608+00:00,UCjiXtODGCCulmhwypZAWSag,Jynxzi,2,90893,0.027534,19.5,1,181786,0,dOl-IZ7uzpY,Jynxzi Gets Trolled By FAN At R6 Major 😂,159994,82.051282,82.051282
2026-05-22T12:02:39.617608+00:00,UCUBIrDsIVzRpKsClMlSlTpQ,BBC News Mundo,20,394,0.027099,49.95,0.9,157336,1,PMuja9qaKTs,Quiso probar su Tesla Cybertruck en un lago y terminó siendo detenido,134145,78.632479,78.632479
2026-05-22T12:02:39.617608+00:00,UCoGDh1Xa3kUCpok24JN5DKA,enchufetv,9,6395,0.047307,34.444444,1,177582,1,qRKYM3C5kAc,Calentamiento Mortal,132414,81.623932,81.623932
2026-05-22T12:02:39.617608+00:00,UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,4,19933,0.094479,15.5,1,171799,0,KpUycVAiDSM,ITZY “Motto” M/V TEASER 2,131132,80.34188,80.34188
2026-05-22T12:02:39.617608+00:00,UCi7TVXyvrIwqeS9tfYD8UDA,DjMaRiiO,18,1399,0.029034,22.833333,1,233998,1,-Z90xU_jaEg,EL GOLAZO DE KELVIN EN LA FINAL KINGS LEAGUE 😳 #djmariio #kingsleague,113752,85.042735,85.042735
2026-05-22T12:02:39.617608+00:00,UCRzPUBhXUZHclB7B5bURFXw,Eater,2,60193,0.027907,96,0,120386,0,v1HaeSCvIXw,It took 2 years to perfect the atta chicken at Ambassadors Clubhouse #shorts,105242,74.358974,74.358974
2026-05-22T12:02:39.617608+00:00,UCcdwLMPsaU2ezNSJU1nFoBQ,Baby Shark - Pinkfong Kids’ Songs & Stories,4,57554,0.008229,15.5,1,235484,0,8CpnQTibL10,Oh weeee #ninimo #orangecat,105066,85.470085,85.470085
2026-05-22T12:02:39.617608+00:00,UCujyjxsq5FZNVnQro51zKSQ,fuslie,11,2131.5,0.024853,34.818182,0.909091,170207,1,sttEtFlVpvM,Squeex Fails The Friendship Test,103961,79.91453,79.91453
2026-05-22T12:02:39.617608+00:00,UCUsm-fannqOY02PNN67C0KA,NMás,242,40,0.014859,48.404959,0.822314,253051,21,zDpDYPUKnAk,Policía Alerta por Venado “Ebrio” en Francia | N+,94804,85.897436,85.897436
2026-05-22T12:02:39.617608+00:00,UCiWLfSweyRNmLpgEHekhoAg,ESPN,308,43.5,0.014474,25.724026,1,480594,42,JrVxk9PZh_s,"No mercy 😂 (via @VVinzetta/X, Erin Bailey Carter)",94264,90.17094,90.17094
2026-05-22T12:02:39.617608+00:00,UCBYyJBCtCvgqA4NwtoPMwpQ,The Wild Project,6,3953,0.021212,48.5,1,113525,0,WgvMTuBZ_34,Las secuelas físicas del boxeo…,92808,73.931624,73.931624
