execution_date,channel_id,channel_name,videos_tracked,new_videos,total_views_delta,median_views_delta,avg_engagement_rate,channel_growth_7d,channel_growth_30d,channel_momentum_7d_vs_30d,channel_momentum_score,publish_frequency_7d,publish_frequency_30d,channel_consistency_score,channel_volatility_robust,top_video_id,top_video_title,top_video_views_delta,shorts_ratio,mid_ratio,long_ratio,metric_confidence_score
2026-05-18T02:10:49.522964+00:00,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,56,2,3357304,5246.5,0.048757,21792521,40254497,2.320151,90.909091,16,50,30.357143,3.75274,gNwzZxHjEOs,I Tried Anti-Scream Devices,1659210,1,0,0,100
2026-05-18T02:10:49.522964+00:00,UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,2,0,919349,459674.5,0.020265,6474094,8503155,3.263038,95.69378,1,2,66.071429,1.979772,NnvIwG0S8WE,Tennis Ball Cannon vs Human Strength,835616,1,0,0,68.5
2026-05-18T02:10:49.522964+00:00,UC415bOPUcGSamy543abLmRA,Cleo Abram,15,0,2299641,58714,0.044064,12899548,24290681,2.275925,89.952153,2,13,80.357143,1.302828,Qqwn4rzZ-Dk,Is There Life on Venus?,738441,0.866667,0.133333,0,91.25
2026-05-18T02:10:49.522964+00:00,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,25,1,1418100,21782.5,0.027996,11191071,23498202,2.041081,86.602871,8,23,50,2.432158,OlAIrZ6Wbg0,I am unemployed,539414,1,0,0,100
2026-05-18T02:10:49.522964+00:00,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,79,3,2838377,6685.5,0.029086,24962035,54187370,1.974264,85.645933,24,72,37.5,3.353795,NbcOjP9Cm0I,Financial Audit Guest Demands Money From Me,504698,1,0,0,100
2026-05-18T02:10:49.522964+00:00,UCUyDOdBWhC1MCxEjC46d-zw,Alex Hormozi,173,2,343337,116,0.034477,3224860,6146842,2.248444,88.995215,58,150,10.714286,6.012987,nZ0flY52BCM,"""How Do I Raise My Prices?""",120602,1,0,0,100
2026-05-18T02:10:49.522964+00:00,UCOWFKaCN-rzmYk502JFWnqg,Eze Martínez,7,0,275260,44497,0.055188,2893496,8470907,1.463916,82.296651,2,7,76.785714,1.577696,vmRbevilfpU,Números de la suerte 🍀,85069,1,0,0,77.25
2026-05-18T02:10:49.522964+00:00,UCF0L4jd9LcSIxsj5gKITMqQ,Jaime Higuera,267,10,143785,6,0.078761,619855,1230471,2.158947,88.038278,80,238,1.785714,12.25,kGGyPqVkXzw,Estas son las personas más raras que existen #shorts,52823,0.861423,0.138577,0,100
2026-05-18T02:10:49.522964+00:00,UC52hytXteCKmuOzMViTK8_w,CdeCiencia,24,1,173645,4189,0.056075,3017983,10047991,1.287244,80.861244,7,22,32.142857,3.682904,LQqiD5i1Gpo,El falso reportaje de los espaguetis,44662,1,0,0,100
2026-05-18T02:10:49.522964+00:00,UC36xmz34q02JYaZYKrMwXng,Nate Gentile,3,0,39198,3733,0.027921,352068,357948,4.215313,97.129187,2,3,58.928571,2.177536,YV809R2NV7s,El PC que nunca vio la luz 😢,35309,1,0,0,70.25
2026-05-18T02:10:49.522964+00:00,UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,3,1,29739,14869.5,0.023361,37913,75814,2.143196,87.559809,2,3,67.857143,1.86442,DD92j9P2p3s,YOU NEVER TRULY ARRIVE,29256,1,0,0,70.25
2026-05-18T02:10:49.522964+00:00,UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,11,0,20336,213,0.026486,186358,308910,2.585469,92.822967,3,11,53.571429,2.30014,duDgVfn1lCk,Rating self-help & productivity books,17638,1,0,0,84.25
2026-05-18T02:10:49.522964+00:00,UChhw6DlKKTQ9mYSpTfXUYqA,Starter Story,7,1,12629,150.5,0.025771,30364,54810,2.374228,91.866029,2,6,51.785714,2.414894,O12RoSwTum4,Genius app store keyword trick that made him $50K per month,11936,1,0,0,77.25
2026-05-18T02:10:49.522964+00:00,UCdNnEDbRWhanA1O8zhCn3ZA,Omar - Educación Financiera,12,1,20919,578,0.050376,103887,146632,3.036377,95.215311,6,11,17.857143,5.017007,-K1kl2SsKA8,¿Nu puede cerrarte cuentas? #shorts #nu #dinero #ahorros,10813,0.416667,0.583333,0,86
2026-05-18T02:10:49.522964+00:00,UCyJbb85EUgWjl38GcF236Jg,Eva Maria Beristain,2,0,9336,4668,0.026382,73210,119933,2.616104,93.301435,1,1,5.357143,8.036559,nZ4JI34_Q_g,Bts en México: de quién es culpa que haya sucedido esto?,9095,1,0,0,64.75
2026-05-18T02:10:49.522964+00:00,UC5PwIMtLiIBCBhsu8f_-6UQ,Santiago Bilinkis,9,1,9341,96,0.044259,110504,140892,3.361359,96.172249,2,9,55.357143,2.297619,IGCKBKoplVE,Subió a un avión con trabajo y aterrizó cancelada mundialmente,8573,1,0,0,80.75
2026-05-18T02:10:49.522964+00:00,UCM55RjebjSevVWPnj2LEymw,viyaura,11,0,25422,1198,0.063235,322538,594044,2.326942,91.38756,5,10,78.571429,1.509901,KS53Z_21WTU,drawing with a magic RAINBOW🌈 brush! #art  #draw #drawing,7865,1,0,0,84.25
2026-05-18T02:10:49.522964+00:00,UCqLiW00gUvXG0J5vlZZNJ1g,FranqitoM,1,0,4955,4955,0.059957,166550,668940,1.06704,80.382775,0,1,82.142857,1.274422,U5l0Z8T4tCk,Spotify ?,4955,1,0,0,59.25
2026-05-18T02:10:49.522964+00:00,UC1viRct91s1a3Z5yvk7FJXw,Diego Ruzzarin,1,0,4771,4771,0.071715,131957,131957,4.285714,98.325359,1,1,98.214286,0.511887,ArA_8v8LTfY,"hay una CRISIS en China, ¡todo mundo tiene casa propia!",4771,1,0,0,50.5
2026-05-18T02:10:49.522964+00:00,UC55-mxUj5Nj3niXFReG44OQ,Platzi,21,0,15825,15,0.034419,47288,102125,1.984459,86.124402,9,20,25,4.125,uHoNRyucic8,"Platzi lanza AI Academy, la ruta completa para dominar IA",4519,1,0,0,100
2026-05-18T02:10:49.522964+00:00,UCaVPhFg-Ax873wvhbNitsrQ,El Robot de Platón,8,1,8560,405,0.055508,105424,240583,1.878009,85.167464,3,7,46.428571,2.991525,ejSs5hNQVJU,La Gran Mentira del Efecto Coriolis,3833,1,0,0,79
2026-05-18T02:10:49.522964+00:00,UCPdaxSov0mgwh77JvjQO2jQ,Man Carrying Thing,4,1,6480,2010,0.101523,207665,262248,3.393707,96.650718,2,4,75,1.762462,QHE2QO8peRA,high gas prices when a Democrat is president vs a Republican,3404,1,0,0,72
2026-05-18T02:10:49.522964+00:00,UCQX_MZRCaluNKxkywkLEgfA,Date un Vlog,5,0,9623,1679,0.052236,9623,9623,4.285714,98.325359,0,0,100,0.450864,kKkiGPUnIds,¿Un camión con antimateria?,3080,0,1,0,55
2026-05-18T02:10:49.522964+00:00,UC7DdEm33SyaTDtWYGO2CwdA,Physics Girl,2,0,4497,2248.5,0.035411,97493,827111,0.505165,76.076555,1,2,94.642857,0.856844,4s9LuOSR3Q4,What would happen if the Sun dissapeared?,2812,1,0,0,68.5
2026-05-18T02:10:49.522964+00:00,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,1,0,2719,2719,0.020157,31405,161951,0.831071,78.4689,0,0,92.857143,0.8858,iRach9lpIlg,Wombats Poop Cubes,2719,1,0,0,64.25
2026-05-18T02:10:49.522964+00:00,UCwd_qoS94df5orGoPLPnsxQ,Franco Pisso,7,0,7777,831,0.059694,45700,45700,4.285714,99.760766,7,7,85.714286,1.116755,aZIez8G50b0,YA lo sos...,2666,1,0,0,77.25
2026-05-18T02:10:49.522964+00:00,UCyM-2pRapEv6V2q7UNO9icg,Emprende Aprendiendo,19,0,2896,7,0.027179,365887,587307,2.669962,93.779904,0,17,21.428571,4.641221,pwcrn5bdr9c,Se hizo millonaria reinventando la ropa de gimnasio,2336,1,0,0,98.25
2026-05-18T02:10:49.522964+00:00,UCEQXxiYxNZbym9Fad7-n2Lg,Doctor Fisión,4,0,2712,410.5,0.064713,30059,62955,2.046292,87.08134,1,3,64.285714,2.039216,jFZPpkVszCg,ESTE ES EL MAPA 3D MÁS GRANDE DEL UNIVERSO 🌌,1859,1,0,0,72
2026-05-18T02:10:49.522964+00:00,UCP15FVAA2UL-QOcGhy7-ezA,EDteam,5,0,1478,5,0.053768,8639,16279,2.274359,89.473684,1,4,42.857143,3.184211,cM9zl9_dG94,La IA está trayendo una epidemia de soledad,1422,0.8,0.2,0,73.75
2026-05-18T02:10:49.522964+00:00,UCtT7zEoC9-HNyLYb8cYWoww,Ale Marin,27,9,4821,68,0.035804,31545,31545,4.285714,98.325359,27,27,44.642857,3.018382,j1KoQc0Y-14,Duki es el mejor artista.,1012,1,0,0,100
2026-05-18T02:10:49.522964+00:00,UCWn_0MmgojB711LFX-jaCDQ,El Rincón Del Dev,8,0,2147,25.5,0.045727,7268,16840,1.849678,84.688995,3,7,14.285714,5.777778,JXbzY02jMZQ,Ejecuta cualquier modelo de IA en local ✌🏻 #desarrolloweb #programacion,970,1,0,0,79
2026-05-18T02:10:49.522964+00:00,UCzR-rom72PHN9Zg7RML9EbA,PBS Eons,2,0,1071,535.5,0.038074,15576,43924,1.519768,83.253589,0,2,69.642857,1.826319,Re9uBHP_Aqo,Did this ancient mole go on an adventure?,947,1,0,0,68.5
2026-05-18T02:10:49.522964+00:00,UC5mQQ4Ur6oA8lsGFkvH2lyg,Noche De Chicxs,9,0,891,3,0.029241,9388,59414,0.677185,77.511962,2,9,28.571429,3.770833,iY0N2tAyDGU,Te mereces un martillazo #chisme #comedia #podcast,840,1,0,0,80.75
2026-05-18T02:10:49.522964+00:00,UC52kszkc08-acFOuogFl5jw,Tibees,2,0,1217,608.5,0.048749,15319,43413,1.512286,82.77512,1,1,83.928571,1.220789,dGjYPrNNjyM,ℵ₀ explained David Attenborough style,782,1,0,0,63.5
2026-05-18T02:10:49.522964+00:00,UCxFACDJ98idvo9Gq9M9AQgg,Moris Dieck | Finanzas e Inversiones ,4,0,717,6,0.039131,2837,5248,2.316801,90.430622,1,3,39.285714,3.333333,MyIJYM4kByU,¿Cómo la IA multiplica tu capacidad?,702,1,0,0,72
2026-05-18T02:10:49.522964+00:00,UCEK0oX3X2yK9y27khCsrNKg,Mis Propias Finanzas,16,1,1157,9,0.041697,7108,19668,1.548854,83.732057,5,15,7.142857,6.105263,38xA_7ePYr8,5 empresas que te pagan por tener sus acciones,660,1,0,0,93
2026-05-18T02:10:49.522964+00:00,UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,6,1,765,154,0.031265,16233,38622,1.801305,84.210526,2,6,35.714286,3.422819,0dlCWrqFoeM,Prompting Framework For Top 10% AI Users,332,1,0,0,75.5
2026-05-18T02:10:49.522964+00:00,UCvPGx8qh8AkrFZW06tESvaA,Dot Dager,5,0,471,34,0.052542,15326,22764,2.885383,94.736842,1,5,62.5,2.099237,vtjFXdFGkBc,DE CHULO AL PROGRAMADOR #dev #programacion,332,1,0,0,73.75
2026-05-18T02:10:49.522964+00:00,UCjSVqRtdOsxQDss_pJpp_Yg,COMPUESTOS Podcast,19,1,455,0,0.042201,16892,28461,2.543631,92.344498,3,18,0,27.75,ImmxcdpyBUE,Checklist Para Invertir En 2026 📊 #Compuestos #AndresGarza #Cometa #Invertir,324,1,0,0,98.25
2026-05-18T02:10:49.522964+00:00,UCoXtmmnLCbXDiSo8GxsmOzA,La gata de Schrödinger,1,0,308,308,0.04021,38584,59498,2.779253,94.258373,0,1,89.285714,1.032121,EJBfmLrc-iw,¿Esto es lo que ven los niños ahora?,308,1,0,0,54.25
2026-05-18T02:10:49.522964+00:00,UCl5-lvQyfILb-l2abPk4Ntg,Inteligencia Artificial,67,0,2779,6,0.027523,46857,270413,0.742626,77.990431,21,58,8.928571,6.058824,uHxqeL7QELA,👉🏻 Te dejo el PROMPT para mejorar tus fotos borrosas fijado en los comentarios de este vídeo.,279,1,0,0,100
2026-05-18T02:10:49.522964+00:00,UC9mrBfjgyOsqJ0J-zw7kZLQ,Atherion,10,0,468,19,0.088231,6342,20008,1.358457,81.818182,1,9,57.142857,2.183673,vdVZamczBJ0,¿qué abre la llave?,248,1,0,0,82.5
2026-05-18T02:10:49.522964+00:00,UCC552Sd-3nyi_tk2BudLUzA,AsapSCIENCE,1,0,188,188,0.03404,6568,28389,0.991531,79.904306,0,0,87.5,1.10613,MKL0tk-3UM8,Send this to a dad you know,188,1,0,0,56.75
2026-05-18T02:10:49.522964+00:00,UCYZLVhSSwdBllvn4tw5a4uQ,Rob Paper Sheet,2,0,167,83.5,0.051513,1656,7790,0.911058,78.947368,0,2,71.428571,1.807339,-6t20SnbOyc,"Un buen clasista no es aquel que juzga, es que el describe la realidad.",148,1,0,0,68.5
2026-05-18T02:10:49.522964+00:00,UCDOSaJ0pnglwzfkR6fYbisA,Luis Mi Negocios,1,0,130,130,0.070513,3063,22671,0.579028,76.555024,0,0,91.071429,0.956522,6CyjL4X8e7g,Estas PALABRAS destruyen la MENTALIDAD FINANCIERA de tus HIJOS,130,1,0,0,56.75
2026-05-18T02:10:49.522964+00:00,UCBBWpss2iXVXtTzl7-4eWbg,Jessica Fernández García,1,0,120,120,0.03134,1336,1336,4.285714,98.325359,1,1,96.428571,0.848185,sHXJob_Yxmw,Escúchalo completo en Más Allá del Rosa en YouTube,120,1,0,0,48
2026-05-18T02:10:49.522964+00:00,UC4FHiPgS1KXkUMx3dxBUtPg,HolaMundo,7,0,156,10,0.040886,7163,31488,0.974929,79.425837,0,6,33.928571,3.435897,Ocx5uE7vjIw,¿se puede programar con agentes con 32GB de RAM?,98,1,0,0,77.25
