execution_date,channel_id,channel_name,videos_tracked,new_videos,total_views,total_views_delta,total_likes_delta,total_comments_delta,avg_engagement_rate,median_views_delta,top_video_id,top_video_title,top_video_views_delta,shorts_count,mid_count,long_count
2026-05-18T02:10:49.522964+00:00,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,56,2,86440649,3357304,124845,842,0.048757,5246.5,gNwzZxHjEOs,I Tried Anti-Scream Devices,1659210,56,0,0
2026-05-18T02:10:49.522964+00:00,UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,2,0,18185489,919349,13779,27,0.020265,459674.5,NnvIwG0S8WE,Tennis Ball Cannon vs Human Strength,835616,2,0,0
2026-05-18T02:10:49.522964+00:00,UC415bOPUcGSamy543abLmRA,Cleo Abram,15,0,50063944,2299641,71761,507,0.044064,58714,Qqwn4rzZ-Dk,Is There Life on Venus?,738441,13,2,0
2026-05-18T02:10:49.522964+00:00,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,25,1,49028574,1418100,26207,179,0.027996,21782.5,OlAIrZ6Wbg0,I am unemployed,539414,25,0,0
2026-05-18T02:10:49.522964+00:00,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,79,3,117848029,2838377,86742,1527,0.029086,6685.5,NbcOjP9Cm0I,Financial Audit Guest Demands Money From Me,504698,79,0,0
2026-05-18T02:10:49.522964+00:00,UCUyDOdBWhC1MCxEjC46d-zw,Alex Hormozi,173,2,10985932,343337,8973,95,0.034477,116,nZ0flY52BCM,"""How Do I Raise My Prices?""",120602,173,0,0
2026-05-18T02:10:49.522964+00:00,UCOWFKaCN-rzmYk502JFWnqg,Eze Martínez,7,0,19882246,275260,10817,136,0.055188,44497,vmRbevilfpU,Números de la suerte 🍀,85069,7,0,0
2026-05-18T02:10:49.522964+00:00,UCF0L4jd9LcSIxsj5gKITMqQ,Jaime Higuera,267,10,3041934,143785,7461,201,0.078761,6,kGGyPqVkXzw,Estas son las personas más raras que existen #shorts,52823,230,37,0
2026-05-18T02:10:49.522964+00:00,UC52hytXteCKmuOzMViTK8_w,CdeCiencia,24,1,23203911,173645,8791,75,0.056075,4189,LQqiD5i1Gpo,El falso reportaje de los espaguetis,44662,24,0,0
2026-05-18T02:10:49.522964+00:00,UC36xmz34q02JYaZYKrMwXng,Nate Gentile,3,0,851964,39198,988,8,0.027921,3733,YV809R2NV7s,El PC que nunca vio la luz 😢,35309,3,0,0
2026-05-18T02:10:49.522964+00:00,UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,3,1,292522,29739,333,13,0.023361,14869.5,DD92j9P2p3s,YOU NEVER TRULY ARRIVE,29256,3,0,0
2026-05-18T02:10:49.522964+00:00,UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,11,0,428967,20336,530,6,0.026486,213,duDgVfn1lCk,Rating self-help & productivity books,17638,11,0,0
2026-05-18T02:10:49.522964+00:00,UChhw6DlKKTQ9mYSpTfXUYqA,Starter Story,7,1,138258,12629,170,2,0.025771,150.5,O12RoSwTum4,Genius app store keyword trick that made him $50K per month,11936,7,0,0
2026-05-18T02:10:49.522964+00:00,UCdNnEDbRWhanA1O8zhCn3ZA,Omar - Educación Financiera,12,1,399970,20919,871,14,0.050376,578,-K1kl2SsKA8,¿Nu puede cerrarte cuentas? #shorts #nu #dinero #ahorros,10813,5,7,0
2026-05-18T02:10:49.522964+00:00,UCyJbb85EUgWjl38GcF236Jg,Eva Maria Beristain,2,0,255485,9336,293,4,0.026382,4668,nZ4JI34_Q_g,Bts en México: de quién es culpa que haya sucedido esto?,9095,2,0,0
2026-05-18T02:10:49.522964+00:00,UC5PwIMtLiIBCBhsu8f_-6UQ,Santiago Bilinkis,9,1,387538,9341,217,9,0.044259,96,IGCKBKoplVE,Subió a un avión con trabajo y aterrizó cancelada mundialmente,8573,9,0,0
2026-05-18T02:10:49.522964+00:00,UCM55RjebjSevVWPnj2LEymw,viyaura,11,0,1732565,25422,890,35,0.063235,1198,KS53Z_21WTU,drawing with a magic RAINBOW🌈 brush! #art  #draw #drawing,7865,11,0,0
2026-05-18T02:10:49.522964+00:00,UCqLiW00gUvXG0J5vlZZNJ1g,FranqitoM,1,0,886932,4955,213,1,0.059957,4955,U5l0Z8T4tCk,Spotify ?,4955,1,0,0
2026-05-18T02:10:49.522964+00:00,UC1viRct91s1a3Z5yvk7FJXw,Diego Ruzzarin,1,0,309825,4771,265,5,0.071715,4771,ArA_8v8LTfY,"hay una CRISIS en China, ¡todo mundo tiene casa propia!",4771,1,0,0
2026-05-18T02:10:49.522964+00:00,UC55-mxUj5Nj3niXFReG44OQ,Platzi,21,0,229137,15825,651,19,0.034419,15,uHoNRyucic8,"Platzi lanza AI Academy, la ruta completa para dominar IA",4519,21,0,0
