execution_date,channel_id,channel_name,video_id,title,video_age_days,duration_bucket,content_format,views_delta,likes_delta,comments_delta,engagement_rate,comment_rate,age_adjusted_views_velocity,age_adjusted_growth_percentile,channel_median_views_delta,channel_relative_growth_ratio,channel_relative_growth_log,channel_relative_success_score,format_median_views_delta,format_relative_growth_ratio,current_period_views_delta,previous_period_views_delta,growth_acceleration,growth_acceleration_ratio,growth_trend_label,growth_acceleration_score,peak_velocity,current_velocity,decay_resistance_score,short_term_success_score,mid_term_success_score,long_term_success_score,overall_success_score,trend_burst_score,evergreen_score,packaging_problem_score,metadata_changed,metadata_lift_status,metadata_lift_ratio,growth_volatility_robust,metric_confidence_score,success_horizon_label
2026-05-23T10:46:33.792278+00:00,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,QAkEMtJpq3c,"Hit The Button, Win $1,000",7.78222,short,shorts,25076463,112841,2137,0.006841,0.0002,26475569.796322,100,11114420,2.25621,0.813686,64.84325,99,253297.606061,25076463,30713102,-5636639,0.816474,stable,39.601538,47705142.535167,26475569.796322,55.498356,,65.787049,,65.787049,,,0,False,insufficient_history,,0.504931,71,mid_term
2026-05-23T10:46:33.792278+00:00,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,dqpCvSU-ECE,If This Goes In You Have To Subscribe,5.782336,short,shorts,11226495,86157,514,0.011699,0.000254,11852861.862559,99.984005,11114420,1.010084,0.010033,51.519514,99,113398.939394,11226495,13659143,-2432648,0.821903,stable,39.601538,13910444.625484,11852861.862559,85.208361,,70.104616,,70.104616,65.803955,,0,False,insufficient_history,,0.350967,71,mid_term
2026-05-23T10:46:33.792278+00:00,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,SllXaJiQjBA,Every Youtube Play Button,3.782312,short,shorts,11002345,114574,1390,0.01326,0.000394,11616205.721306,99.96801,11114420,0.989916,-0.010135,47.792706,99,111134.79798,11002345,11121205,-118860,0.989312,stable,39.601538,17520246.120753,11616205.721306,66.301613,,,,,69.627259,,0,False,insufficient_history,,0.010688,64,mid_term
2026-05-23T10:46:33.792278+00:00,UCK8sQmJBp8GCxrOtXWBpyEA,Google,uW4B6ziQqvY,What is Gemini Omni?,3.648435,mid,shorts,8130871,166,8,0.000157,0.000014,8584521.775076,99.952015,4544,1789.364217,7.489396,99.840051,55.5,146502.18018,8130871,6523153,1607718,1.246463,stable,100,8584521.775076,8584521.775076,100,,,,,82.92508,,0,False,insufficient_history,,0.772874,68,mid_term
2026-05-23T10:46:33.792278+00:00,UCGmnsW623G1r-Chmo5RB4Yw,KSI,A_TI_Wct288,"$1 vs $50,000 Katana",7.759546,short,shorts,6657670,87069,199,0.017929,0.000059,7029125.549559,99.93602,478565,13.911736,2.632731,85.09277,99,67249.191919,6657670,7658687,-1001017,0.869297,stable,39.601538,11115126.086905,7029125.549559,63.239279,,79.740017,,79.740017,,,0,False,insufficient_history,,0.230847,70,mid_term
2026-05-23T10:46:33.792278+00:00,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,hCuqh2NU2Yg,World's Fastest Date,10.782255,short,shorts,4991177,59913,162,0.020078,0.000137,5269652.862499,99.920026,11114420,0.449072,-0.800572,33.06142,99,50415.929293,4991177,4611295,379882,1.082381,stable,99.965047,5781681.649744,5269652.862499,91.143947,,72.201517,,72.201517,,,7.127927,False,insufficient_history,,0.102138,71,mid_term
2026-05-23T10:46:33.792278+00:00,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,ifXSKulXVvs,BLOCKED BY GM 💀,0.954905,short,shorts,1594587,60284,384,0.038282,0.000266,1683554.790594,99.904031,38181,41.763888,3.732006,92.258477,99,16106.939394,1594587,,,,unknown,,1683554.790594,1683554.790594,100,86.712121,,,86.712121,58.71354,,24.787795,False,insufficient_history,,,72,short_term
2026-05-23T10:46:33.792278+00:00,UCvCfpQXRXdJdL07pzTIA6Cw,Kai Cenat Live,tjI02tprC7I,Kai Cenat Can't Believe How Fast BadLandsChugs Drank A Giant Drink 😂,1.705727,short,shorts,1551809,20823,243,0.01601,0.000203,1638390.050864,99.888036,64933,23.898619,3.173806,89.011516,99,15674.838384,1551809,,,,unknown,,1638390.050864,1638390.050864,100,76.756914,,,76.756914,52.038555,,0,False,insufficient_history,,,72,short_term
2026-05-23T10:46:33.792278+00:00,UCvCfpQXRXdJdL07pzTIA6Cw,Kai Cenat Live,t5BxJhllmi4,Fanum Can't Get Over How Tall Kai Cenat Is 😭,4.745194,short,shorts,1460169,33109,41,0.024376,0.000056,1541637.122984,99.872041,64933,22.487318,3.112937,88.691619,99,14749.181818,1460169,751544,708625,1.942892,stable,99.982524,1839045.402528,1541637.122984,83.828117,,87.207801,,87.207801,81.237306,,8.610644,False,insufficient_history,,0.515509,82.5,mid_term
2026-05-23T10:46:33.792278+00:00,UCvCfpQXRXdJdL07pzTIA6Cw,Kai Cenat Live,KVSi1Cr1VFo,Ice Spice Was Confused By Kai Cenat 😂,1.720194,short,shorts,1441413,28667,76,0.022031,0.00006,1521834.657736,99.856046,64933,22.198466,3.100008,88.595649,99,14559.727273,1441413,,,,unknown,,1521834.657736,1521834.657736,100,79.57746,,,79.57746,52.608179,,3.820185,False,insufficient_history,,,72,short_term
