execution_date,channel_id,channel_name,video_id,title,views_delta,engagement_rate,video_age_days,content_format,metadata_changed,growth_percentile,engagement_percentile,freshness_score,growth_robust_z,channel_median_views_delta,video_vs_channel_median_growth,relative_growth_percentile,metadata_change_score,alpha_score,opportunity_score,anomaly_score,anomaly_method
2026-05-18T12:49:30.314781+00:00,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,QAkEMtJpq3c,"Hit The Button, Win $1,000",22910648,0.009588,2.867596,shorts,False,100,11.461022,66.387821,3.666048,3305183,6.931734,80.894638,0,63.429305,60.296247,73.32096,robust_z
2026-05-18T12:49:30.314781+00:00,UCGmnsW623G1r-Chmo5RB4Yw,KSI,A_TI_Wct288,"$1 vs $50,000 Katana",3790704,0.021519,2.844923,shorts,False,99.973053,48.01239,66.603199,3.129537,219394,17.278066,88.790084,0,72.341543,72.230471,62.59074,robust_z
2026-05-18T12:49:30.314781+00:00,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,hCuqh2NU2Yg,World's Fastest Date,3305183,0.022614,5.867631,shorts,False,99.946106,50.800207,43.247403,3.088663,3305183,1,50.673673,0,61.763024,55.494701,61.77326,robust_z
2026-05-18T12:49:30.314781+00:00,UCvCfpQXRXdJdL07pzTIA6Cw,Kai Cenat Live,PJmv9cFz6bw,Kai Cenat & Druski Thought They Would Win The MVP Award 😂,2518206,0.012854,0.967122,shorts,False,99.919159,22.999484,87.095908,3.007564,88460.5,28.467011,91.996766,0,71.035342,70.676376,60.15128,robust_z
2026-05-18T12:49:30.314781+00:00,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,dqpCvSU-ECE,If This Goes In You Have To Subscribe,866851,0.055264,0.867712,shorts,False,99.892212,88.358286,88.341619,2.689534,3305183,0.26227,24.090542,0,70.703283,63.462182,53.79068,robust_z
2026-05-18T12:49:30.314781+00:00,UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,fp77qbUJJbQ,"Break The Glass, YOU LOSE",786522,0.018338,4.618916,shorts,False,99.865265,39.287558,51.693138,2.660533,403307.5,1.950179,64.10671,0,63.385667,58.781959,53.21066,robust_z
2026-05-18T12:49:30.314781+00:00,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,gNwzZxHjEOs,I Tried Anti-Scream Devices,668194,0.044362,2.815536,shorts,False,99.838319,82.42127,66.883397,2.611911,4063.5,164.438046,98.140663,0,81.088308,84.13085,52.23822,robust_z
2026-05-18T12:49:30.314781+00:00,UCvCfpQXRXdJdL07pzTIA6Cw,Kai Cenat Live,C-nqRY6WLZQ,Druski Is Shocked By How Much Kai Cenat Looks Like Diddy 😭,638671,0.016351,0.962735,shorts,False,99.811372,33.815178,87.150509,2.598435,88460.5,7.219844,81.379682,0,71.045529,69.655012,51.9687,robust_z
2026-05-18T12:49:30.314781+00:00,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,V52uRy6jcLs,I Bought The World’s Itchiest Shirt,437571,0.045507,0.815559,shorts,False,99.784425,83.273103,89.00226,2.485663,4063.5,107.683278,97.278362,0,84.385181,87.903372,49.71326,robust_z
2026-05-18T12:49:30.314781+00:00,UCvCfpQXRXdJdL07pzTIA6Cw,Kai Cenat Live,CzuO_VH3lEc,Ed Sheeran Has Unlimited Aura 🔥,402453,0.01807,2.019298,shorts,False,99.757478,38.255034,74.940843,2.460714,88460.5,4.549522,76.313662,0,69.069983,66.845746,49.21428,robust_z
2026-05-18T12:49:30.314781+00:00,UC415bOPUcGSamy543abLmRA,Cleo Abram,Qqwn4rzZ-Dk,Is There Life on Venus?,374884,0.03869,2.924112,shorts,False,99.730531,77.981415,65.853982,2.439552,25791,14.535458,87.361897,0,77.852446,79.049308,48.79104,robust_z
2026-05-18T12:49:30.314781+00:00,UCWsDFcIhY2DBi3GB5uykGXA,IShowSpeed,Yztdy5_sdrk,I WENT SWIMMING WITH SHARKS!! 😳🦈,347092,0.02686,5.908673,shorts,False,99.703584,60.996386,42.994579,2.416582,192009,1.807686,62.974939,0,66.139706,62.262504,48.33164,robust_z
2026-05-18T12:49:30.314781+00:00,UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,NnvIwG0S8WE,Tennis Ball Cannon vs Human Strength,307278,0.018408,3.992203,shorts,False,99.676637,39.442437,56.534749,2.380248,170571.5,1.801462,62.867152,0,63.828953,59.201105,47.60496,robust_z
2026-05-18T12:49:30.314781+00:00,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,oGTO67JoZDQ,I Hired a Hood Translator For Financial Audit,253940,0.047718,2.617122,shorts,False,99.64969,84.589572,68.806321,2.323391,4240,59.891509,95.311237,0,81.178501,83.986128,46.46782,robust_z
2026-05-18T12:49:30.314781+00:00,UC415bOPUcGSamy543abLmRA,Cleo Abram,pag8Ncc7AwQ,What’s Really Inside The Earth?,242077,0.035092,4.909217,shorts,False,99.622743,74.135261,49.593187,2.309124,25791,9.386104,83.535435,0,73.841077,73.884005,46.18248,robust_z
2026-05-18T12:49:30.314781+00:00,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,RiLQQgGR-0k,LE SSERAFIM (르세라핌) BOOMPALA PREVIEW,241534,0.070673,0.909367,shorts,False,99.595796,93.185338,87.817484,2.308454,1897,127.324196,97.601725,0,86.188564,90.254262,46.16908,robust_z
2026-05-18T12:49:30.314781+00:00,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,d06f3qGr5kk,"Interior Designer Got FIRED From $60,000 Job",238100,0.037533,0.867006,shorts,False,99.568849,76.871451,88.350529,2.304184,4240,56.15566,95.095662,0,82.495099,85.387236,46.08368,robust_z
2026-05-18T12:49:30.314781+00:00,UC16niRr50-MSBwiO3YDb3RA,BBC News,nSudd0nmSug,Crew safe after fighter jets collide at US air show #BBCNews,230906,0.014751,0.452006,shorts,False,99.541902,28.704182,93.746835,2.295034,215.5,1071.489559,99.784425,0,74.599412,75.926123,45.90068,robust_z
2026-05-18T12:49:30.314781+00:00,UCrPseYLGpNygVi34QpGNqpA,Ludwig,ovGkbc1xJBE,She fooled me...,230410,0.038198,2.233893,shorts,False,99.514956,77.465152,72.678283,2.294393,28351,8.12705,82.322824,0,77.689572,78.313093,45.88786,robust_z
2026-05-18T12:49:30.314781+00:00,UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,unE54lfBBek,Bron Breakker had an answer for everything Seth Rollins did. 😳🔥,226446,0.008928,6.694274,shorts,False,99.488009,9.215281,38.430266,2.289218,2901.5,78.04446,96.308273,0,61.690054,60.147414,45.78436,robust_z
2026-05-18T12:49:30.314781+00:00,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,ImG1BgHsqHk,Movie Scenes That Led To Lawsuits,221677,0.04285,6.732284,shorts,False,99.461062,81.117708,38.222155,2.28287,4063.5,54.553218,94.960927,0,75.760422,77.610314,45.6574,robust_z
2026-05-18T12:49:30.314781+00:00,UCGmnsW623G1r-Chmo5RB4Yw,KSI,vqRnyKrXky0,Can You Guess The Baby Footballer? (Ft. HAALAND),219394,0.020429,6.069193,shorts,False,99.434115,44.992256,42.019871,2.279783,219394,1,50.673673,0,60.238107,53.738297,45.59566,robust_z
2026-05-18T12:49:30.314781+00:00,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,pNKYBp67ZO4,Uno Chess,218228,0.04184,0.974656,shorts,False,99.407168,80.330408,87.002218,2.278194,9128,23.907537,90.945837,0,82.098091,84.535288,45.56388,robust_z
2026-05-18T12:49:30.314781+00:00,UC-cnbLlplnXA4oc7rR21qzg,Lyna,u97JbeRu8DU,Cuando le COPIAS el OUTFIT a tu AMIGO en Brookhaven Roblox,218132,0.009133,5.787886,shorts,False,99.380221,9.963862,43.742901,2.278063,157607.5,1.38402,58.663433,0,55.069971,48.069713,45.56126,robust_z
2026-05-18T12:49:30.314781+00:00,UCoLrcjPV5PbUrUyXq5mjc_A,MLB,d-UTn28SjVo,When baseballs collide 🫣,216686,0.00779,2.511265,shorts,False,99.353274,6.2984,69.854747,2.276079,382.5,566.499346,99.488009,0,66.40914,66.006807,45.52158,robust_z
2026-05-18T12:49:30.314781+00:00,UCvCfpQXRXdJdL07pzTIA6Cw,Kai Cenat Live,FHH5soWiHVM,Victoria Justice Tries Kai Cenat's Folding Bed 😂,188616,0.018251,4.912967,shorts,False,99.326327,38.848735,49.566627,2.234706,88460.5,2.132206,65.858259,0,63.140607,58.818841,44.69412,robust_z
2026-05-18T12:49:30.314781+00:00,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,NbcOjP9Cm0I,Financial Audit Guest Demands Money From Me,186073,0.038346,1.617469,shorts,False,99.29938,77.620031,79.368629,2.230658,4240,43.885142,94.044732,0,80.99303,83.587565,44.61316,robust_z
2026-05-18T12:49:30.314781+00:00,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,QUSaIk7EltQ,Products Made From The Human Body,169307,0.047505,0.732261,shorts,False,99.272433,84.460506,90.067688,2.202498,4063.5,41.665313,93.936944,0,83.934995,87.127578,44.04996,robust_z
2026-05-18T12:49:30.314781+00:00,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,OlAIrZ6Wbg0,I am unemployed,169028,0.025337,2.019795,shorts,False,99.245486,57.563242,74.935522,2.202007,9128,18.517528,89.409863,0,75.370869,76.165939,44.04014,robust_z
2026-05-18T12:49:30.314781+00:00,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,-wOQ2QVol0U,Animals That Killed Their Owners,163190,0.040261,2.732295,shorts,False,99.218539,79.194631,67.683493,2.191524,4063.5,40.159961,93.721369,0,79.462213,81.808993,43.83048,robust_z
2026-05-18T12:49:30.314781+00:00,UCGmnsW623G1r-Chmo5RB4Yw,KSI,RGq6mAHR9u0,Guess What Hit You,158639,0.026098,0.78983,shorts,False,99.191593,59.241094,89.329996,2.18309,219394,0.723078,43.330639,0,68.630903,62.967275,43.6618,robust_z
2026-05-18T12:49:30.314781+00:00,UCaY_-ksFSQtTGk0y1HA_3YQ,Ibai,G-gtlAc65-A,A Roro se le ha ido la cabeza,149535,0.048609,1.950698,shorts,True,99.164646,85.183273,75.678874,2.165465,76588.5,1.952447,64.187551,100,85.933622,79.359077,43.3093,robust_z
2026-05-18T12:49:30.314781+00:00,UCqynl7rdtktKMQESdSBmE-g,Sapnap,aEqsCOxrQ3Y,Minecraft Arrow Toss...,149421,0.033273,2.674251,shorts,False,99.137699,72.250903,68.247058,2.165237,75828,1.970525,64.268391,0,72.239112,69.848995,43.30474,robust_z
2026-05-18T12:49:30.314781+00:00,UCvgfXK4nTYKudb0rFR6noLA,UFC,kPOpd81QHYM,FIRST EVER CAPSULE LOCK! #ufcvegas117,149124,0.00447,1.599564,shorts,False,99.110752,1.419721,79.571902,2.164644,2350,63.457021,95.580706,0,66.024634,65.077642,43.29288,robust_z
2026-05-18T12:49:30.314781+00:00,UCXuqSBlHAE6Xw-yeJA0Tunw,Linus Tech Tips,9uyS40FPbfs,Dropping the Steam Controller INTENTIONALLY,142830,0.02922,2.816566,shorts,False,99.083805,65.616933,66.873556,2.151784,80288.5,1.77896,62.624629,0,70.358678,67.365392,43.03568,robust_z
