grain,period_start,period_end,channel_id,channel_name,period_video_count,period_new_videos,period_views_delta,period_likes_delta,period_comments_delta,period_avg_engagement_rate,period_top_video_id,period_top_video_title,period_top_video_views_delta
monthly,2026-05-01,2026-05-31,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,5,5,293319798,2065269,26541,0.019448,QAkEMtJpq3c,"Hit The Button, Win $1,000",176884582
monthly,2026-05-01,2026-05-31,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,94,63,64174461,1667025,34022,0.028363,4m_M1Wpnr2Q,Asmongold Makes MILLIONS of Dollars Per Year,3568735
monthly,2026-05-01,2026-05-31,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,66,44,53158786,1947522,16607,0.049409,gNwzZxHjEOs,I Tried Anti-Scream Devices,7383645
monthly,2026-05-01,2026-05-31,UCGmnsW623G1r-Chmo5RB4Yw,KSI,4,4,47441549,759372,2292,0.021717,A_TI_Wct288,"$1 vs $50,000 Katana",42777518
monthly,2026-05-01,2026-05-31,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,31,22,36599759,848964,5908,0.028693,k8j-6Xvw_G4,JYNXZI PEAK ELOOOOO,3931640
monthly,2026-05-01,2026-05-31,UC415bOPUcGSamy543abLmRA,Cleo Abram,18,10,33261659,1127279,8208,0.046872,pag8Ncc7AwQ,What’s Really Inside The Earth?,5151846
monthly,2026-05-01,2026-05-31,UCvCfpQXRXdJdL07pzTIA6Cw,Kai Cenat Live,22,22,27174392,401625,1676,0.022593,PJmv9cFz6bw,Kai Cenat & Druski Thought They Would Win The MVP Award 😂,8730066
monthly,2026-05-01,2026-05-31,UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,139,139,18395473,325993,4714,0.029407,LQarVC1PMN8,The Vision couldn't see Seth Rollins this time around 😏👀,1799970
monthly,2026-05-01,2026-05-31,UCK8sQmJBp8GCxrOtXWBpyEA,Google,9,9,16394750,5203,268,0.025391,uW4B6ziQqvY,What is Gemini Omni?,16135603
monthly,2026-05-01,2026-05-31,UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,2,2,13078987,204996,478,0.021504,NnvIwG0S8WE,Tennis Ball Cannon vs Human Strength,10037294
monthly,2026-05-01,2026-05-31,UCrPseYLGpNygVi34QpGNqpA,Ludwig,10,9,10753102,304596,709,0.028613,_iQKpZvj7UQ,Maybe I shouldn't have lied to him...,6088591
monthly,2026-05-01,2026-05-31,UC52hytXteCKmuOzMViTK8_w,CdeCiencia,28,19,9685708,335687,2018,0.054763,WgcdDVIUXcI,¿Cómo funcionan las gomas de borrar?,2034888
monthly,2026-05-01,2026-05-31,UCOWFKaCN-rzmYk502JFWnqg,Eze Martínez,9,6,8517690,306721,6181,0.053904,WOTUpoI2LQA,Dron quieto o en movimiento?,2680990
monthly,2026-05-01,2026-05-31,UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,2,2,8411918,120879,199,0.015248,fp77qbUJJbQ,"Break The Glass, YOU LOSE",8206760
monthly,2026-05-01,2026-05-31,UCUyDOdBWhC1MCxEjC46d-zw,Alex Hormozi,198,120,8117221,201429,1329,0.035269,nZ0flY52BCM,"""How Do I Raise My Prices?""",605389
monthly,2026-05-01,2026-05-31,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,221,219,6460449,85617,3990,0.021309,ynBFmpm215U,Dylan Harper knew Wemby’s clutch three was going in 😅,789084
monthly,2026-05-01,2026-05-31,UCWsDFcIhY2DBi3GB5uykGXA,IShowSpeed,4,4,6197292,195241,1822,0.041365,KHooqK3Hijs,iShowSpeed vs Jamal Jump Challenge,3366645
monthly,2026-05-01,2026-05-31,UCE_M8A5yxnLfW0KghEeajjw,Apple,7,7,5424601,5893,0,0.012095,jQK-S-HyHgc,Watch Annie Choi turn her sketch into a fashion film,2106285
monthly,2026-05-01,2026-05-31,UC_x5XG1OV2P6uZZ5FSM9Ttw,Google for Developers,8,8,5196222,7230,30,0.011031,NkGPm95Awuo,Google I/O 2026 Developer Keynote Recap,1371390
monthly,2026-05-01,2026-05-31,UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,7,6,4426991,34832,0,0.009348,dGlonEIK7Io,A is for Apple🍎! Learn ABCs with JJ!,1259718
monthly,2026-05-01,2026-05-31,UCupvZG-5ko_eiXAupbDfxWw,CNN,145,139,4031295,68503,9698,0.022525,V_3edJ3u1O8,Vance won’t rule out compensating Jan. 6 defendants,948748
monthly,2026-05-01,2026-05-31,UCurvRE5fGcdUgCYWgh-BDsg,DAZN Boxing,97,96,3625091,41795,2180,0.014361,-vhmvlcRTXs,Yes or No with Rico Verhoeven 👀🍿,728097
monthly,2026-05-01,2026-05-31,UCvgfXK4nTYKudb0rFR6noLA,UFC,54,53,3365531,54726,1199,0.016604,HCuOKoyUD8M,Are You Excited For International Fight Week?🫣 #ufc329,792740
monthly,2026-05-01,2026-05-31,UCiWLfSweyRNmLpgEHekhoAg,ESPN,350,343,3342545,41094,2068,0.015394,5BVosF5BtZY,MSG's celeb row is always elite 😮‍💨,502448
monthly,2026-05-01,2026-05-31,UC-cnbLlplnXA4oc7rR21qzg,Lyna,2,2,2829659,25224,276,0.012065,u97JbeRu8DU,Cuando le COPIAS el OUTFIT a tu AMIGO en Brookhaven Roblox,1741898
monthly,2026-05-01,2026-05-31,UC36xmz34q02JYaZYKrMwXng,Nate Gentile,6,5,2485573,67207,1373,0.028769,ImKo5rVlFfI,"🤖: ""Quiero más RAM.""",1934725
monthly,2026-05-01,2026-05-31,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,25,25,2413164,82099,992,0.088787,YqJTL5PxeTk,TWS (투어스) '너의 모든 가능성이 되어 줄게' Official MV,687551
monthly,2026-05-01,2026-05-31,UC16niRr50-MSBwiO3YDb3RA,BBC News,129,127,2327246,19653,2915,0.013447,nSudd0nmSug,Crew safe after fighter jets collide at US air show #BBCNews,693177
