grain,period_start,period_end,channel_id,channel_name,period_video_count,period_new_videos,period_views_delta,period_likes_delta,period_comments_delta,period_avg_engagement_rate,period_top_video_id,period_top_video_title,period_top_video_views_delta
weekly,2026-05-18,2026-05-24,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,3,3,62234114,459006,5878,0.024237,QAkEMtJpq3c,"Hit The Button, Win $1,000",44727025
weekly,2026-05-18,2026-05-24,UCGmnsW623G1r-Chmo5RB4Yw,KSI,3,3,8988853,178323,605,0.022208,A_TI_Wct288,"$1 vs $50,000 Katana",7975761
weekly,2026-05-18,2026-05-24,UCvCfpQXRXdJdL07pzTIA6Cw,Kai Cenat Live,16,16,7192303,80156,408,0.023863,PJmv9cFz6bw,Kai Cenat & Druski Thought They Would Win The MVP Award 😂,4179415
weekly,2026-05-18,2026-05-24,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,58,4,6752025,233107,1802,0.048464,gNwzZxHjEOs,I Tried Anti-Scream Devices,2660570
weekly,2026-05-18,2026-05-24,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,82,6,6286335,177318,3196,0.028681,oGTO67JoZDQ,I Hired a Hood Translator For Financial Audit,850842
weekly,2026-05-18,2026-05-24,UC415bOPUcGSamy543abLmRA,Cleo Abram,16,1,4633923,148462,1063,0.043964,Qqwn4rzZ-Dk,Is There Life on Venus?,1523279
weekly,2026-05-18,2026-05-24,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,27,3,3416467,67965,412,0.027774,OlAIrZ6Wbg0,I am unemployed,890427
weekly,2026-05-18,2026-05-24,UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,2,2,2360273,37737,46,0.015662,fp77qbUJJbQ,"Break The Glass, YOU LOSE",2302739
weekly,2026-05-18,2026-05-24,UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,2,0,1835231,27006,48,0.020175,NnvIwG0S8WE,Tennis Ball Cannon vs Human Strength,1673525
weekly,2026-05-18,2026-05-24,UCrPseYLGpNygVi34QpGNqpA,Ludwig,8,7,1750990,53056,126,0.029658,T9xs1sw0Q-w,So maybe that was a bit rude.,805471
weekly,2026-05-18,2026-05-24,UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,90,90,1280642,20014,246,0.030702,unE54lfBBek,Bron Breakker had an answer for everything Seth Rollins did. 😳🔥,188239
weekly,2026-05-18,2026-05-24,UC-cnbLlplnXA4oc7rR21qzg,Lyna,2,2,1187158,10778,46,0.013158,u97JbeRu8DU,Cuando le COPIAS el OUTFIT a tu AMIGO en Brookhaven Roblox,795364
weekly,2026-05-18,2026-05-24,UCvgfXK4nTYKudb0rFR6noLA,UFC,47,46,1134129,20155,622,0.016967,HCuOKoyUD8M,Are You Excited For International Fight Week?🫣 #ufc329,463499
weekly,2026-05-18,2026-05-24,UC16niRr50-MSBwiO3YDb3RA,BBC News,100,98,968597,7659,1427,0.013272,nSudd0nmSug,Crew safe after fighter jets collide at US air show #BBCNews,476727
weekly,2026-05-18,2026-05-24,UCUyDOdBWhC1MCxEjC46d-zw,Alex Hormozi,182,6,943525,22933,266,0.034217,nZ0flY52BCM,"""How Do I Raise My Prices?""",246742
weekly,2026-05-18,2026-05-24,UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,5,4,934992,7490,0,0.009173,gNAwoonPRlM,Put the Ball in the Bucket🔴🔵🟡! Color Matching Game!,367332
weekly,2026-05-18,2026-05-24,UCWsDFcIhY2DBi3GB5uykGXA,IShowSpeed,2,2,902083,18744,305,0.037479,Yztdy5_sdrk,I WENT SWIMMING WITH SHARKS!! 😳🦈,828241
weekly,2026-05-18,2026-05-24,UCupvZG-5ko_eiXAupbDfxWw,CNN,93,87,848772,9766,1860,0.023089,VwqgO6Htx60,Costumed intruder jumps into Punch’s enclosure,252619
weekly,2026-05-18,2026-05-24,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,159,157,817725,9098,465,0.022448,2F1B2_EySSM,Don’t worry Spida… Coco Jones saves the day ☺️❤️,234478
weekly,2026-05-18,2026-05-24,UCUP6qv-_EIL0hwTsJaKYnvw,Azteca Noticias,101,98,619407,12380,1347,0.029774,XA_YBXtTDws,Maestro atrapado con las manos en la masa robando estudiantes,268632
weekly,2026-05-18,2026-05-24,UCiWLfSweyRNmLpgEHekhoAg,ESPN,198,191,617906,7919,382,0.015343,IZBsKOT__Rk,😂😂😂 (via kingjames/IG),224334
weekly,2026-05-18,2026-05-24,UCoLrcjPV5PbUrUyXq5mjc_A,MLB,87,87,504223,3721,76,0.020949,d-UTn28SjVo,When baseballs collide 🫣,277361
weekly,2026-05-18,2026-05-24,UC52hytXteCKmuOzMViTK8_w,CdeCiencia,24,1,482411,18988,147,0.055498,AP73EwBsx3c,Síndrome de Rapunzel,175342
weekly,2026-05-18,2026-05-24,UCOWFKaCN-rzmYk502JFWnqg,Eze Martínez,8,1,442289,17891,228,0.058118,vmRbevilfpU,Números de la suerte 🍀,126717
weekly,2026-05-18,2026-05-24,UCYiGq8XF7YQD00x7wAd62Zg,JuegaGerman,1,1,429815,8482,48,0.035568,7lCBKAxPsfs,Cosas Que DEBES Buscar En GOOGLE,429815
weekly,2026-05-18,2026-05-24,UCurvRE5fGcdUgCYWgh-BDsg,DAZN Boxing,59,58,378648,3460,180,0.014202,-vhmvlcRTXs,Yes or No with Rico Verhoeven 👀🍿,62003
weekly,2026-05-18,2026-05-24,UCE_M8A5yxnLfW0KghEeajjw,Apple,5,5,367447,711,0,0.007192,jQK-S-HyHgc,Watch Annie Choi turn her sketch into a fashion film,176330
weekly,2026-05-18,2026-05-24,UCF0L4jd9LcSIxsj5gKITMqQ,Jaime Higuera,280,20,338173,18322,504,0.078606,kGGyPqVkXzw,Estas son las personas más raras que existen #shorts,103788
weekly,2026-05-18,2026-05-24,UCGXbLrVe8vnkiFv7q2vYv3w,El Mundo,259,234,330304,6279,746,0.018029,5nPgd1zDyP0,"Gorka, el joven que ha perdido las piernas y el brazo izquierdo por una meningitis #salud #shorts",96810
