grain,period_start,period_end,video_id,channel_id,channel_name,title,period_views_delta,period_likes_delta,period_comments_delta,period_avg_engagement_rate,period_snapshots,latest_views,latest_likes,latest_comments
weekly,2026-05-25,2026-05-31,QAkEMtJpq3c,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,"Hit The Button, Win $1,000",21364565,91402,1146,0.006399,1,345221446,2148259,60861
weekly,2026-05-25,2026-05-31,SllXaJiQjBA,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,Every Youtube Play Button,9493294,80174,826,0.01144,1,71947340,803320,19725
weekly,2026-05-25,2026-05-31,hYahU_Cqwp8,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,Subscribe To See 500M Play Button,8163061,147224,1698,0.024171,1,33255900,788203,15610
weekly,2026-05-25,2026-05-31,dqpCvSU-ECE,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,If This Goes In You Have To Subscribe,7766119,53311,309,0.010228,1,74956803,752683,13980
weekly,2026-05-25,2026-05-31,uW4B6ziQqvY,UCK8sQmJBp8GCxrOtXWBpyEA,Google,What is Gemini Omni?,6485442,146,11,0.00009,1,32774752,2712,254
weekly,2026-05-25,2026-05-31,hCuqh2NU2Yg,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,World's Fastest Date,4725315,53752,137,0.019157,1,122892735,2338737,15482
weekly,2026-05-25,2026-05-31,bpi1C_2a-tk,UCWsDFcIhY2DBi3GB5uykGXA,IShowSpeed,"EAT THE WORLD's BIGGEST BURGER, OR GET SPANKED 💥 💥",1475588,36208,622,0.04258,1,8973466,376895,5193
weekly,2026-05-25,2026-05-31,A_TI_Wct288,UCGmnsW623G1r-Chmo5RB4Yw,KSI,"$1 vs $50,000 Katana",1294974,24935,50,0.017811,1,74405007,1320919,4323
weekly,2026-05-25,2026-05-31,H7e43lhxd4Y,UC415bOPUcGSamy543abLmRA,Cleo Abram,The First Ever Footage of a Giant Squid,1026636,39863,368,0.050858,1,7283312,367700,2718
weekly,2026-05-25,2026-05-31,t5BxJhllmi4,UCvCfpQXRXdJdL07pzTIA6Cw,Kai Cenat Live,Fanum Can't Get Over How Tall Kai Cenat Is 😭,923037,26081,18,0.024685,1,9107260,224400,413
weekly,2026-05-25,2026-05-31,AS840hdgzsI,UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,Montez Ford is in full-form tonight,895757,9217,29,0.014725,1,1889340,27634,186
weekly,2026-05-25,2026-05-31,oW8Tb4Mpd3s,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,I Tested Every Zack D. Films Video,601403,20432,47,0.037814,1,5040713,189942,666
weekly,2026-05-25,2026-05-31,tjI02tprC7I,UCvCfpQXRXdJdL07pzTIA6Cw,Kai Cenat Live,Kai Cenat Can't Believe How Fast BadLandsChugs Drank A Giant Drink 😂,540416,5653,67,0.014566,1,3656333,52610,648
weekly,2026-05-25,2026-05-31,KVSi1Cr1VFo,UCvCfpQXRXdJdL07pzTIA6Cw,Kai Cenat Live,Ice Spice Was Confused By Kai Cenat 😂,522409,13056,42,0.022152,1,4469640,98696,315
weekly,2026-05-25,2026-05-31,-jripWHy4sw,UCE_M8A5yxnLfW0KghEeajjw,Apple,Watch Molly Baz turn her new recipe into a video,476330,193,0,0.001167,1,3873361,4520,
weekly,2026-05-25,2026-05-31,0WgQ0JF1Wig,UCvCfpQXRXdJdL07pzTIA6Cw,Kai Cenat Live,Kai Cenat Trolls IShowSpeed 😂,446004,4308,41,0.015809,1,1458125,22791,261
weekly,2026-05-25,2026-05-31,mHHiGoNqzS0,UCYiGq8XF7YQD00x7wAd62Zg,JuegaGerman,Sin Brazos Ni Piernas 🦵,438138,8627,70,0.027939,1,3194436,88337,913
weekly,2026-05-25,2026-05-31,VNB9_9HuXfo,UCOWFKaCN-rzmYk502JFWnqg,Eze Martínez,¿Rojo o Azul?,402663,8241,1014,0.042665,1,2638649,100620,11959
weekly,2026-05-25,2026-05-31,NkGPm95Awuo,UC_x5XG1OV2P6uZZ5FSM9Ttw,Google for Developers,Google I/O 2026 Developer Keynote Recap,394869,4,0,0.001168,1,3335772,3883,12
weekly,2026-05-25,2026-05-31,LQmggrwqJ4w,UCurvRE5fGcdUgCYWgh-BDsg,DAZN Boxing,WOW! Anthony Joshua & Canelo REACT to Oleksandr Usyk knocking out Rico Verhoeven 🤯,387050,2777,135,0.011407,1,1242517,13013,1161
weekly,2026-05-25,2026-05-31,jOUqLqlw39E,UCE_M8A5yxnLfW0KghEeajjw,Apple,Watch Samba Films make poetry in motion,386572,315,0,0.001988,1,1783389,3545,
weekly,2026-05-25,2026-05-31,_iQKpZvj7UQ,UCrPseYLGpNygVi34QpGNqpA,Ludwig,Maybe I shouldn't have lied to him...,378966,6958,20,0.026133,1,7912682,206507,279
weekly,2026-05-25,2026-05-31,Cp3ixQcAz4Y,UCGmnsW623G1r-Chmo5RB4Yw,KSI,How Much Tape Holds a Human?,364594,7769,20,0.025273,1,7160059,180015,939
weekly,2026-05-25,2026-05-31,98bQUQUEEJs,UC_x5XG1OV2P6uZZ5FSM9Ttw,Google for Developers,"What’s new in Gemini API, Google AI Studio and Google Antigravity (Google I/O 2026 recap)",360484,9,1,0.001397,1,3224704,4485,19
weekly,2026-05-25,2026-05-31,ifXSKulXVvs,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,BLOCKED BY GM 💀,348212,11356,38,0.0376,1,2801699,104755,590
weekly,2026-05-25,2026-05-31,fp77qbUJJbQ,UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,"Break The Glass, YOU LOSE",342424,3657,9,0.017158,1,32368708,554505,888
weekly,2026-05-25,2026-05-31,s7ssP0U7QkQ,UC_x5XG1OV2P6uZZ5FSM9Ttw,Google for Developers,What’s new in Android (Google I/O 2026 recap),338959,0,0,0.001794,1,3124675,5599,8
weekly,2026-05-25,2026-05-31,op8HMCB5JnQ,UCE_M8A5yxnLfW0KghEeajjw,Apple,Watch Ellie Dixon make her debut album in her bedroom,327170,236,0,0.001781,1,2131631,3797,
weekly,2026-05-25,2026-05-31,WGQbiztmSNw,UC_x5XG1OV2P6uZZ5FSM9Ttw,Google for Developers,3 new Chrome features announced at Google I/O 2026,308655,2,0,0.00131,1,2547650,3325,12
weekly,2026-05-25,2026-05-31,0YW_Sct6bZM,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,VAR replay,304363,7949,22,0.023659,1,2642550,62253,268
weekly,2026-05-25,2026-05-31,V52uRy6jcLs,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,I Bought The World’s Itchiest Shirt,295526,8516,63,0.031262,1,5011254,155315,1345
weekly,2026-05-25,2026-05-31,jQK-S-HyHgc,UCE_M8A5yxnLfW0KghEeajjw,Apple,Watch Annie Choi turn her sketch into a fashion film,291280,127,0,0.001324,1,3637959,4817,
weekly,2026-05-25,2026-05-31,ZofdZWyvJtQ,UCvCfpQXRXdJdL07pzTIA6Cw,Kai Cenat Live,Kai Cenat Can't Believe What NPC Miles Said 😂,277310,4520,56,0.019827,1,1124725,21937,363
weekly,2026-05-25,2026-05-31,rsO9Bp81oj0,UCurvRE5fGcdUgCYWgh-BDsg,DAZN Boxing,"Anthony Joshua, GGG & Canelo are loving life watching Oleksandr Usyk 🙌",268861,2258,39,0.011124,1,685636,7482,145
weekly,2026-05-25,2026-05-31,FZtsqjGdKQI,UCurvRE5fGcdUgCYWgh-BDsg,DAZN Boxing,Oleksandr Usyk said he would take on Rico Verhoeven & Agit Kabayel at THE SAME TIME 😂,264920,3532,235,0.018853,1,647118,11154,1046
weekly,2026-05-25,2026-05-31,Z0H2lWnri10,UCH4BNI0-FOK2dMXoFtViWHw,Be Smart,"Wait, are octopuses building cities now?",248498,8908,181,0.041395,1,740459,29907,744
weekly,2026-05-25,2026-05-31,h-0YMkZccg8,UC415bOPUcGSamy543abLmRA,Cleo Abram,Can Earth Get Rings Like Saturn?,245703,7947,44,0.038531,1,4918307,187898,1607
weekly,2026-05-25,2026-05-31,jZqtu8G29TE,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,Emergency Numbers Everybody Should Know,240941,8710,87,0.050073,1,2363228,117455,880
weekly,2026-05-25,2026-05-31,XUGwKq7l9Tg,UCrPseYLGpNygVi34QpGNqpA,Ludwig,It’s like he doesn’t even care…,230018,4676,36,0.022444,1,472956,10477,138
weekly,2026-05-25,2026-05-31,KHooqK3Hijs,UCWsDFcIhY2DBi3GB5uykGXA,IShowSpeed,iShowSpeed vs Jamal Jump Challenge,225744,7568,53,0.045285,1,6411172,287488,2843
weekly,2026-05-25,2026-05-31,Yztdy5_sdrk,UCWsDFcIhY2DBi3GB5uykGXA,IShowSpeed,I WENT SWIMMING WITH SHARKS!! 😳🦈,221607,4533,60,0.025149,1,13407413,331853,5332
weekly,2026-05-25,2026-05-31,UAE5N5sP0kU,UCurvRE5fGcdUgCYWgh-BDsg,DAZN Boxing,Usyk & Rico rate each others skills 🥶,220852,3220,90,0.01765,1,1052360,17834,740
