execution_date,channel_id,channel_name,videos_tracked,median_views_delta,median_engagement_rate,avg_duration_seconds,shorts_ratio,total_views_delta,new_videos,top_video_id,top_video_title,top_video_views_delta,channel_growth_percentile,channel_momentum_score
2026-05-18T12:49:30.314781+00:00,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,1,3869223,0.029915,2349,0,3869223,0,AaMdXZMvT3w,"Survive 30 Days On An Island With Your Ex, Win $250,000",3869223,100,100
2026-05-18T12:49:30.314781+00:00,UCDogdKl7t7NHzQ95aEwkdMw,Sidemen,1,1156373,0.0467,4522,0,1156373,0,-WUlOSHMao8,SIDEMEN TINDER IRL IS BACK,1156373,98.416887,98.416887
2026-05-18T12:49:30.314781+00:00,UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,2,650526,0.003332,1135,0,1301052,0,KnKYJMe1G-c,Nastya teaches how to properly choose healthy food for energy,991811,98.944591,98.944591
2026-05-18T12:49:30.314781+00:00,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,55,1206,0.017571,375.054545,0,1641722,4,q8oc8ehzE_w,KAAMIL (Official Music Video): Sachet-Parampara | Kausar Munir | Latest Hindi Song | Bhushan Kumar,781685,99.208443,99.208443
2026-05-18T12:49:30.314781+00:00,UC7_YxT-KID8kRbqZo7MyscQ,Markiplier,6,69342,0.074394,2205.166667,0,1128753,0,U5Xpd8ja9bk,Where the hell is Iron Lung...?,744091,98.153034,98.153034
2026-05-18T12:49:30.314781+00:00,UCTv-XvfzLX3i4IGWAm4sbmA,LALIGA EA SPORTS,94,292,0.028138,1340.87234,0,1847387,2,s93kZOppXkg,FC BARCELONA 3 - 1 REAL BETIS | RESUMEN LALIGA EA SPORTS,699916,99.472296,99.472296
2026-05-18T12:49:30.314781+00:00,UCBi2mrWuNuyYy4gbM6fU18Q,ABC News,229,77.5,0.013017,1637.135371,0,1175383,13,VCp_wP_YRrs,"ABC World News Tonight with David Muir Full Broadcast - May 17, 2026",511293,98.680739,98.680739
2026-05-18T12:49:30.314781+00:00,UC08mnbiC4FykqpHqbEWgFcg,ESPN Deportes,172,143,0.014719,994.947674,0,805480,4,1tD0HvmeMu0,BARCELONA selló triunfo ante REAL BETIS con doblete de RAPHINHA y despedida a LEWANDOWSKI | La Liga,434885,96.569921,96.569921
2026-05-18T12:49:30.314781+00:00,UCQznUf1SjfDqx65hX3zRDiA,DrakeVEVO,17,169087,0.040408,218.882353,0,3365152,0,YhUqxWR4mnE,Drake - Whisper My Name,403628,99.736148,99.736148
2026-05-18T12:49:30.314781+00:00,UCq6VFHwMzcMXbuKyG7SQYIg,penguinz0,15,20946,0.044839,2817,0,1054525,0,U5OoScl1Opc,Boo This Man,370781,97.889182,97.889182
2026-05-18T12:49:30.314781+00:00,UCeY0bbntWzzVIaj2z3QigXg,NBC News,188,194,0.011974,2157.787234,0,1029844,3,w-ulA5n4zNQ,NBC Nightly News Full Episode - May 17,346844,97.62533,97.62533
2026-05-18T12:49:30.314781+00:00,UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,25,1157,0.0301,2200.12,0,610279,1,BTJGr78-zyw,"Professor Jiang: World War 3 Is About To Begin, Let Me Explain!",334135,95.514512,95.514512
2026-05-18T12:49:30.314781+00:00,UCGmnsW623G1r-Chmo5RB4Yw,KSI,2,168819,0.030235,2389.5,0,337638,0,MN_u8Jv807U,BEST CELEBRITY LOOKALIKE WINS $500 (Ft. Deji),331741,91.556728,91.556728
2026-05-18T12:49:30.314781+00:00,UCsN32BtMd0IoByjJRNF12cw,60 Minutes,13,8838,0.02803,1184.846154,0,389655,4,QD0hGj-ioFU,Anderson Cooper's emotional farewell to 60 Minutes after 20 years,291987,93.403694,93.403694
2026-05-18T12:49:30.314781+00:00,UCcjIvuxmWlS5IEQ0JdPV4Ng,Rubius Z,4,80856,0.071393,2671.75,0,455403,0,WIaYpCdwJ-Y,Mi Chat se ENFRENTÓ a Un Experto de Pokémon y...,273313,94.986807,94.986807
2026-05-18T12:49:30.314781+00:00,UChBEbMKI1eCcejTtmI32UEw,Joshua Weissman,1,271050,0.031138,1911,0,271050,0,IaSv64dC44g,I Tested The Most Futuristic Kitchen Tech,271050,89.709763,89.709763
2026-05-18T12:49:30.314781+00:00,UCaY_-ksFSQtTGk0y1HA_3YQ,Ibai,5,64174.5,0.063054,667.4,0,389756,1,VtVzC2_f3nY,Xokas vs Willyrex ¿Quién sabe más?,256019,93.667546,93.667546
2026-05-18T12:49:30.314781+00:00,UCgFXm4TI8htWmCyJ6cVPG_A,Toys and Colors,3,64139,0.001321,1426,0,347071,0,KLa8NenZeVc,Will It POP?! Fun Science With Maddie Eva & Bella,251045,92.084433,92.084433
2026-05-18T12:49:30.314781+00:00,UCCEmjNPpJYhGDgaEqeeA4HA,TheGrefg,2,185661.5,0.067246,771.5,0,371323,0,rxwr8HmkeOA,PROBÉ EL TESLA CYBERTRUCK Y ES INCREÍBLE - TheGrefg,246489,93.139842,93.139842
2026-05-18T12:49:30.314781+00:00,UCjiXtODGCCulmhwypZAWSag,Jynxzi,11,5358,0.016553,17098,0,413456,0,b1rGYkXx_3M,NEW R6 SEASON REVEAL (NEW MAP) ,236976,94.459103,94.459103
2026-05-18T12:49:30.314781+00:00,UCpEhnqL0y41EpW2TvWAHD7Q,SET India,252,41,0.006514,1687.880952,0,982124,23,TU2VUYAGXaU,Diamond Vase Case में CID के सामने आया बड़ा Twist | CID | New Season | Full Episode,230173,97.361478,97.361478
2026-05-18T12:49:30.314781+00:00,UCyJbb85EUgWjl38GcF236Jg,Eva Maria Beristain,12,4114,0.039325,893.166667,0,276957,0,yxB720xLFmw,ASI ES VIVIR EN EL LUGAR MAS CONTAMINADO DE MEXICO - Ruido Social,208657,89.973615,89.973615
2026-05-18T12:49:30.314781+00:00,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,5,11166,0.0312,709.2,0,391584,0,zXvygWE3Ess,How Alpha Particles Can Break Computer Chips,201749,93.931398,93.931398
2026-05-18T12:49:30.314781+00:00,UCYzPXprvl5Y-Sf0g4vX-m6g,jacksepticeye,5,132420,0.054983,6343.4,0,621826,0,LPgLQU31_bw,THIS IS TERRIFYING | Subnautica 2 - Part 4,199449,95.778364,95.778364
2026-05-18T12:49:30.314781+00:00,UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,2,190325,0.160604,179.5,0,190325,1,iTJSbJtS8MU,aespa 에스파 'WDA (Whole Different Animal) (Feat. G-DRAGON)' MV,190325,86.543536,86.543536
2026-05-18T12:49:30.314781+00:00,UCupvZG-5ko_eiXAupbDfxWw,CNN,157,359,0.023152,427.566879,0,824555,4,UMmuSDB97Eo,Neil deGrasse Tyson to govt.: ‘Bring out the alien’,188749,96.833773,96.833773
