execution_date,channel_id,channel_name,videos_tracked,new_videos,total_views_delta,median_views_delta,avg_engagement_rate,channel_growth_7d,channel_growth_30d,channel_momentum_7d_vs_30d,channel_momentum_score,publish_frequency_7d,publish_frequency_30d,channel_consistency_score,channel_volatility_robust,top_video_id,top_video_title,top_video_views_delta,shorts_ratio,mid_ratio,long_ratio,metric_confidence_score
2026-05-21T12:28:40.492262+00:00,UCK8sQmJBp8GCxrOtXWBpyEA,Google,14,1,17468603,9457,0.023304,17485987,17485987,4.285714,93.427835,14,14,35.064935,2.547103,tfx2CjqtCUI,I/O '26 Recap: Everything You Need to Know,17203539,0,0.714286,0.285714,89.5
2026-05-21T12:28:40.492262+00:00,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,75,6,6866804,2190,0.019104,12493606,12493606,4.285714,60.438144,71,71,8.571429,6.649535,DZ9lpup4VZ0,Dragon Glimpse - Hindi | NTR | Anil Kapoor | Rukmini Vasanth | Ravi Basrur | Prashanth Neel,4771479,0,0.973333,0.026667,100
2026-05-21T12:28:40.492262+00:00,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,1,0,3949752,3949752,0.026344,17584569,17584569,4.285714,33.118557,1,1,91.428571,0.254046,AaMdXZMvT3w,"Survive 30 Days On An Island With Your Ex, Win $250,000",3949752,0,0,1,46.75
2026-05-21T12:28:40.492262+00:00,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,112,10,3233296,464.5,0.01985,8148946,8148946,4.285714,60.438144,106,106,23.896104,3.695291,Zg2MDj-I1vc,"#4 CAVALIERS at #3 KNICKS | FULL GAME 1 HIGHLIGHTS | May 19, 2026",1180325,0,0.401786,0.598214,100
2026-05-21T12:28:40.492262+00:00,UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,5,0,1311809,1565,0.078359,8232274,8232274,4.285714,60.438144,2,2,0,37.962663,1jKnI_ib8c8,ITZY “Motto” M/V,1125890,0,0.8,0.2,70
2026-05-21T12:28:40.492262+00:00,UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,2,0,2074520,1037260,0.002664,6218644,6218644,4.285714,60.438144,2,2,97.402597,0.029068,nkEBZ_Irvek,Im Gonna Shine - Like Nastya song,1063304,0,0.5,0.5,53.5
2026-05-21T12:28:40.492262+00:00,UCQznUf1SjfDqx65hX3zRDiA,DrakeVEVO,18,0,7528142,335838,0.033851,24757995,24757995,4.285714,60.438144,18,18,64.935065,1.200304,SD4yRDY9mek,Drake - Janice STFU,976308,0,1,0,96.5
2026-05-21T12:28:40.492262+00:00,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,13,0,1703834,24126,0.092181,5163756,5163756,4.285714,60.438144,12,12,7.792208,6.936251,tTi2uZQsmlo,TWS (투어스) '너의 모든 가능성이 되어 줄게' Official MV,954605,0,1,0,87.75
2026-05-21T12:28:40.492262+00:00,UCXuqSBlHAE6Xw-yeJA0Tunw,Linus Tech Tips,8,0,1092824,21871.5,0.04003,1483120,1483120,4.285714,60.438144,8,8,62.077922,1.300143,eLP3ag0YpyA,Google’s Most-Hated Announcement Ever,759785,0,0,1,79
2026-05-21T12:28:40.492262+00:00,UCq6VFHwMzcMXbuKyG7SQYIg,penguinz0,20,2,1667276,31625,0.044857,4560427,4560427,4.285714,60.438144,20,20,43.636364,2.067109,c8TwGH1B5wA,Huge Trump Phone Disaster,758957,0,0.15,0.85,100
2026-05-21T12:28:40.492262+00:00,UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,2,0,954830,477415,0.030527,2420373,2420373,4.285714,60.438144,1,1,93.246753,0.207068,tiKgdh4Csj8,TAEYONG 태용 'WYLD' MV,643344,0,1,0,52.25
2026-05-21T12:28:40.492262+00:00,UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,5,1,1301699,298943.5,0.002362,3173232,3173232,4.285714,93.427835,5,5,30.909091,2.769097,FWx3IFnvoas,Play Like A Dinosaur | Imagination & Play Pretend with JJ 🦖 | CoComelon Nursery Rhymes & Kids Songs,626957,0,1,0,68.75
2026-05-21T12:28:40.492262+00:00,UCu59yAFE8fM0sVNTipR4edw,Masha and The Bear,7,0,1146576,46615,0.002177,2867014,2867014,4.285714,60.438144,7,7,13.766234,5.498312,Dl3Vg9N4Bn0,Masha and the Bear 2026 🥟🐼 Bon appétit and more popular episodes 🎩🐧 Best episodes collection 🎬,577331,0,0,1,77.25
2026-05-21T12:28:40.492262+00:00,UCaY_-ksFSQtTGk0y1HA_3YQ,Ibai,8,1,1548207,98347,0.055443,4885003,4885003,4.285714,93.427835,7,7,22.857143,3.780466,VtVzC2_f3nY,Xokas vs Willyrex ¿Quién sabe más?,533207,0,0.75,0.25,79
2026-05-21T12:28:40.492262+00:00,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,10,0,714725,12560,0.050245,2308115,5721912,1.728779,21.134021,3,9,51.948052,1.756149,TYhNHX372ek,The Uncomfortable Truth About Ozempic (Updated Version),524177,0,0.7,0.3,82.5
2026-05-21T12:28:40.492262+00:00,UC4NALVCmcmL5ntpV0thoH6w,LooLoo Kids - Nursery Rhymes and Children's Songs,3,0,653559,138709,0.001554,920197,920197,4.285714,60.438144,3,3,67.532468,1.121379,uUwzOU2FwXo,Johny Johny Yes Papa - Learn Colors with Colorful BALLS and SuperHERO - Kids Songs & Nursery Rhymes,514758,0,1,0,57.75
2026-05-21T12:28:40.492262+00:00,UC4PooiX37Pld1T8J5SYT-SQ,Good Mythical Morning,9,1,732851,23931,0.036561,1987720,1987720,4.285714,60.438144,8,8,54.025974,1.655649,-QGmiO4myiA,Cheap vs Expensive Grocery Stores (Taste Test),491425,0,0,1,80.75
