execution_date,channel_id,channel_name,video_id,title,video_age_days,duration_bucket,content_format,views_delta,likes_delta,comments_delta,engagement_rate,comment_rate,age_adjusted_views_velocity,age_adjusted_growth_percentile,channel_median_views_delta,channel_relative_growth_ratio,channel_relative_growth_log,channel_relative_success_score,format_median_views_delta,format_relative_growth_ratio,current_period_views_delta,previous_period_views_delta,growth_acceleration,growth_acceleration_ratio,growth_trend_label,growth_acceleration_score,peak_velocity,current_velocity,decay_resistance_score,short_term_success_score,mid_term_success_score,long_term_success_score,overall_success_score,trend_burst_score,evergreen_score,packaging_problem_score,metadata_changed,metadata_lift_status,metadata_lift_ratio,growth_volatility_robust,metric_confidence_score,success_horizon_label
2026-05-23T10:46:33.792278+00:00,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,V1Lr-_AxeR8,LE SSERAFIM (르세라핌) 'BOOMPALA' OFFICIAL MV,1.283655,mid,videos,3401612,109759,5030,0.062289,0.003684,3591400.267494,100,11536,294.869279,5.686446,98.004402,72,47244.611111,3401612,,,,unknown,,3591400.267494,3591400.267494,100,95.218457,,,95.218457,66.848239,,32.142665,False,insufficient_history,,,66,short_term
2026-05-23T10:46:33.792278+00:00,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,AaMdXZMvT3w,"Survive 30 Days On An Island With Your Ex, Win $250,000",6.782324,long,videos,3008065,36160,2832,0.024829,0.001709,3175895.853389,99.992663,3008065,1,0,49.974321,157,19159.649682,3008065,3978903,-970838,0.756004,decelerating,40.753818,5853200.89678,3175895.853389,54.259129,,72.846065,,72.846065,67.746586,,15.462701,False,insufficient_history,,0.33807,67,mid_term
2026-05-23T10:46:33.792278+00:00,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,DZ9lpup4VZ0,Dragon Glimpse - Hindi | NTR | Anil Kapoor | Rukmini Vasanth | Ravi Basrur | Prashanth Neel,3.701294,mid,videos,2523010,9621,261,0.014807,0.000551,2663777.876163,99.985326,1127,2238.695652,7.712762,99.831255,72,35041.805556,2523010,3937641,-1414631,0.640741,decelerating,40.753818,4696920.488353,2663777.876163,56.713284,,,,,69.50017,,0,False,insufficient_history,,0.359259,79,mid_term
2026-05-23T10:46:33.792278+00:00,UCpcTrCXblq78GZrTUTLWeBw,FIFA,safzyuZNCGI,"LISA, Anitta, Rema, FIFA Sound - Goals (FIFA World Cup 2026™) [Official Music Video]",1.820704,mid,videos,1918824,88306,9357,0.104963,0.009037,2025882.148486,99.97799,1639,1170.728493,7.064772,99.684519,72,26650.333333,1918824,,,,unknown,,2025882.148486,2025882.148486,100,98.900344,,,98.900344,69.209294,,57.050045,False,insufficient_history,,,72,short_term
2026-05-23T10:46:33.792278+00:00,UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,1jKnI_ib8c8,ITZY “Motto” M/V,5.074002,mid,videos,1558771,9385,1303,0.027564,0.002448,1645740.486088,99.970653,763,2042.950197,7.620841,99.809244,72,21649.597222,1558771,1745550,-186779,0.892997,stable,40.753818,3442960.708875,1645740.486088,47.800153,,85.352132,,85.352132,70.951581,,12.113096,False,insufficient_history,,0.555778,67.5,mid_term
2026-05-23T10:46:33.792278+00:00,UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,nkEBZ_Irvek,Im Gonna Shine - Like Nastya song,9.073227,mid,videos,1430007,2157,0,0.0031,0,1509792.275638,99.963316,1020946.5,1.400668,0.336949,56.551724,72,19861.208333,1430007,1107812,322195,1.290839,stable,100,1509792.275638,1509792.275638,100,,69.704934,,69.704934,,,0,False,insufficient_history,,0.097889,69,mid_term
2026-05-23T10:46:33.792278+00:00,UC4NALVCmcmL5ntpV0thoH6w,LooLoo Kids - Nursery Rhymes and Children's Songs,uUwzOU2FwXo,Johny Johny Yes Papa - Learn Colors with Colorful BALLS and SuperHERO - Kids Songs & Nursery Rhymes,2.962995,mid,videos,1155410,1011,0,0.000924,0,1219874.513338,99.955979,44420,26.011031,3.258499,87.975055,72,16047.361111,1155410,1141481,13929,1.012203,stable,99.704385,1219874.513338,1219874.513338,100,68.035548,,,68.035548,69.411359,,0,False,insufficient_history,,0.549044,62,short_term
2026-05-23T10:46:33.792278+00:00,UCQznUf1SjfDqx65hX3zRDiA,DrakeVEVO,SD4yRDY9mek,Drake - Janice STFU,8.06869,mid,videos,1035431,13905,932,0.027048,0.002038,1093201.449892,99.948643,300770.5,3.442595,1.236223,69.148936,72,14380.986111,1035431,989731,45700,1.046174,stable,99.89325,1093201.449892,1093201.449892,100,,85.300007,,85.300007,,,17.05641,False,insufficient_history,,0.045192,84,mid_term
2026-05-23T10:46:33.792278+00:00,UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,tiKgdh4Csj8,TAEYONG 태용 'WYLD' MV,5.073944,mid,videos,914346,2291,238,0.017261,0.001649,965360.678697,99.941306,597865.5,1.529351,0.424843,58.011739,72,12699.25,914346,987240,-72894,0.926164,stable,40.753818,1005403.293022,965360.678697,96.017258,,77.361358,,77.361358,69.707934,,1.936092,False,insufficient_history,,0.524477,64.5,mid_term
2026-05-23T10:46:33.792278+00:00,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,hO4nDiJyaB0,"#4 CAVALIERS at #3 KNICKS | FULL GAME 2 HIGHLIGHTS | May 21, 2026",1.323724,long,videos,780845,5461,406,0.011097,0.001069,824411.173841,99.933969,339.5,2299.985272,7.737718,99.853265,157,4973.535032,780845,,,,unknown,,824411.173841,824411.173841,100,78.232568,,,78.232568,55.46535,,0,False,insufficient_history,,,72,short_term
