grain,period_start,period_end,channel_id,channel_name,period_video_count,period_new_videos,period_views_delta,period_likes_delta,period_comments_delta,period_avg_engagement_rate,period_top_video_id,period_top_video_title,period_top_video_views_delta
monthly,2026-05-01,2026-05-31,UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,26,13,23758266,628550,79746,0.031171,BTJGr78-zyw,"Professor Jiang: World War 3 Is About To Begin, Let Me Explain!",10534283
monthly,2026-05-01,2026-05-31,UCQznUf1SjfDqx65hX3zRDiA,DrakeVEVO,18,18,17229853,307296,18540,0.040405,SD4yRDY9mek,Drake - Janice STFU,2120652
monthly,2026-05-01,2026-05-31,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,1,1,13634817,241934,15165,0.028576,AaMdXZMvT3w,"Survive 30 Days On An Island With Your Ex, Win $250,000",13634817
monthly,2026-05-01,2026-05-31,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,5,3,9411885,229225,9051,0.032346,ksn5yrsC3Wg,The Crystal That Could Destroy All Medicine,5661462
monthly,2026-05-01,2026-05-31,UC415bOPUcGSamy543abLmRA,Cleo Abram,4,4,9215516,326882,5517,0.045804,TIqrd6dCa8o,Dark Energy Is Getting Weaker?,4268675
monthly,2026-05-01,2026-05-31,UCUyDOdBWhC1MCxEjC46d-zw,Alex Hormozi,50,34,8364600,255493,2557,0.036824,oZteZj3IPCs,"""Should I Sell My Company?""",1281285
monthly,2026-05-01,2026-05-31,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,14,9,7819865,139698,23766,0.025133,T_LWKGJDKgo,Predator EXPOSED On Financial Audit,1890390
monthly,2026-05-01,2026-05-31,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,8,6,7247293,154944,11559,0.026859,0idqiLonGYI,I Tested Every Zack D. Films Video,3383263
monthly,2026-05-01,2026-05-31,UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,5,2,6920465,161357,12948,0.077301,1jKnI_ib8c8,ITZY “Motto” M/V,6456288
monthly,2026-05-01,2026-05-31,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,69,65,5626802,88752,3113,0.019411,noatJVfA22U,PEDDI Official Trailer - Hindi | Ram Charan | Janhvi Kapoor | AR Rahman | Buchi Babu Sana | T-Series,1233052
monthly,2026-05-01,2026-05-31,UC1viRct91s1a3Z5yvk7FJXw,Diego Ruzzarin,38,22,5605492,310963,11270,0.068314,NlFAfAqX1zE,HAARP ¿Otra teoría de conspiración confirmada? #diegoruzzarin #geopolitics,1080795
monthly,2026-05-01,2026-05-31,UCNYW2vfGrUE6R5mIJYzkRyQ,DrossRotzank,14,10,5574418,285740,10161,0.075463,R-dn3cfmBuU,ES OFICIAL: Estados Unidos reconoce la existencia de OVNIS,944102
monthly,2026-05-01,2026-05-31,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,26,17,5230168,132333,5552,0.03698,9ZkFpNoq8-g,CATASTROPHIC Guess The Elo,383677
monthly,2026-05-01,2026-05-31,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,102,96,4915650,49296,5948,0.020006,wzgrVJLzLSE,"#2 SPURS at #1 THUNDER | FULL GAME 1 HIGHLIGHTS | May 18, 2026",2024778
monthly,2026-05-01,2026-05-31,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,10,6,4786784,186724,13571,0.052436,n-gYFcVx-8Y,GERMANY IS OVER,2072518
monthly,2026-05-01,2026-05-31,UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,106,105,4564398,91872,5672,0.032584,f8Q_7IaMJ2Y,"Brock Lesnar RETURNS to F5 Oba Femi: Raw highlights, May 18, 2026",720063
monthly,2026-05-01,2026-05-31,UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,2,2,4144124,7760,0,0.003106,KnKYJMe1G-c,Nastya teaches how to properly choose healthy food for energy,2158467
monthly,2026-05-01,2026-05-31,UCupvZG-5ko_eiXAupbDfxWw,CNN,203,199,3716278,82187,14474,0.027577,liiU_V9S_R8,Russian drones attack CNN 14x at Ukraine's 'Road of Life',806501
