grain,period_start,period_end,video_id,channel_id,channel_name,title,period_views_delta,period_likes_delta,period_comments_delta,period_avg_engagement_rate,period_snapshots,latest_views,latest_likes,latest_comments
monthly,2026-05-01,2026-05-31,AaMdXZMvT3w,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,"Survive 30 Days On An Island With Your Ex, Win $250,000",26626777,423556,28757,0.026499,8,68327319,1575923,117509
monthly,2026-05-01,2026-05-31,tfx2CjqtCUI,UCK8sQmJBp8GCxrOtXWBpyEA,Google,I/O '26 Recap: Everything You Need to Know,17536715,11322,952,0.011639,6,17566371,12478,1061
monthly,2026-05-01,2026-05-31,DZ9lpup4VZ0,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,Dragon Glimpse - Hindi | NTR | Anil Kapoor | Rukmini Vasanth | Ravi Basrur | Prashanth Neel,15948035,94632,2684,0.016793,6,24806962,291904,11197
monthly,2026-05-01,2026-05-31,iB_GeSHg5U0,UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,Nastya and DIY beauty salon with Friends,12103293,7606,0,0.000883,3,16460147,11342,0
monthly,2026-05-01,2026-05-31,1jKnI_ib8c8,UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,ITZY “Motto” M/V,12036390,192514,18338,0.034221,7,12860484,301232,30037
monthly,2026-05-01,2026-05-31,BTJGr78-zyw,UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,"Professor Jiang: World War 3 Is About To Begin, Let Me Explain!",11776975,326033,46298,0.034904,17,12557979,354888,51162
monthly,2026-05-01,2026-05-31,nkEBZ_Irvek,UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,Im Gonna Shine - Like Nastya song,11290137,14822,0,0.003491,8,16894804,34529,0
monthly,2026-05-01,2026-05-31,V1Lr-_AxeR8,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,LE SSERAFIM (르세라핌) 'BOOMPALA' OFFICIAL MV,7225100,170122,7546,0.069401,4,9535848,360327,21042
monthly,2026-05-01,2026-05-31,SD4yRDY9mek,UCQznUf1SjfDqx65hX3zRDiA,DrakeVEVO,Drake - Janice STFU,6680104,101775,7576,0.030506,8,11279998,259128,20819
monthly,2026-05-01,2026-05-31,ksn5yrsC3Wg,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,The Crystal That Could Destroy All Medicine,6036574,137771,7420,0.032232,24,7989609,207653,12208
monthly,2026-05-01,2026-05-31,YhUqxWR4mnE,UCQznUf1SjfDqx65hX3zRDiA,DrakeVEVO,Drake - Whisper My Name,5304517,78939,4108,0.032658,8,10437532,268335,15300
monthly,2026-05-01,2026-05-31,KnKYJMe1G-c,UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,Nastya teaches how to properly choose healthy food for energy,5270616,7421,0,0.00169,8,9056909,14318,0
monthly,2026-05-01,2026-05-31,tTi2uZQsmlo,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,TWS (투어스) '너의 모든 가능성이 되어 줄게' Official MV,5036753,29122,1004,0.047505,7,5171652,46241,2318
monthly,2026-05-01,2026-05-31,safzyuZNCGI,UCpcTrCXblq78GZrTUTLWeBw,FIFA,"LISA, Anitta, Rema, FIFA Sound - Goals (FIFA World Cup 2026™) [Official Music Video]",4967213,170898,19561,0.099622,4,9215091,615722,61390
monthly,2026-05-01,2026-05-31,TIqrd6dCa8o,UC415bOPUcGSamy543abLmRA,Cleo Abram,Dark Energy Is Getting Weaker?,4699657,206591,2598,0.05015,18,6166033,288116,3704
monthly,2026-05-01,2026-05-31,fcnDmrtj6Sk,UCYLNGLIzMhRTi6ZOLjAPSmw,Shakira,"Shakira, Burna Boy - Dai Dai (Official Video)",4638021,208520,9669,0.08476,2,14660915,1002204,63309
monthly,2026-05-01,2026-05-31,uUwzOU2FwXo,UC4NALVCmcmL5ntpV0thoH6w,LooLoo Kids - Nursery Rhymes and Children's Songs,Johny Johny Yes Papa - Learn Colors with Colorful BALLS and SuperHERO - Kids Songs & Nursery Rhymes,4596486,4206,0,0.001149,6,5028046,4593,0
monthly,2026-05-01,2026-05-31,QW29Ly55Kvs,UCQznUf1SjfDqx65hX3zRDiA,DrakeVEVO,Drake - Plot Twist,4510470,56001,2750,0.037643,8,9515247,272776,19120
monthly,2026-05-01,2026-05-31,JffHTWti1es,UCQznUf1SjfDqx65hX3zRDiA,DrakeVEVO,Drake - National Treasures,4464407,59460,2832,0.039493,8,9791817,299382,20330
monthly,2026-05-01,2026-05-31,XfGEMCb6BQU,UC415bOPUcGSamy543abLmRA,Cleo Abram,What's Hidden Under Antarctica?,4356796,94942,3071,0.035865,15,5627461,153326,5422
monthly,2026-05-01,2026-05-31,tiKgdh4Csj8,UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,TAEYONG 태용 'WYLD' MV,4334808,36422,3626,0.046865,7,4681138,55604,5942
monthly,2026-05-01,2026-05-31,ipOSrQNrp1U,UCQznUf1SjfDqx65hX3zRDiA,DrakeVEVO,"Drake, Future, Molly Santana - Ran To Atlanta",4048893,56171,3189,0.031745,8,7651355,186695,12545
monthly,2026-05-01,2026-05-31,-WUlOSHMao8,UCDogdKl7t7NHzQ95aEwkdMw,Sidemen,SIDEMEN TINDER IRL IS BACK,4043700,86104,1461,0.036478,8,7045677,218716,7062
monthly,2026-05-01,2026-05-31,bpD-JVy2zV4,UCQznUf1SjfDqx65hX3zRDiA,DrakeVEVO,Drake - Burning Bridges,3989486,55037,3092,0.029474,8,7534157,172916,11149
monthly,2026-05-01,2026-05-31,pVqvSdPR834,UCDogdKl7t7NHzQ95aEwkdMw,Sidemen,ENGLAND VS FRANCE: ELEVEN ALL STARS [OFFICIAL STREAM],3656280,36891,1844,0.01982,1,4639459,90110,1844
monthly,2026-05-01,2026-05-31,0idqiLonGYI,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,I Tested Every Zack D. Films Video,3598341,83207,6221,0.032624,20,4959334,123826,10162
monthly,2026-05-01,2026-05-31,_V_wkba_kyI,UCyps-v4WNjWDnYRKmZ4BUGw,Airrack,I Hunted Down 100 iPhone Thieves,3452848,55926,1566,0.024708,7,4822785,95860,3974
monthly,2026-05-01,2026-05-31,V-z0k5xu1hM,UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,UFO Roundtable: Former CIA Scientist Proves Aliens Exist!,3228948,95693,17186,0.040487,12,3458225,106559,19802
monthly,2026-05-01,2026-05-31,5Es-WhgMM1o,UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,"Baking Muffins with JJ, Cody, and Nina 🧁 | Super Muffin Man | CoComelon Nursery Rhymes & Kids Songs",3159592,1857,0,0.001199,8,3970830,3208,0
monthly,2026-05-01,2026-05-31,MoR47PedfaU,UCQznUf1SjfDqx65hX3zRDiA,DrakeVEVO,Drake - shabang,3091552,45347,1966,0.034043,8,4246205,94757,5963
monthly,2026-05-01,2026-05-31,FWx3IFnvoas,UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,Play Like A Dinosaur | Imagination & Play Pretend with JJ 🦖 | CoComelon Nursery Rhymes & Kids Songs,3071371,5632,0,0.002826,7,3314760,6180,0
monthly,2026-05-01,2026-05-31,wzgrVJLzLSE,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,"#2 SPURS at #1 THUNDER | FULL GAME 1 HIGHLIGHTS | May 18, 2026",2699391,31970,3469,0.021509,7,4590718,78052,12189
monthly,2026-05-01,2026-05-31,Dl3Vg9N4Bn0,UCu59yAFE8fM0sVNTipR4edw,Masha and The Bear,Masha and the Bear 2026 🥟🐼 Bon appétit and more popular episodes 🎩🐧 Best episodes collection 🎬,2593143,1040,0,0.000911,8,3534284,2232,0
monthly,2026-05-01,2026-05-31,zXvygWE3Ess,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,How Alpha Particles Can Break Computer Chips,2487248,68559,1142,0.032333,10,3582245,108730,1766
monthly,2026-05-01,2026-05-31,VtVzC2_f3nY,UCaY_-ksFSQtTGk0y1HA_3YQ,Ibai,Xokas vs Willyrex ¿Quién sabe más?,2436088,169518,657,0.072256,8,6580574,466373,2630
monthly,2026-05-01,2026-05-31,ESRCdJHbvnU,UCQznUf1SjfDqx65hX3zRDiA,DrakeVEVO,Drake - 2 Hard 4 The Radio,2358328,35483,2834,0.034656,8,4102891,105078,9073
monthly,2026-05-01,2026-05-31,9Qpe2qlERWY,UCQznUf1SjfDqx65hX3zRDiA,DrakeVEVO,Drake - Dust,2305063,26551,1141,0.026562,8,4712596,99740,5202
monthly,2026-05-01,2026-05-31,opB7_JXL0LA,UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,World-Renowned Physicist: You've Been Lied To About Reality! - Michio Kaku,2287890,61445,5868,0.039343,5,2583290,73518,7355
monthly,2026-05-01,2026-05-31,X9CsK_nuqdE,UCGnjeahCJW1AF34HBmQTJ-Q,shakiraVEVO,"Shakira, Burna Boy - Dai Dai (Official Audio)",2263915,68183,3834,0.060015,8,5635459,282410,20199
monthly,2026-05-01,2026-05-31,H8htGyXfeRA,UCgFXm4TI8htWmCyJ6cVPG_A,Toys and Colors,Eva Learns to Make Good Choices,2187947,456,0,0.001665,8,3104620,2453,
monthly,2026-05-01,2026-05-31,n-gYFcVx-8Y,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,GERMANY IS OVER,2186390,80428,11697,0.058967,19,4251251,205102,30576
monthly,2026-05-01,2026-05-31,T_LWKGJDKgo,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,Predator EXPOSED On Financial Audit,2133172,45506,9941,0.030854,21,3332886,72963,18043
monthly,2026-05-01,2026-05-31,SCK22vLTKaI,UCu59yAFE8fM0sVNTipR4edw,Masha and The Bear,Masha and the Bear 2026 🎡🤹‍♀️ Hide and Seek at Wonder Park 🫣🎢 Best episodes cartoon collection 🎬,2101085,2809,0,0.002028,8,2779686,4502,0
