grain,period_start,period_end,channel_id,channel_name,period_video_count,period_new_videos,period_views_delta,period_likes_delta,period_comments_delta,period_avg_engagement_rate,period_top_video_id,period_top_video_title,period_top_video_views_delta
weekly,2026-05-25,2026-05-31,UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,3,0,4666191,2632,0,0.001438,iB_GeSHg5U0,Nastya and DIY beauty salon with Friends,2322025
weekly,2026-05-25,2026-05-31,UCYLNGLIzMhRTi6ZOLjAPSmw,Shakira,1,0,4638021,208520,9669,0.072677,fcnDmrtj6Sk,"Shakira, Burna Boy - Dai Dai (Official Video)",4638021
weekly,2026-05-25,2026-05-31,UCDogdKl7t7NHzQ95aEwkdMw,Sidemen,2,0,3762903,38606,1885,0.025932,pVqvSdPR834,ENGLAND VS FRANCE: ELEVEN ALL STARS [OFFICIAL STREAM],3656280
weekly,2026-05-25,2026-05-31,UCQznUf1SjfDqx65hX3zRDiA,DrakeVEVO,18,0,3604879,36444,2165,0.027805,SD4yRDY9mek,Drake - Janice STFU,578893
weekly,2026-05-25,2026-05-31,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,99,8,3528363,21086,510,0.017428,DZ9lpup4VZ0,Dragon Glimpse - Hindi | NTR | Anil Kapoor | Rukmini Vasanth | Ravi Basrur | Prashanth Neel,2114200
weekly,2026-05-25,2026-05-31,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,19,5,2285632,23714,1331,0.100287,V1Lr-_AxeR8,LE SSERAFIM (르세라핌) 'BOOMPALA' OFFICIAL MV,1396912
weekly,2026-05-25,2026-05-31,UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,154,3,1247355,18418,1024,0.030762,EW-XIxlzCvE,"Saturday Night's Main Event: May 23, 2026",161552
weekly,2026-05-25,2026-05-31,UCpcTrCXblq78GZrTUTLWeBw,FIFA,132,10,1212929,23191,2863,0.021845,safzyuZNCGI,"LISA, Anitta, Rema, FIFA Sound - Goals (FIFA World Cup 2026™) [Official Music Video]",964908
weekly,2026-05-25,2026-05-31,UCupvZG-5ko_eiXAupbDfxWw,CNN,320,19,1177176,27237,3944,0.026353,Y0bjRTU7XmM,Renderings show arch obstructing view of Arlington National Cemetery,121601
weekly,2026-05-25,2026-05-31,UCaY_-ksFSQtTGk0y1HA_3YQ,Ibai,13,3,1058020,34066,347,0.053752,G8K3hqsBwIk,¿Qué opina Piqué de la selección?,246129
weekly,2026-05-25,2026-05-31,UCgFXm4TI8htWmCyJ6cVPG_A,Toys and Colors,9,2,992860,328,0,0.005659,H8htGyXfeRA,Eva Learns to Make Good Choices,313553
