grain,period_start,period_end,video_id,channel_id,channel_name,title,period_views_delta,period_likes_delta,period_comments_delta,period_avg_engagement_rate,period_snapshots,latest_views,latest_likes,latest_comments
weekly,2026-05-18,2026-05-24,AaMdXZMvT3w,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,"Survive 30 Days On An Island With Your Ex, Win $250,000",17584569,297362,19358,0.028018,4,58614124,1437095,107012
weekly,2026-05-18,2026-05-24,tfx2CjqtCUI,UCK8sQmJBp8GCxrOtXWBpyEA,Google,I/O '26 Recap: Everything You Need to Know,17203539,8185,606,0.033492,2,17218656,9115,680
weekly,2026-05-18,2026-05-24,1jKnI_ib8c8,UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,ITZY “Motto” M/V,7582178,162151,13885,0.043149,3,8154541,268154,25289
weekly,2026-05-18,2026-05-24,DZ9lpup4VZ0,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,Dragon Glimpse - Hindi | NTR | Anil Kapoor | Rukmini Vasanth | Ravi Basrur | Prashanth Neel,4771479,54904,1617,0.021959,2,13161484,249503,10041
weekly,2026-05-18,2026-05-24,-WUlOSHMao8,UCDogdKl7t7NHzQ95aEwkdMw,Sidemen,SIDEMEN TINDER IRL IS BACK,3212847,70963,1528,0.040272,4,6143819,202266,7102
weekly,2026-05-18,2026-05-24,KnKYJMe1G-c,UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,Nastya teaches how to properly choose healthy food for energy,3169683,4576,0,0.00176,4,6793041,11302,0
weekly,2026-05-18,2026-05-24,SD4yRDY9mek,UCQznUf1SjfDqx65hX3zRDiA,DrakeVEVO,Drake - Janice STFU,3096960,53440,4307,0.034443,4,7399961,206579,17249
weekly,2026-05-18,2026-05-24,nkEBZ_Irvek,UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,Im Gonna Shine - Like Nastya song,3048961,6775,0,0.004231,4,6895146,25273,0
weekly,2026-05-18,2026-05-24,YhUqxWR4mnE,UCQznUf1SjfDqx65hX3zRDiA,DrakeVEVO,Drake - Whisper My Name,2663826,47523,2564,0.036443,4,7591470,234251,13619
weekly,2026-05-18,2026-05-24,tTi2uZQsmlo,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,TWS (투어스) '너의 모든 가능성이 되어 줄게' Official MV,2637943,21808,790,0.09649,3,2708397,38422,2097
weekly,2026-05-18,2026-05-24,wzgrVJLzLSE,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,"#2 SPURS at #1 THUNDER | FULL GAME 1 HIGHLIGHTS | May 18, 2026",2470053,30665,3303,0.023715,3,4350723,76697,12018
weekly,2026-05-18,2026-05-24,QW29Ly55Kvs,UCQznUf1SjfDqx65hX3zRDiA,DrakeVEVO,Drake - Plot Twist,2346040,34969,1680,0.042593,4,7179342,249922,17949
weekly,2026-05-18,2026-05-24,BTJGr78-zyw,UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,"Professor Jiang: World War 3 Is About To Begin, Let Me Explain!",2314666,63527,8881,0.033095,4,11660847,334008,48631
weekly,2026-05-18,2026-05-24,JffHTWti1es,UCQznUf1SjfDqx65hX3zRDiA,DrakeVEVO,Drake - National Treasures,2309394,35271,1689,0.044322,4,7459025,272945,19092
weekly,2026-05-18,2026-05-24,ipOSrQNrp1U,UCQznUf1SjfDqx65hX3zRDiA,DrakeVEVO,"Drake, Future, Molly Santana - Ran To Atlanta",2086853,34469,1985,0.035701,4,5533412,163121,11236
weekly,2026-05-18,2026-05-24,bpD-JVy2zV4,UCQznUf1SjfDqx65hX3zRDiA,DrakeVEVO,Drake - Burning Bridges,2017407,33099,1852,0.032992,4,5411749,149075,9801
weekly,2026-05-18,2026-05-24,VtVzC2_f3nY,UCaY_-ksFSQtTGk0y1HA_3YQ,Ibai,Xokas vs Willyrex ¿Quién sabe más?,1698446,126444,479,0.072599,4,5766009,418298,2439
weekly,2026-05-18,2026-05-24,_V_wkba_kyI,UCyps-v4WNjWDnYRKmZ4BUGw,Airrack,I Hunted Down 100 iPhone Thieves,1612229,30750,1007,0.02809,3,2841602,68221,3354
weekly,2026-05-18,2026-05-24,zXvygWE3Ess,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,How Alpha Particles Can Break Computer Chips,1463836,38606,720,0.031854,4,3260726,99717,1634
weekly,2026-05-18,2026-05-24,MN_u8Jv807U,UCGmnsW623G1r-Chmo5RB4Yw,KSI,BEST CELEBRITY LOOKALIKE WINS $500 (Ft. Deji),1427761,27993,1226,0.029298,4,3808666,98771,5685
weekly,2026-05-18,2026-05-24,KLa8NenZeVc,UCgFXm4TI8htWmCyJ6cVPG_A,Toys and Colors,Will It POP?! Fun Science With Maddie Eva & Bella,1420348,231,0,0.001018,4,1919107,890,
weekly,2026-05-18,2026-05-24,MoR47PedfaU,UCQznUf1SjfDqx65hX3zRDiA,DrakeVEVO,Drake - shabang,1404508,26086,1161,0.041676,4,2416613,73774,5089
weekly,2026-05-18,2026-05-24,U5Xpd8ja9bk,UC7_YxT-KID8kRbqZo7MyscQ,Markiplier,Where the hell is Iron Lung...?,1403491,86569,2579,0.105026,4,3203546,278770,10445
weekly,2026-05-18,2026-05-24,tiKgdh4Csj8,UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,TAEYONG 태용 'WYLD' MV,1396329,28762,2817,0.086643,3,1466648,47399,4968
weekly,2026-05-18,2026-05-24,noatJVfA22U,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,PEDDI Official Trailer - Hindi | Ram Charan | Janhvi Kapoor | AR Rahman | Buchi Babu Sana | T-Series,1350558,47055,1772,0.039407,3,1358210,47881,1886
weekly,2026-05-18,2026-05-24,FWx3IFnvoas,UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,Play Like A Dinosaur | Imagination & Play Pretend with JJ 🦖 | CoComelon Nursery Rhymes & Kids Songs,1304687,2966,0,0.003847,3,1356088,3290,0
weekly,2026-05-18,2026-05-24,5Es-WhgMM1o,UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,"Baking Muffins with JJ, Cody, and Nina 🧁 | Super Muffin Man | CoComelon Nursery Rhymes & Kids Songs",1286322,1004,0,0.001503,4,1973108,2306,0
weekly,2026-05-18,2026-05-24,Dl3Vg9N4Bn0,UCu59yAFE8fM0sVNTipR4edw,Masha and The Bear,Masha and the Bear 2026 🥟🐼 Bon appétit and more popular episodes 🎩🐧 Best episodes collection 🎬,1261033,602,0,0.001136,4,2105559,1777,0
weekly,2026-05-18,2026-05-24,X9CsK_nuqdE,UCGnjeahCJW1AF34HBmQTJ-Q,shakiraVEVO,"Shakira, Burna Boy - Dai Dai (Official Audio)",1244985,41531,2143,0.064552,4,4562898,254859,18477
weekly,2026-05-18,2026-05-24,ESRCdJHbvnU,UCQznUf1SjfDqx65hX3zRDiA,DrakeVEVO,Drake - 2 Hard 4 The Radio,1225159,22205,1738,0.039533,4,2886008,90725,7926
weekly,2026-05-18,2026-05-24,9Qpe2qlERWY,UCQznUf1SjfDqx65hX3zRDiA,DrakeVEVO,Drake - Dust,1220651,16425,741,0.029581,4,3548112,88832,4763
weekly,2026-05-18,2026-05-24,k0Iwvdbowmg,UCaY_-ksFSQtTGk0y1HA_3YQ,Ibai,¿Cuál Es la Peor Pareja?,1206914,47076,851,0.054462,3,2733052,135839,2895
weekly,2026-05-18,2026-05-24,Zg2MDj-I1vc,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,"#4 CAVALIERS at #3 KNICKS | FULL GAME 1 HIGHLIGHTS | May 19, 2026",1180325,10214,1175,0.01584,2,2677759,32855,4875
weekly,2026-05-18,2026-05-24,YTGEfVNo8DE,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,JAADUGARI (Official Video): Sushant KC | Anna Sharma | Latest Hindi Song | T-Series,1139989,22704,1164,0.024908,3,1173201,26114,1545
weekly,2026-05-18,2026-05-24,liiU_V9S_R8,UCupvZG-5ko_eiXAupbDfxWw,CNN,Russian drones attack CNN 14x at Ukraine's 'Road of Life',1133478,14558,2068,0.020367,3,1582342,24620,3439
weekly,2026-05-18,2026-05-24,IaSv64dC44g,UChBEbMKI1eCcejTtmI32UEw,Joshua Weissman,I Tested The Most Futuristic Kitchen Tech,1110625,22209,1081,0.027937,4,1861584,44278,2395
weekly,2026-05-18,2026-05-24,f8Q_7IaMJ2Y,UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,"Brock Lesnar RETURNS to F5 Oba Femi: Raw highlights, May 18, 2026",1068931,27666,2710,0.042938,3,1604389,52465,5886
weekly,2026-05-18,2026-05-24,5gHzi6r5TbE,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,"INSANE 2OT ENDING #2 Spurs at #1 Thunder | May 18, 2026",1049606,6419,839,0.012204,3,1350873,10868,1602
weekly,2026-05-18,2026-05-24,Z8wKeg_nRVI,UCQznUf1SjfDqx65hX3zRDiA,DrakeVEVO,"Drake, 21 Savage - B’s On The Table",1041770,16458,704,0.033378,4,2076884,54633,3208
weekly,2026-05-18,2026-05-24,zc8Nh4TMB1s,UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,"The Sugar Doctor's WARNING: The ""Healthy"" Foods Quietly Destroying Your Body! - Dr David Unwin",1034022,28941,2624,0.034489,3,1120523,33727,3151
weekly,2026-05-18,2026-05-24,iTJSbJtS8MU,UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,aespa 에스파 'WDA (Whole Different Animal) (Feat. G-DRAGON)' MV,1024044,20362,930,0.025478,4,21062247,501433,32500
weekly,2026-05-18,2026-05-24,MeTbv6Wqfgg,UC7_YxT-KID8kRbqZo7MyscQ,Markiplier,THE BEAUTIFUL TERRIFYING OCEAN | Subnautica 2 - Part 1,1020839,29656,761,0.047676,4,3471532,147682,6379
weekly,2026-05-18,2026-05-24,0ensVjWoq1Y,UCwIWAbIeu0xI0ReKWOcw3eg,Unspeakable,5 School Nights with Peppa Pig,968792,4347,298,0.011006,4,1730842,13535,1200
weekly,2026-05-18,2026-05-24,oZteZj3IPCs,UCUyDOdBWhC1MCxEjC46d-zw,Alex Hormozi,"""Should I Sell My Company?""",959751,40653,420,0.041142,4,1790690,74275,883
weekly,2026-05-18,2026-05-24,ksn5yrsC3Wg,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,The Crystal That Could Destroy All Medicine,936875,13713,889,0.028415,4,7683396,202640,11962
weekly,2026-05-18,2026-05-24,WIaYpCdwJ-Y,UCcjIvuxmWlS5IEQ0JdPV4Ng,Rubius Z,El Reto IMPOSIBLE de Pokémon (Mi Chat vs Un Experto),918818,56938,2540,0.094979,4,1747909,137982,6917
weekly,2026-05-18,2026-05-24,iAibPDM61gc,UCBYyJBCtCvgqA4NwtoPMwpQ,The Wild Project,"The Wild Project #375 - Xokas | ¿Por qué no peleó con IlloJuan?, Hacer pública su relación, DWT 4",914107,26707,1303,0.03284,2,914107,26966,1303
weekly,2026-05-18,2026-05-24,4Sn36Pwmn1Q,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,"Meri Jhopdi Ke Bhaag (Ram Aayenge): Simpal Kharel | Raaj Aashoo,Seepi J | Ram Aayenge Female Version",907537,299,12,0.001667,4,2429296,2849,265
weekly,2026-05-18,2026-05-24,h_VUejXaNCM,UCupvZG-5ko_eiXAupbDfxWw,CNN,CNN crew witnesses drones attacking key road in Ukraine,897984,17476,796,0.025894,3,1108144,23728,1088
weekly,2026-05-18,2026-05-24,SCK22vLTKaI,UCu59yAFE8fM0sVNTipR4edw,Masha and The Bear,Masha and the Bear 2026 🎡🤹‍♀️ Hide and Seek at Wonder Park 🫣🎢 Best episodes cartoon collection 🎬,878182,1301,0,0.002342,4,1452716,2879,0
weekly,2026-05-18,2026-05-24,4mROydqA2zg,UCQznUf1SjfDqx65hX3zRDiA,DrakeVEVO,Drake - Little Birdie,866749,13603,1622,0.038468,4,2624144,82501,7631
weekly,2026-05-18,2026-05-24,3-jY1JrtqeY,UCQznUf1SjfDqx65hX3zRDiA,DrakeVEVO,Drake - Make Them Pay,857454,14325,1217,0.03991,4,2404451,77512,7126
weekly,2026-05-18,2026-05-24,yxB720xLFmw,UCyJbb85EUgWjl38GcF236Jg,Eva Maria Beristain,ASI ES VIVIR EN EL LUGAR MAS CONTAMINADO DE MEXICO - Ruido Social,851441,36825,3481,0.075622,4,1077837,51539,4960
