execution_date,channel_id,channel_name,videos_tracked,new_videos,total_views_delta,median_views_delta,avg_engagement_rate,channel_growth_7d,channel_growth_30d,channel_momentum_7d_vs_30d,channel_momentum_score,publish_frequency_7d,publish_frequency_30d,channel_consistency_score,channel_volatility_robust,top_video_id,top_video_title,top_video_views_delta,shorts_ratio,mid_ratio,long_ratio,metric_confidence_score
2026-05-18T02:10:49.522964+00:00,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,63,2,3573976,6067,0.046082,25244315,47056502,2.299149,90.585242,18,57,34.108527,3.526045,gNwzZxHjEOs,I Tried Anti-Scream Devices,1659210,0.888889,0,0.111111,100
2026-05-18T02:10:49.522964+00:00,UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,2,0,919349,459674.5,0.020265,6474094,8503155,3.263038,97.964377,1,2,70.542636,1.979772,NnvIwG0S8WE,Tennis Ball Cannon vs Human Strength,835616,1,0,0,68.5
2026-05-18T02:10:49.522964+00:00,UC415bOPUcGSamy543abLmRA,Cleo Abram,17,0,2656053,59628,0.043662,19442158,32847827,2.536653,93.384224,4,17,82.945736,1.488738,Qqwn4rzZ-Dk,Is There Life on Venus?,738441,0.764706,0.176471,0.058824,94.75
2026-05-18T02:10:49.522964+00:00,UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,27,1,1142777,2096,0.029723,12112171,21405952,2.424994,92.111959,8,23,13.953488,6.192031,BTJGr78-zyw,"Professor Jiang: World War 3 Is About To Begin, Let Me Explain!",573027,0.111111,0.62963,0.259259,100
2026-05-18T02:10:49.522964+00:00,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,50,2,1692405,10619.5,0.032359,13667138,28620647,2.046545,84.478372,16,45,44.186047,2.962064,OlAIrZ6Wbg0,I am unemployed,539414,0.5,0.02,0.48,100
2026-05-18T02:10:49.522964+00:00,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,92,3,3110350,6829,0.028429,29052856,62169069,2.0028,83.206107,27,84,36.434109,3.168723,NbcOjP9Cm0I,Financial Audit Guest Demands Money From Me,504698,0.858696,0.021739,0.119565,100
2026-05-18T02:10:49.522964+00:00,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,6,0,838921,20369,0.028691,3640629,8533059,1.8285,81.170483,2,6,41.085271,3.033466,zXvygWE3Ess,How Alpha Particles Can Break Computer Chips,409987,0.166667,0.5,0.333333,75.5
2026-05-18T02:10:49.522964+00:00,UCNYW2vfGrUE6R5mIJYzkRyQ,DrossRotzank,13,0,369055,5097,0.071293,2741867,5346080,2.198033,88.295165,4,12,69.767442,1.991207,kCEg-LGz1K4,TOP: Los 7 monstruos que han existido en la DARK WEB,190898,0,0.076923,0.923077,87.75
2026-05-18T02:10:49.522964+00:00,UCDfbsXLRCyk_LIkrtaTmliQ,PlanetaJuan,5,1,206226,37542,0.059241,1903388,2082671,3.916786,98.982188,3,5,51.162791,2.571774,rvVGTI7PFUQ,24 Horas en la ciudad Más Peligrosa del mundo 🇭🇹,129881,0,0,1,73.75
2026-05-18T02:10:49.522964+00:00,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,8,0,206636,12115,0.051432,2048204,4535117,1.935566,82.697201,2,7,80.620155,1.57078,6Dj5ufzrZ78,Could Humans Evolve Flight?,120821,0,0.75,0.25,79
