execution_date,channel_id,channel_name,video_id,title,video_age_days,duration_bucket,content_format,views_delta,likes_delta,comments_delta,engagement_rate,comment_rate,age_adjusted_views_velocity,age_adjusted_growth_percentile,channel_median_views_delta,channel_relative_growth_ratio,channel_relative_growth_log,channel_relative_success_score,format_median_views_delta,format_relative_growth_ratio,current_period_views_delta,previous_period_views_delta,growth_acceleration,growth_acceleration_ratio,growth_trend_label,growth_acceleration_score,peak_velocity,current_velocity,decay_resistance_score,short_term_success_score,mid_term_success_score,long_term_success_score,overall_success_score,trend_burst_score,evergreen_score,packaging_problem_score,metadata_changed,metadata_lift_status,metadata_lift_ratio,growth_volatility_robust,metric_confidence_score,success_horizon_label
2026-05-23T10:46:33.792278+00:00,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,QAkEMtJpq3c,"Hit The Button, Win $1,000",7.78222,short,shorts,25076463,112841,2137,0.006841,0.0002,26475569.796322,100,11002345,2.279193,0.823821,63.217526,97,258520.237113,25076463,30713102,-5636639,0.816474,stable,40.372619,47705142.535167,26475569.796322,55.498356,,65.864295,,65.864295,,,0,False,insufficient_history,,0.504931,72,mid_term
2026-05-23T10:46:33.792278+00:00,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,dqpCvSU-ECE,If This Goes In You Have To Subscribe,5.782336,short,shorts,11226495,86157,514,0.011699,0.000254,11852861.862559,99.994987,11002345,1.020373,0.020168,51.070336,97,115737.061856,11226495,13659143,-2432648,0.821903,stable,40.372619,13910444.625484,11852861.862559,85.208361,,70.36626,,70.36626,65.826493,,0,False,insufficient_history,,0.350967,72,mid_term
2026-05-23T10:46:33.792278+00:00,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,SllXaJiQjBA,Every Youtube Play Button,3.782312,short,shorts,11002345,114574,1390,0.01326,0.000394,11616205.721306,99.989973,11002345,1,0,49.874668,97,113426.237113,11002345,11121205,-118860,0.989312,stable,40.372619,17520246.120753,11616205.721306,66.301613,,,,,69.22719,,0,False,insufficient_history,,0.010688,65,mid_term
2026-05-23T10:46:33.792278+00:00,UCK8sQmJBp8GCxrOtXWBpyEA,Google,uW4B6ziQqvY,What is Gemini Omni?,3.648435,mid,shorts,8130871,166,8,0.000157,0.000014,8584521.775076,99.98496,2837.5,2865.505198,7.960148,99.874668,71,114519.309859,8130871,6523153,1607718,1.246463,stable,100,8584521.775076,8584521.775076,100,,,,,83.286002,,0,False,insufficient_history,,0.772874,79,mid_term
2026-05-23T10:46:33.792278+00:00,UCGmnsW623G1r-Chmo5RB4Yw,KSI,A_TI_Wct288,"$1 vs $50,000 Katana",7.759546,short,shorts,6657670,87069,199,0.017929,0.000059,7029125.549559,99.979947,91816.5,72.510605,4.283722,93.442623,97,68635.773196,6657670,7658687,-1001017,0.869297,stable,40.372619,11115126.086905,7029125.549559,63.239279,,81.715423,,81.715423,,,0,False,insufficient_history,,0.230847,72,mid_term
2026-05-23T10:46:33.792278+00:00,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,hCuqh2NU2Yg,World's Fastest Date,10.782255,short,shorts,4991177,59913,162,0.020078,0.000137,5269652.862499,99.974934,11002345,0.453647,-0.790437,35.11305,97,51455.43299,4991177,4611295,379882,1.082381,stable,99.98886,5781681.649744,5269652.862499,91.143947,,72.525156,,72.525156,,,3.457284,False,insufficient_history,,0.102138,72,mid_term
2026-05-23T10:46:33.792278+00:00,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,V1Lr-_AxeR8,LE SSERAFIM (르세라핌) 'BOOMPALA' OFFICIAL MV,1.283655,mid,videos,3401612,109759,5030,0.062289,0.003684,3591400.267494,99.96992,4168,816.12572,6.704329,99.468592,71,47910.028169,3401612,,,,unknown,,3591400.267494,3591400.267494,100,96.128692,,,96.128692,67.747464,,34.041366,False,insufficient_history,,,72,short_term
2026-05-23T10:46:33.792278+00:00,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,AaMdXZMvT3w,"Survive 30 Days On An Island With Your Ex, Win $250,000",6.782324,long,videos,3008065,36160,2832,0.024829,0.001709,3175895.853389,99.964907,11002345,0.273402,-1.296811,25.768286,157,19159.649682,3008065,3978903,-970838,0.756004,decelerating,40.372619,5853200.89678,3175895.853389,54.259129,,66.956554,,66.956554,68.365419,,24.188661,False,insufficient_history,,0.33807,72,mid_term
2026-05-23T10:46:33.792278+00:00,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,DZ9lpup4VZ0,Dragon Glimpse - Hindi | NTR | Anil Kapoor | Rukmini Vasanth | Ravi Basrur | Prashanth Neel,3.701294,mid,videos,2523010,9621,261,0.014807,0.000551,2663777.876163,99.959894,1068.5,2361.263453,7.766017,99.864641,71,35535.352113,2523010,3937641,-1414631,0.640741,decelerating,40.372619,4696920.488353,2663777.876163,56.713284,,,,,69.851341,,0,False,insufficient_history,,0.359259,79,mid_term
2026-05-23T10:46:33.792278+00:00,UCpcTrCXblq78GZrTUTLWeBw,FIFA,safzyuZNCGI,"LISA, Anitta, Rema, FIFA Sound - Goals (FIFA World Cup 2026™) [Official Music Video]",1.820704,mid,videos,1918824,88306,9357,0.104963,0.009037,2025882.148486,99.95488,943,2034.808059,7.617097,99.824535,71,27025.690141,1918824,,,,unknown,,2025882.148486,2025882.148486,100,99.064099,,,99.064099,69.421783,,57.452668,False,insufficient_history,,,72,short_term
