grain,period_start,period_end,channel_id,channel_name,period_video_count,period_new_videos,period_views_delta,period_likes_delta,period_comments_delta,period_avg_engagement_rate,period_top_video_id,period_top_video_title,period_top_video_views_delta
daily,2026-05-17,2026-05-17,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,61,2,7312573,273479,2749,0.046279,gNwzZxHjEOs,I Tried Anti-Scream Devices,3095583
daily,2026-05-17,2026-05-17,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,89,3,5656472,177462,4375,0.027856,oGTO67JoZDQ,I Hired a Hood Translator For Financial Audit,1660596
daily,2026-05-17,2026-05-17,UC415bOPUcGSamy543abLmRA,Cleo Abram,17,1,5281302,151232,1278,0.044087,Qqwn4rzZ-Dk,Is There Life on Venus?,2005179
daily,2026-05-17,2026-05-17,UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,2,0,1861557,37145,40,0.020441,NnvIwG0S8WE,Tennis Ball Cannon vs Human Strength,1721347
daily,2026-05-17,2026-05-17,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,48,2,1688202,34275,572,0.032077,Bmt8-KsdMkA,JYNXZI WHAT 😂,257773
daily,2026-05-17,2026-05-17,UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,26,1,1515160,42537,4860,0.029761,V-z0k5xu1hM,UFO Roundtable: CIA Physicist Proves Aliens Exist!,588190
daily,2026-05-17,2026-05-17,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,6,0,1345070,32858,954,0.029073,zXvygWE3Ess,How Alpha Particles Can Break Computer Chips,713834
daily,2026-05-17,2026-05-17,UCUyDOdBWhC1MCxEjC46d-zw,Alex Hormozi,211,11,770861,24687,87,0.034885,v4LLsrjzaZY,You Can't Have Both,142301
daily,2026-05-17,2026-05-17,UCOWFKaCN-rzmYk502JFWnqg,Eze Martínez,9,0,657063,25667,305,0.056803,XxiYa7WM0fU,Así Funciona La Fibra Óptica,205053
daily,2026-05-17,2026-05-17,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,8,0,359347,13843,372,0.051759,6Dj5ufzrZ78,Could Humans Evolve Flight?,227803
daily,2026-05-17,2026-05-17,UC52hytXteCKmuOzMViTK8_w,CdeCiencia,25,1,348881,19440,125,0.059171,FUWx-9KF3M8,Los efectos secundarios de las zanahorias,104529
daily,2026-05-17,2026-05-17,UCNYW2vfGrUE6R5mIJYzkRyQ,DrossRotzank,13,1,337517,16242,707,0.071911,R-dn3cfmBuU,ES OFICIAL: Estados Unidos reconoce la existencia de OVNIS,193981
daily,2026-05-17,2026-05-17,UCDfbsXLRCyk_LIkrtaTmliQ,PlanetaJuan,4,0,289367,5705,352,0.057269,rvVGTI7PFUQ,24 Horas en la ciudad Más Peligrosa del mundo 🇭🇹,198943
