grain,period_start,period_end,video_id,channel_id,channel_name,title,period_views_delta,period_likes_delta,period_comments_delta,period_avg_engagement_rate,period_snapshots,latest_views,latest_likes,latest_comments
daily,2026-05-08,2026-05-08,BTJGr78-zyw,UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,"Professor Jiang: World War 3 Has Already Begun, Let Me Explain!",1913994,65305,11479,0.043983,1,2076433,77375,13952
daily,2026-05-08,2026-05-08,TIqrd6dCa8o,UC415bOPUcGSamy543abLmRA,Cleo Abram,Dark Energy Is Getting Weaker?,1004743,42969,550,0.051584,1,2230110,113513,1525
daily,2026-05-08,2026-05-08,-0tv5_bKAaQ,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,Pranks That Are Disappearing,662750,32554,288,0.051695,1,1345519,68687,869
daily,2026-05-08,2026-05-08,0idqiLonGYI,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,I Tested Every Zack D. Films Video,630111,14358,1000,0.031784,1,2150462,62795,5556
daily,2026-05-08,2026-05-08,JDPom9Tnjc4,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,The Best $300 a Month Grocery Budget,601525,14774,384,0.028562,1,1296822,36098,942
daily,2026-05-08,2026-05-08,4m_M1Wpnr2Q,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,Asmongold Makes MILLIONS of Dollars Per Year,549257,12879,329,0.027926,1,4020232,109469,2802
daily,2026-05-08,2026-05-08,k8j-6Xvw_G4,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,JYNXZI PEAK ELOOOOO,496721,19467,50,0.04255,1,3116429,132112,491
daily,2026-05-08,2026-05-08,MjWI_rWQL68,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,Financial Audit Employees Get Free Food DAILY!,480220,14083,156,0.031148,1,6489235,199296,2832
daily,2026-05-08,2026-05-08,ksn5yrsC3Wg,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,The disaster I never imagined having to worry about,463338,8121,461,0.03372,1,4953677,157928,9110
daily,2026-05-08,2026-05-08,8_dh-IB9jZ8,UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,6 BILLION PEOPLE WILL STARVE,418455,8735,619,0.022487,1,429487,8991,667
daily,2026-05-08,2026-05-08,IM4NXjEW8vA,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,Actors Who Got Paid For Doing Nothing,373412,16247,124,0.052448,1,734385,38160,357
daily,2026-05-08,2026-05-08,n-gYFcVx-8Y,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,GERMANY IS OVER,344861,15264,1991,0.063506,1,2972905,164607,24190
daily,2026-05-08,2026-05-08,0QQ_jxbZbv0,UCOWFKaCN-rzmYk502JFWnqg,Eze Martínez,Los cubos Rubik se atraen?,341641,23829,254,0.075705,1,944891,70569,964
daily,2026-05-08,2026-05-08,etURVlpA5mA,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,Tamizh Amudhan 👑,307105,7438,69,0.03119,1,1097506,33821,410
daily,2026-05-08,2026-05-08,wmeUOPjA_qc,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,"This Military Cook Makes $4,000 a Month Forever",277827,6417,241,0.027898,1,2271388,61330,2038
daily,2026-05-08,2026-05-08,NlFAfAqX1zE,UC1viRct91s1a3Z5yvk7FJXw,Diego Ruzzarin,HAARP ¿Otra teoría de conspiración confirmada? #diegoruzzarin #geopolitics,263031,17901,673,0.086524,1,487509,40669,1512
daily,2026-05-08,2026-05-08,9Gr2QjvSQ-I,UC36xmz34q02JYaZYKrMwXng,Nate Gentile,Adiós Windows. Me paso a LINUX para SIEMPRE,262234,12408,577,0.067373,1,774269,49221,2944
daily,2026-05-08,2026-05-08,QPWScf-86po,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,I Made Mascots For Stores That Don’t Have Them,253703,4609,55,0.030656,1,7018873,212253,2919
