grain,period_start,period_end,channel_id,channel_name,period_video_count,period_new_videos,period_views_delta,period_likes_delta,period_comments_delta,period_avg_engagement_rate,period_top_video_id,period_top_video_title,period_top_video_views_delta
monthly,2026-05-01,2026-05-31,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,48,15,12994600,290311,11120,0.027855,xjcVnFd-4YA,Mustang VS Tesla,1009771
monthly,2026-05-01,2026-05-31,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,32,11,9468570,323665,3559,0.050344,QPWScf-86po,I Made Mascots For Stores That Don’t Have Them,4363585
monthly,2026-05-01,2026-05-31,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,24,8,6253857,126783,1891,0.033257,qgzwtKsXCMo,Jynxzi REALIZES,1983440
monthly,2026-05-01,2026-05-31,UC415bOPUcGSamy543abLmRA,Cleo Abram,9,3,5528041,202911,2086,0.052073,Su0aCV35IFM,There's a Telescope at the Bottom of the Ocean,1808633
monthly,2026-05-01,2026-05-31,UC52hytXteCKmuOzMViTK8_w,CdeCiencia,13,4,3776825,84413,554,0.056149,WgcdDVIUXcI,¿Cómo funcionan las gomas de borrar?,1760380
monthly,2026-05-01,2026-05-31,UCOWFKaCN-rzmYk502JFWnqg,Eze Martínez,5,1,3170545,103087,1936,0.051783,WOTUpoI2LQA,Dron quieto o en movimiento?,1647597
monthly,2026-05-01,2026-05-31,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,4,1,3042656,90060,4089,0.031522,ksn5yrsC3Wg,The Disaster I Never Imagined Having To Worry About,2630890
monthly,2026-05-01,2026-05-31,UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,14,4,2358605,54995,3297,0.031237,jLFG_FZKbks,"Stock Expert: Becoming Rich Is Simple, But You Won’t Do It!",1081810
monthly,2026-05-01,2026-05-31,UCUyDOdBWhC1MCxEjC46d-zw,Alex Hormozi,105,35,2093248,60880,547,0.038492,4yDM3ZFcQm4,"""Am I Selling The Wrong Thing?""",304891
monthly,2026-05-01,2026-05-31,UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,1,1,1722141,33502,211,0.024367,IEJALLQFmDs,You’re Breathing Dinosaur Breath!,1722141
