grain,period_start,period_end,channel_id,channel_name,period_video_count,period_new_videos,period_views_delta,period_likes_delta,period_comments_delta,period_avg_engagement_rate,period_top_video_id,period_top_video_title,period_top_video_views_delta
weekly,2026-05-04,2026-05-10,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,51,5,5481854,127661,4382,0.028416,n2T6AOoUkOM,This New Day Trading Rule Will BANKRUPT People,853189
weekly,2026-05-04,2026-05-10,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,35,4,2883967,98969,1072,0.050568,QPWScf-86po,I Made Mascots For Stores That Don’t Have Them,993248
weekly,2026-05-04,2026-05-10,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,26,2,2670869,53693,745,0.033589,P1DSZNhApJA,Jynxzi no no no no nooooooo,745363
weekly,2026-05-04,2026-05-10,UC415bOPUcGSamy543abLmRA,Cleo Abram,9,1,2059122,81934,713,0.051292,5LJ1cxjQhyE,Why Antarctica Has SO MANY Meteorites,653010
weekly,2026-05-04,2026-05-10,UCUyDOdBWhC1MCxEjC46d-zw,Alex Hormozi,113,12,1105021,31284,261,0.037673,4yDM3ZFcQm4,"""Am I Selling The Wrong Thing?""",328661
weekly,2026-05-04,2026-05-10,UCOWFKaCN-rzmYk502JFWnqg,Eze Martínez,5,0,803413,26482,605,0.051778,WOTUpoI2LQA,Dron quieto o en movimiento?,407540
weekly,2026-05-04,2026-05-10,UC52hytXteCKmuOzMViTK8_w,CdeCiencia,14,1,787368,36913,339,0.058175,mK3xENFCGnI,El experimento de las descargas eléctricas,227422
weekly,2026-05-04,2026-05-10,UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,15,2,687434,16039,894,0.031566,jLFG_FZKbks,"Stock Expert: Becoming Rich Is Simple, But You Won’t Do It!",211970
weekly,2026-05-04,2026-05-10,UCDOSaJ0pnglwzfkR6fYbisA,Luis Mi Negocios,20,1,643568,29079,882,0.222706,OrI86PV-aPg,Ozempic está DESTRUYENDO negocios que NADIE esperaba,518003
weekly,2026-05-04,2026-05-10,UC7DdEm33SyaTDtWYGO2CwdA,Physics Girl,2,0,613773,13314,419,0.04867,4s9LuOSR3Q4,What would happen if the Sun dissapeared?,597872
weekly,2026-05-04,2026-05-10,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,4,1,540157,13378,604,0.032453,ksn5yrsC3Wg,The Disaster I Never Imagined Having To Worry About,414148
weekly,2026-05-04,2026-05-10,UCNYW2vfGrUE6R5mIJYzkRyQ,DrossRotzank,7,1,453508,26365,744,0.084235,tpay1lEGZ7g,El muerto que se enterró a sí mismo,160358
weekly,2026-05-04,2026-05-10,UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,1,0,377754,7635,38,0.023434,IEJALLQFmDs,You’re Breathing Dinosaur Breath!,377754
weekly,2026-05-04,2026-05-10,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,5,0,336969,12101,1144,0.052666,n-gYFcVx-8Y,GERMANY IS OVER,189992
weekly,2026-05-04,2026-05-10,UC1viRct91s1a3Z5yvk7FJXw,Diego Ruzzarin,23,4,274553,13553,788,0.072571,2ZV29QhLfjw,"Los aranceles de Trump fueron ilegales, ahora el pueblo paga. #diegoruzzarin",63125
weekly,2026-05-04,2026-05-10,UCQX_MZRCaluNKxkywkLEgfA,Date un Vlog,4,0,230979,9897,567,0.061236,eOI7WQIEX1Y,"Cole Allen, Trump y los 11 científicos desaparecidos",162498
weekly,2026-05-04,2026-05-10,UC7_gcs09iThXybpVgjHZ_7g,PBS Space Time,1,0,188962,6931,499,0.065826,FMdrD_jcYgE,We Found Galaxies Too Old for the Universe,188962
weekly,2026-05-04,2026-05-10,UC36xmz34q02JYaZYKrMwXng,Nate Gentile,4,0,187860,6190,94,0.040813,ywEV7NQlO1Y,33.000 € en suscripciones. 🫠,162889
weekly,2026-05-04,2026-05-10,UCPgVPrgqpALC1s2e63fgKyg,elWacky,16,1,178521,11894,664,0.079805,Gmfpq60LbVQ,Quizás Mañana Tu YouTuber Favorito Desaparezca,66181
weekly,2026-05-04,2026-05-10,UCM55RjebjSevVWPnj2LEymw,viyaura,9,1,165338,4191,971,0.062678,2r0m4TsyIxs,"These Emojis Should NOT Exist...(yes, again)",111215
weekly,2026-05-04,2026-05-10,UCF0L4jd9LcSIxsj5gKITMqQ,Jaime Higuera,148,14,108226,6685,112,0.072456,nrIEhoSCOg8,Me voló la cabeza cuando Jaime Higuera dijo esto #shorts,15436
weekly,2026-05-04,2026-05-10,UC5mQQ4Ur6oA8lsGFkvH2lyg,Noche De Chicxs,36,4,107787,2993,173,0.039899,fwUWAoSeg2g,¡Dos AMANTES en su FUNERAL! 😱 Ft.  @fridaaraujof  - T10E06 #podcast #chismes #amantes,32725
weekly,2026-05-04,2026-05-10,UC1VLQPn9cYSqx8plbk9RxxQ,The Action Lab,2,0,95970,2359,268,0.04322,1baBzd1XPkU,Gravity Assists Are Basically Free Energy,90427
weekly,2026-05-04,2026-05-10,UC5PwIMtLiIBCBhsu8f_-6UQ,Santiago Bilinkis,14,2,92997,4802,227,0.050153,rfRFwXnk660,Salvá a tus hijos (estás a tiempo),68743
weekly,2026-05-04,2026-05-10,UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,14,1,85212,2609,75,0.032339,jCyhEO3h-Ik,My simple path to getting rich,29488
weekly,2026-05-04,2026-05-10,UC1yNl2E66ZzKApQdRuTQ4tw,Sabine Hossenfelder,8,0,84778,2898,319,0.064911,UsS6bOYnnOI,The Reason Aliens Haven’t Contacted Us Might Be Horrifying…,34052
weekly,2026-05-04,2026-05-10,UCPdaxSov0mgwh77JvjQO2jQ,Man Carrying Thing,5,1,83896,3971,655,0.084826,IrGd4xIhTN0,the Rise of Woke Books - a Response,62957
weekly,2026-05-04,2026-05-10,UCyJbb85EUgWjl38GcF236Jg,Eva Maria Beristain,5,1,72646,2237,217,0.049226,1_H80JEZ2ko,¿CIUDADANOS DE SEGUNDA?: EDO MEX VS CDMX,43738
weekly,2026-05-04,2026-05-10,UCR1IuLEqb6UEA_zQ81kwXfg,Real Engineering,2,0,69721,3798,60,0.05942,jAaw0vn7eLs,Why the Nokia 3310 was so Durable,37628
weekly,2026-05-04,2026-05-10,UCgNg3vwj3xt7QOrcIDaHdFg,PolyMatter,1,0,68739,1838,159,0.036831,t9PF8V132Y4,Walmart’s New Plan to Defeat Amazon,68739
weekly,2026-05-04,2026-05-10,UCaRLjOy-9m_eJ9REVqc0YoQ,Gustavo Entrala,1,0,65286,3187,144,0.057946,JjwHFerSu4M,CHINA hizo grande a APPLE. APPLE hizo de CHINA una SUPERPOTENCIA.,65286
weekly,2026-05-04,2026-05-10,UCDV1MWcRLthxSrmb2Zv-jeg,Ricardo Alca2,3,0,64749,4020,112,0.08942,eRD2C7w9r6Y,"""Hablemos de Cuerpos Ajenos""",39775
weekly,2026-05-04,2026-05-10,UCFBpVaKCC0ajGps1vf0AgBg,Humphrey Yang,8,1,63843,1158,199,0.022172,gzjXoJoWgjs,How Much You Need Invested to Live Off Dividends in 2026,31006
weekly,2026-05-04,2026-05-10,UCbdSYaPD-lr1kW27UJuk8Pw,QuantumFracture,3,0,63117,2632,54,0.068556,jRLXiOUYpqE,Los Microondas Podrían Calentar Más... Pero Sería Ilegal,37415
weekly,2026-05-04,2026-05-10,UCaVPhFg-Ax873wvhbNitsrQ,El Robot de Platón,9,0,60413,3943,424,0.078795,u5HPVyEpyNI,Por qué son INÚTILES las LEYES de la ROBÓTICA,32733
weekly,2026-05-04,2026-05-10,UCOHxDwCcOzBaLkeTazanwcw,Bravos Research,3,0,59632,1124,0,0.024886,YUwjueXzffE,History is About to Be Made.,56848
weekly,2026-05-04,2026-05-10,UCVt4ugq2txl_szlXAO7B3-g,Adrián Sáenz,4,0,58672,2762,94,0.050995,Lqq78q17jDY,La Forma Más Fácil De Ganar Dinero Con Claude,44173
weekly,2026-05-04,2026-05-10,UCTfQ65AxquXmih3r6rZmK-Q,jefillysh,3,0,56762,4138,148,0.080567,8TvJvfKz8Fo,No es Normal Vivir Así,50923
weekly,2026-05-04,2026-05-10,UCP15FVAA2UL-QOcGhy7-ezA,EDteam,43,4,56250,2432,116,0.052634,KdmRWazuBRU,¡Volvió Deepseek v4! Al nivel de GPT y Claude y 10 veces más barato,21110
weekly,2026-05-04,2026-05-10,UCl5-lvQyfILb-l2abPk4Ntg,Inteligencia Artificial,45,3,55515,1207,89,0.032042,n8bdMyQzV0U,Se acabó el chollo de la IA,16278
weekly,2026-05-04,2026-05-10,UC55-mxUj5Nj3niXFReG44OQ,Platzi,16,1,55275,1358,32,0.040342,69AWec8qjjo,La batalla legal entre Elon Musk y OpenAI,35797
weekly,2026-05-04,2026-05-10,UCC552Sd-3nyi_tk2BudLUzA,AsapSCIENCE,4,0,55061,2419,127,0.04934,jytAQWCc_TI,You’ll never look at it the same after this video,34463
weekly,2026-05-04,2026-05-10,UCJQQVLyM6wtPleV4wFBK06g,VisualPolitik,6,0,50785,1115,57,0.03864,rc-xQnupse0,La EXTRAÑA decisión de CHINA sobre IRÁN que DESCONCIERTA a todo el mundo @VisualPolitik,19581
weekly,2026-05-04,2026-05-10,UCqLiW00gUvXG0J5vlZZNJ1g,FranqitoM,1,1,49845,2370,14,0.094791,U5l0Z8T4tCk,Spotify ?,49845
weekly,2026-05-04,2026-05-10,UC9RM-iSvTu1uPJb8X5yp3EQ,Wendover Productions,1,0,47135,2316,274,0.0674,GREaEG_0Xcw,How Car Dealerships Scam America,47135
weekly,2026-05-04,2026-05-10,UCzR-rom72PHN9Zg7RML9EbA,PBS Eons,2,0,46873,1350,71,0.043028,JWOErbTL9N4,How Dinosaurs May Have Cursed Us With Aging,45323
weekly,2026-05-04,2026-05-10,UCEQXxiYxNZbym9Fad7-n2Lg,Doctor Fisión,18,3,46696,2724,90,0.082783,f9AFrDB-73g,EL DÍA QUE HUBBLE LO CAMBIÓ TODO 🛰️,14437
weekly,2026-05-04,2026-05-10,UCyM-2pRapEv6V2q7UNO9icg,Emprende Aprendiendo,15,2,44535,758,3,0.028373,Hk20QLW6nEc,El afilador que creó un imperio de cuchillos,29434
weekly,2026-05-04,2026-05-10,UCBBWpss2iXVXtTzl7-4eWbg,Jessica Fernández García,14,2,36451,832,94,0.038022,LLK879SXq_w,La TÍA PATY: Del CHISME en REDES a la CÁRCEL- Más allá del rosa con Perla Calvillo Cantu,28373
weekly,2026-05-04,2026-05-10,UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,5,1,35923,982,31,0.029478,oOCN30ulVyo,My FULL OpenClaw Setup (steal my prompts!),32794
weekly,2026-05-04,2026-05-10,UC4QZ_LsYcvcq7qOsOhpAX4A,ColdFusion,1,0,34752,692,40,0.033999,QfUb5MEAOXA,An Unknown Engineer is Apple's New CEO,34752
weekly,2026-05-04,2026-05-10,UCvzk_MwdXD6jQa4Se-6B9ZQ,Adrià Solà Pastor,4,1,34390,1430,64,0.073726,5-ASQ44GpNI,Experto En Seducción Revela Los Secretos De La Atracción Y El Deseo “La Clave Está En El Sudor”,19656
weekly,2026-05-04,2026-05-10,UCJ24N4O0bP7LGLBDvye7oCA,Matt D'Avella,1,0,32647,1433,49,0.057153,-1Fhry-Mqks,I tried to optimize my life. It made it worse.,32647
weekly,2026-05-04,2026-05-10,UCxFACDJ98idvo9Gq9M9AQgg,Moris Dieck | Finanzas e Inversiones ,26,2,31795,882,59,0.046737,Cp3DxMyEBIM,Por qué EE.UU. necesita a México más que nunca | Dimes y Billetes #447,12833
weekly,2026-05-04,2026-05-10,UCtIdb7KRqOTcOogKsos_QRw,Lord Draugr,1,0,30768,617,8,0.040725,TET8fTKH1e8,Algo MUY RARO está pasando en el DESIERTO de CHINA,30768
weekly,2026-05-04,2026-05-10,UCdNnEDbRWhanA1O8zhCn3ZA,Omar - Educación Financiera,9,1,30297,1157,45,0.050678,a1aFhMw2wQE,Esquema de Pool de rentas #shorts #rentas #finanzas #dinero,8243
weekly,2026-05-04,2026-05-10,UCMOqf8ab-42UUQIdVoKwjlQ,Practical Engineering,2,0,28966,1237,57,0.043113,fKuIJ_z2Y6A,The Physics Behind the Thumb Trick,20577
weekly,2026-05-04,2026-05-10,UCSju5G2aFaWMqn-_0YBtq5A,Stand-up Maths,1,0,28789,909,116,0.051954,kH_bSvf7EVA,What is up with UK bridge height signs?,28789
weekly,2026-05-04,2026-05-10,UCRDQzsHtx2cXvzEXnEhbxBg,Mister Krax,27,2,28260,1902,223,0.086664,wJOakc64crg,¿Argentina ha mejorado o empeorado con Milei?,7172
weekly,2026-05-04,2026-05-10,UChhw6DlKKTQ9mYSpTfXUYqA,Starter Story,5,1,24652,757,19,0.0404,D4fkiQfzw_I,How I Work: $77K/Month Solopreneur,21551
weekly,2026-05-04,2026-05-10,UCX9NJ471o7Wie1DQe94RVIg,Fazt,11,3,22053,930,41,0.052783,NRELko2BoRk,Probé TODOS los Agentes de IA para Código… Esto Aprendí,5656
weekly,2026-05-04,2026-05-10,UCbUYAYd1WUznxEEl498z7vA,Woshingo Streams,14,1,21493,741,32,0.05435,MqpQhyjFZQU,aimep3 siendo pickme,9928
weekly,2026-05-04,2026-05-10,UCDfbsXLRCyk_LIkrtaTmliQ,PlanetaJuan,2,1,20983,1054,76,0.081371,66gMxbNKaYA,El PARAÍSO de los MULTIMILLONARIOS 🤑,14282
weekly,2026-05-04,2026-05-10,UCoXtmmnLCbXDiSo8GxsmOzA,La gata de Schrödinger,3,0,19500,958,77,0.070249,RWGr8LwG3TY,El Oscuro y Violento Mundo de la IA para NIÑOS,17074
weekly,2026-05-04,2026-05-10,UCb8GKeOvI7WsFUkB4UVAeXA,Cordura Artificial,3,0,19167,1322,79,0.079587,gEUMAljLr78,"¿Por qué los RICOS fingen ser ""POBRES""?",16338
weekly,2026-05-04,2026-05-10,UCmE44gpkHmf5bKIVTPSwxnQ,Judith Tiral,4,1,18651,551,24,0.047321,zxQJIBt9CBI,Así es DEFENDER a un ASESINO: entrevisto a Beatriz de Vicente,14947
weekly,2026-05-04,2026-05-10,UCoxcjq-8xIDTYp3uz647V5A,Numberphile,1,1,15639,448,32,0.05904,SAtFZPtbMpI,Entirely Ridiculously Big Numbers - Numberphile,15639
weekly,2026-05-04,2026-05-10,UC4FHiPgS1KXkUMx3dxBUtPg,HolaMundo,7,2,14843,660,13,0.053308,kmKuk_TCEvU,"Se acabó la subvención de la IA, estas son las mejores alternativas",6597
weekly,2026-05-04,2026-05-10,UCPTlwyaEoJOVyvDLzHagzNQ,WATOP,7,0,14830,505,7,0.044128,40-68Uco_u0,"Mientras Egipto Gritaba, Etiopía Se Apoderó Del Nilo Y Ahora Podría Privar A Egipto De Toda Su Agua",7187
weekly,2026-05-04,2026-05-10,UCxcDzs-4quJV4QsairlFYNg,Alejavi Rivera,4,2,14431,571,20,0.060254,iQxwDGnuByc,La IA China acaba de Explotar en el TOP 1: Y esto puedes hacer ahora 🔥,7254
weekly,2026-05-04,2026-05-10,UCEK0oX3X2yK9y27khCsrNKg,Mis Propias Finanzas,26,6,13753,570,76,0.052148,Gr6qcQdzDfw,La Verdad Económica del Nuevo Decreto Pensional en Colombia,4464
weekly,2026-05-04,2026-05-10,UCqcbQf6yw5KzRoDDcZ_wBSw,Wes Roth,8,0,12551,229,64,0.028711,LMJb-_uL6lQ,AI just killed Crypto...,8209
weekly,2026-05-04,2026-05-10,UCYZLVhSSwdBllvn4tw5a4uQ,Rob Paper Sheet,3,0,12222,522,16,0.052213,POn6IRgP5-A,La INFIDELIDAD está Fuera de Control...,11320
weekly,2026-05-04,2026-05-10,UCs0QXHkbkBDM_NwnRiGFoTA,Crea Y Transforma,4,1,10761,331,6,0.056751,Rvy2kXZpBtM,50 Datos Sorprendentes de la Ciudad de Miami,8137
