creative_package_id,content_format,generated_at,source_action_id,source_opportunity_id,source_video_id,source_channel_name,source_title,topic,package_type,creative_angle,recommended_format,recommended_timeframe,source_decision_score,topic_opportunity_score,title_pattern_success_score,originality_score,copy_risk_score,production_feasibility_score,creative_execution_score,confidence_score,transcript_available,transcript_insights_path,transcript_summary,transcript_hook_type,transcript_narrative_structure,transcript_reuse_opportunities,transcript_risk_notes,evidence_json,dashboard_tab,recommended_next_step
cp_64_d05123b9a6,videos,2026-05-24T11:06:57.071535+00:00,act_c08f5ecd26ab9e37,opp_act_c08f5ecd26ab9e37,yV5ZOIunUiY,LUZU TV,#UNSÁBADOMEJOR | CASAMIENTO EN LA TRIBUNA + EL AMOR DE TEFI Y EL POLLO + LOS ROZE ,analyze_reference,comparison_package,Enfoque comparison para analyze_reference,video explicativo,this_week,83.0379,,50.0,98.3333,1.6667,60.0,76.1416,72.0,False,,,,[],[],[],"{""action_type"": ""analyze_reference"", ""opportunity_type"": ""analyze_reference"", ""content_format"": ""videos"", ""transcript_available"": false}",creative_execution,iniciar_preproduccion
cp_77_c051c9593d,videos,2026-05-24T11:06:57.071535+00:00,act_ed4d09ae59217ae3,,YCwNCVftOvg,Platzi,Aquí las noticias del mundo tech de esta semana 🗣️,tema clave,watchlist_package,Enfoque watchlist para tema clave,video explicativo,next_run,82.0447,,50.0,96.1873,3.8127,50.0,75.8047,100.0,False,,,,[],[],[],"{""action_type"": ""monitor_next_run"", ""opportunity_type"": """", ""content_format"": ""videos"", ""transcript_available"": false}",creative_execution,mantener_watchlist
cp_81_65d970d37a,shorts,2026-05-24T11:06:57.071535+00:00,act_b1935fdf6678714a,,tJH_gXK_WBM,GothamChess,Memory Loss,tema clave,watchlist_package,Enfoque watchlist para tema clave,video explicativo,next_run,81.399,,50.0,100.0,0.0,50.0,76.2371,100.0,False,C:\Users\ASUS\Documents\GitHub\ytb_history\data\transcripts\videos\tJH_gXK_WBM\transcript_insights.json,,,[],[],[],"{""action_type"": ""monitor_next_run"", ""opportunity_type"": """", ""content_format"": ""shorts"", ""transcript_available"": false}",creative_execution,mantener_watchlist
cp_82_7d767efb86,videos,2026-05-24T11:06:57.071535+00:00,act_32af2867b8b19928,,dqqbLS57ZWk,Mis Propias Finanzas,"""La Sociedad del Cansancio"" de Byung-Chul Han | Club de Lectura #197",tema clave,watchlist_package,Enfoque watchlist para tema clave,video explicativo,next_run,81.3819,,50.0,94.7368,5.2632,50.0,75.2427,100.0,False,,,,[],[],[],"{""action_type"": ""monitor_next_run"", ""opportunity_type"": """", ""content_format"": ""videos"", ""transcript_available"": false}",creative_execution,mantener_watchlist
cp_83_cc72482da3,videos,2026-05-24T11:06:57.071535+00:00,act_5e24334dbe82b886,opp_act_5e24334dbe82b886,45gql-X3swI,Guardian News,Australian doctor says Gaza flotilla activists treated ‘worse than animals’ by Israel,analyze_reference,comparison_package,Enfoque comparison para analyze_reference,video explicativo,this_week,81.3553,,50.0,100.0,0.0,60.0,75.9367,75.5,False,,,,[],[],[],"{""action_type"": ""analyze_reference"", ""opportunity_type"": ""analyze_reference"", ""content_format"": ""videos"", ""transcript_available"": false}",creative_execution,iniciar_preproduccion
cp_86_52ad43590c,shorts,2026-05-24T11:06:57.071535+00:00,act_02bd9c196ccca225,,ImG1BgHsqHk,Sambucha,Movie Scenes That Led To Lawsuits,tema clave,watchlist_package,Enfoque watchlist para tema clave,video explicativo,next_run,81.267,,50.0,100.0,0.0,50.0,76.1793,100.0,False,C:\Users\ASUS\Documents\GitHub\ytb_history\data\transcripts\videos\ImG1BgHsqHk\transcript_insights.json,,,[],[],[],"{""action_type"": ""monitor_next_run"", ""opportunity_type"": """", ""content_format"": ""shorts"", ""transcript_available"": false}",creative_execution,mantener_watchlist
cp_88_ecc614f78a,shorts,2026-05-24T11:06:57.071535+00:00,act_25ebe59049eddfb9,,uIcth4jt5yQ,Caleb Hammer,"This Civil Engineer Makes $150,000!",tema clave,watchlist_package,Enfoque watchlist para tema clave,video explicativo,next_run,81.1374,,50.0,100.0,0.0,50.0,76.1226,100.0,False,,,,[],[],[],"{""action_type"": ""monitor_next_run"", ""opportunity_type"": """", ""content_format"": ""shorts"", ""transcript_available"": false}",creative_execution,mantener_watchlist
cp_89_86ea875c7f,videos,2026-05-24T11:06:57.071535+00:00,act_76b3287477952c62,opp_act_76b3287477952c62,Wo6VcQNG050,NBC News,Good News: Wrong number leads to unlikely friendship,create_fast_reaction,fast_reaction_package,Enfoque fast reaction para create_fast_reaction,video corto,next_3_days,81.129,,50.0,100.0,0.0,75.0,78.5877,89.5,False,,,,[],[],[],"{""action_type"": ""create_fast_reaction"", ""opportunity_type"": ""create_fast_reaction"", ""content_format"": ""videos"", ""transcript_available"": false}",creative_execution,iniciar_preproduccion
cp_90_e6cdde1207,videos,2026-05-24T11:06:57.071535+00:00,act_d804d8ca4ffcfc68,opp_act_d804d8ca4ffcfc68,1GEqDZ3hQSo,60 Minutes,"Why Christopher Nolan shot ""The Odyssey"" on IMAX film",create_fast_reaction,fast_reaction_package,Enfoque fast reaction para create_fast_reaction,video corto,next_3_days,81.0952,,50.0,100.0,0.0,75.0,78.5729,89.5,False,,,,[],[],[],"{""action_type"": ""create_fast_reaction"", ""opportunity_type"": ""create_fast_reaction"", ""content_format"": ""videos"", ""transcript_available"": false}",creative_execution,iniciar_preproduccion
cp_92_7b4481298a,videos,2026-05-24T11:06:57.071535+00:00,act_ea56d726e9c7a6ee,,iSyI8IqeQ6Q,Doctor Fisión,ASÍ SE VE LA VÍA LÁCTEA DESDE LA ISS 🌌,tema clave,watchlist_package,Enfoque watchlist para tema clave,video explicativo,next_run,81.0036,,50.0,98.0392,1.9608,50.0,75.6964,100.0,False,,,,[],[],[],"{""action_type"": ""monitor_next_run"", ""opportunity_type"": """", ""content_format"": ""videos"", ""transcript_available"": false}",creative_execution,mantener_watchlist
