creative_package_id,content_format,hook_id,hook_text,hook_type,expected_use,risk
cp_55_e8b0bd8961,videos,cp_55_e8b0bd8961_h1,¿Qué cambia realmente con analyze_reference?,question_hook,intro,low
cp_55_e8b0bd8961,videos,cp_55_e8b0bd8961_h2,"Muchos simplifican analyze_reference, pero hay matices críticos.",contrast_hook,intro,medium
cp_55_e8b0bd8961,videos,cp_55_e8b0bd8961_h3,Los datos recientes de analyze_reference muestran una señal accionable.,data_hook,intro,low
cp_55_e8b0bd8961,videos,cp_55_e8b0bd8961_h4,Error común: ejecutar analyze_reference sin validar evidencia.,mistake_hook,middle,medium
cp_55_e8b0bd8961,videos,cp_55_e8b0bd8961_h5,En este video saldrás con un plan claro sobre analyze_reference.,promise_hook,intro,low
cp_55_e8b0bd8961,videos,cp_55_e8b0bd8961_h6,Hay un detalle de analyze_reference que cambia toda la decisión.,curiosity_hook,intro,medium
cp_59_30a3a4a4a2,shorts,cp_59_30a3a4a4a2_h1,¿Qué cambia realmente con tema clave?,question_hook,intro,low
cp_59_30a3a4a4a2,shorts,cp_59_30a3a4a4a2_h2,"Muchos simplifican tema clave, pero hay matices críticos.",contrast_hook,intro,medium
cp_59_30a3a4a4a2,shorts,cp_59_30a3a4a4a2_h3,Los datos recientes de tema clave muestran una señal accionable.,data_hook,intro,low
cp_59_30a3a4a4a2,shorts,cp_59_30a3a4a4a2_h4,Error común: ejecutar tema clave sin validar evidencia.,mistake_hook,middle,medium
cp_59_30a3a4a4a2,shorts,cp_59_30a3a4a4a2_h5,En este video saldrás con un plan claro sobre tema clave.,promise_hook,intro,low
cp_59_30a3a4a4a2,shorts,cp_59_30a3a4a4a2_h6,Hay un detalle de tema clave que cambia toda la decisión.,curiosity_hook,intro,medium
cp_73_67cc5b9a28,videos,cp_73_67cc5b9a28_h1,¿Qué cambia realmente con analyze_reference?,question_hook,intro,low
cp_73_67cc5b9a28,videos,cp_73_67cc5b9a28_h2,"Muchos simplifican analyze_reference, pero hay matices críticos.",contrast_hook,intro,medium
cp_73_67cc5b9a28,videos,cp_73_67cc5b9a28_h3,Los datos recientes de analyze_reference muestran una señal accionable.,data_hook,intro,low
cp_73_67cc5b9a28,videos,cp_73_67cc5b9a28_h4,Error común: ejecutar analyze_reference sin validar evidencia.,mistake_hook,middle,medium
