creative_package_id,content_format,source_title,candidate_text,candidate_type,lexical_similarity,token_overlap_ratio,copy_risk_score,originality_score,originality_status
cp_37_995670e6bd,videos,Cómo Multiplicar 10 mil Pesos con GBM | Fondos de Inversión,create_fast_reaction: comparación simple para decidir mejor,title,0.0,0.0,0.0,100.0,safe
cp_37_995670e6bd,videos,Cómo Multiplicar 10 mil Pesos con GBM | Fondos de Inversión,Qué opción conviene más dentro de create_fast_reaction,title,0.0556,0.0556,5.5556,94.4444,safe
cp_37_995670e6bd,videos,Cómo Multiplicar 10 mil Pesos con GBM | Fondos de Inversión,create_fast_reaction: diferencias que sí importan,title,0.0,0.0,0.0,100.0,safe
cp_63_85eea90040,videos,80 Millones - Maternidad y discapacidad (24/05/2026),Lo que significa create_fast_reaction esta semana,title,0.0,0.0,0.0,100.0,safe
cp_63_85eea90040,videos,80 Millones - Maternidad y discapacidad (24/05/2026),create_fast_reaction: la señal que conviene vigilar ahora,title,0.0,0.0,0.0,100.0,safe
cp_63_85eea90040,videos,80 Millones - Maternidad y discapacidad (24/05/2026),Por qué create_fast_reaction está ganando atención,title,0.0,0.0,0.0,100.0,safe
cp_69_455ecff1b8,videos,La reacción de Xokas al reto de Illojuan,analyze_reference: comparación simple para decidir mejor,title,0.0,0.0,0.0,100.0,safe
cp_69_455ecff1b8,videos,La reacción de Xokas al reto de Illojuan,Qué opción conviene más dentro de analyze_reference,title,0.0714,0.0714,7.1429,92.8571,safe
cp_69_455ecff1b8,videos,La reacción de Xokas al reto de Illojuan,analyze_reference: diferencias que sí importan,title,0.0,0.0,0.0,100.0,safe
cp_79_58ad70faae,videos,Cómo Multiplicar 10 mil Pesos con GBM | Fondos de Inversión,Lo que significa create_fast_reaction esta semana,title,0.0,0.0,0.0,100.0,safe
cp_79_58ad70faae,videos,Cómo Multiplicar 10 mil Pesos con GBM | Fondos de Inversión,create_fast_reaction: la señal que conviene vigilar ahora,title,0.0,0.0,0.0,100.0,safe
cp_79_58ad70faae,videos,Cómo Multiplicar 10 mil Pesos con GBM | Fondos de Inversión,Por qué create_fast_reaction está ganando atención,title,0.0,0.0,0.0,100.0,safe
cp_82_d2cf931762,videos,'Don't Interrupt Me': India Firmly Responds to Racist Western Media | Vantage on Firstpost | 4K,Lo que significa create_fast_reaction esta semana,title,0.0,0.0,0.0,100.0,safe
cp_82_d2cf931762,videos,'Don't Interrupt Me': India Firmly Responds to Racist Western Media | Vantage on Firstpost | 4K,create_fast_reaction: la señal que conviene vigilar ahora,title,0.0,0.0,0.0,100.0,safe
cp_82_d2cf931762,videos,'Don't Interrupt Me': India Firmly Responds to Racist Western Media | Vantage on Firstpost | 4K,Por qué create_fast_reaction está ganando atención,title,0.0,0.0,0.0,100.0,safe
cp_83_3b717f16de,videos,"Los Periodistas - Narco, CIA, 4T y oposición (17/05/2026)",tema clave: lo que conviene observar antes de decidir,title,0.0,0.0,0.0,100.0,safe
cp_83_3b717f16de,videos,"Los Periodistas - Narco, CIA, 4T y oposición (17/05/2026)",La señal de tema clave que todavía necesita más datos,title,0.0,0.0,0.0,100.0,safe
cp_83_3b717f16de,videos,"Los Periodistas - Narco, CIA, 4T y oposición (17/05/2026)","tema clave: tendencia o ruido, qué vigilar",title,0.0,0.0,0.0,100.0,safe
cp_91_b9bb53f6e9,videos,Largo aliento - En la cabeza del pederasta (23/05/2026),Lo que significa create_fast_reaction esta semana,title,0.0,0.0,0.0,100.0,safe
cp_91_b9bb53f6e9,videos,Largo aliento - En la cabeza del pederasta (23/05/2026),create_fast_reaction: la señal que conviene vigilar ahora,title,0.0556,0.0556,5.5556,94.4444,safe
cp_91_b9bb53f6e9,videos,Largo aliento - En la cabeza del pederasta (23/05/2026),Por qué create_fast_reaction está ganando atención,title,0.0,0.0,0.0,100.0,safe
cp_92_fe463726d2,videos,Sumo VS boxeo 🤯,analyze_reference: comparación simple para decidir mejor,title,0.0,0.0,0.0,100.0,safe
cp_92_fe463726d2,videos,Sumo VS boxeo 🤯,Qué opción conviene más dentro de analyze_reference,title,0.0,0.0,0.0,100.0,safe
cp_92_fe463726d2,videos,Sumo VS boxeo 🤯,analyze_reference: diferencias que sí importan,title,0.0,0.0,0.0,100.0,safe
cp_94_716f963719,videos,"Iran Prepares $58 Million Bounty To Kill Trump, Netanyahu | Firstpost Live | N18G",Lo que significa create_fast_reaction esta semana,title,0.0,0.0,0.0,100.0,safe
cp_94_716f963719,videos,"Iran Prepares $58 Million Bounty To Kill Trump, Netanyahu | Firstpost Live | N18G",create_fast_reaction: la señal que conviene vigilar ahora,title,0.0,0.0,0.0,100.0,safe
cp_94_716f963719,videos,"Iran Prepares $58 Million Bounty To Kill Trump, Netanyahu | Firstpost Live | N18G",Por qué create_fast_reaction está ganando atención,title,0.0,0.0,0.0,100.0,safe
cp_98_9bd9f298c9,videos,Why Wall Street is panicking about tokenized stocks,Lo que significa create_fast_reaction esta semana,title,0.0,0.0,0.0,100.0,safe
cp_98_9bd9f298c9,videos,Why Wall Street is panicking about tokenized stocks,create_fast_reaction: la señal que conviene vigilar ahora,title,0.0,0.0,0.0,100.0,safe
cp_98_9bd9f298c9,videos,Why Wall Street is panicking about tokenized stocks,Por qué create_fast_reaction está ganando atención,title,0.0,0.0,0.0,100.0,safe
cp_104_ce69c28a3e,videos,TMEC o invasión #méxico,tema clave: lo que conviene observar antes de decidir,title,0.0,0.0,0.0,100.0,safe
cp_104_ce69c28a3e,videos,TMEC o invasión #méxico,La señal de tema clave que todavía necesita más datos,title,0.0,0.0,0.0,100.0,safe
cp_104_ce69c28a3e,videos,TMEC o invasión #méxico,"tema clave: tendencia o ruido, qué vigilar",title,0.1,0.1,10.0,90.0,safe
