content_format,video_id,hybrid_decision_score,model_score_percentile,model_score,prediction_rank,decision_score,confidence_level
videos,YTGEfVNo8DE,90.758,99.3488,0.99997768,80,77.8719,high
videos,QD0hGj-ioFU,90.4301,96.7689,0.99366077,393,80.922,high
videos,V-z0k5xu1hM,90.1218,96.1424,0.99036915,469,81.0908,high
videos,d-LArPe1Rk0,90.0057,99.2417,0.9999504,93,76.1516,high
videos,E45J_yOyUcA,89.9009,98.574,0.99936545,174,76.8912,high
videos,6FmjZcrbrzA,89.294,99.5549,0.99999869,54,73.9026,high
videos,ctsPX0Cw4Is,89.2404,97.3871,0.99646421,318,77.0204,high
videos,B1vQ7OsH4Kc,88.9052,96.9914,0.99468117,366,76.776,high
videos,qK0FW9ydzSY,88.7957,97.3541,0.9962267,322,75.9582,high
videos,yeq1yUi9q3Y,88.5611,96.6205,0.9927383,411,76.4719,high
videos,fPTkA3BB5VE,87.9508,96.4557,0.99223267,431,75.1935,high
videos,40RbnVGqcgY,87.9412,95.8539,0.988532,504,76.0721,high
videos,xImYFVUt0A4,87.8889,95.4171,0.98592034,557,76.5965,high
videos,J_j723ARmEw,87.8762,95.4418,0.98628105,554,76.5279,high
videos,EnOqiNSnQ6g,87.8236,98.7224,0.99955128,156,71.4753,high
videos,kCM5z2mcUI0,87.5818,93.4471,0.97019461,796,78.7839,high
videos,XT52Q308GBU,87.4774,94.8154,0.98108563,630,76.4703,high
videos,aVs5g2TKpxQ,87.292,99.2169,0.99994671,96,69.4047,high
videos,mtcKMbltrRA,87.2702,99.8022,1.0,28,68.4721,high
videos,JNSZkgU7SfQ,87.2593,98.9779,0.99978379,125,69.6815,high
videos,j8rLY97c9a4,87.2325,97.2799,0.99606177,331,72.1613,high
videos,vxmL7yk-L1M,87.0438,98.5823,0.99939781,173,69.736,high
videos,ehD0l4mcCdw,86.793,98.2526,0.99871781,213,69.6037,high
videos,CZLI0TUCzmM,86.6628,99.3818,0.99998251,76,67.5843,high
videos,2RDvGoRfLIw,86.2167,98.9037,0.99973062,134,67.1863,high
videos,yyxAhInQ4hM,86.1371,89.7049,0.91940681,1250,80.7855,high
videos,uDwScAqw8EE,86.113,91.7326,0.95091352,1004,77.6836,high
videos,RMZSRKiGjIQ,86.0938,99.118,0.99988857,108,66.5576,high
videos,eyaEcht4aoM,86.0679,89.7626,0.92009731,1243,80.5258,high
videos,XRWHU45Zxbo,85.8673,93.8345,0.97440549,749,73.9164,high
videos,Vnq8Nn3U0j8,85.836,96.1672,0.99069369,466,70.3391,high
videos,IHd3BU_UCSU,85.4549,97.1975,0.99575791,341,67.8411,high
videos,YmWr5bcBA3Q,85.3821,98.4504,0.99919912,189,65.7797,high
videos,iMydqVkmyRM,85.291,98.3432,0.99888025,202,65.7126,high
videos,vpnVxrsVv6M,85.1682,98.4833,0.99925541,185,65.1956,high
videos,FWmvINEJuQY,84.8373,93.3317,0.9688806,810,72.0958,high
videos,CZwqZWYILe8,84.7854,97.8652,0.99768096,260,65.1658,high
videos,2ScdI3osIrA,84.7648,87.7844,0.88646992,1483,80.2353,high
videos,vw73r_xaeX0,84.7098,98.1866,0.99856895,221,64.4945,high
videos,3xMUjn4F0Aw,84.6772,98.2113,0.99863822,218,64.376,high
videos,k0FtvUILqr8,84.6611,95.9941,0.98943536,487,67.6615,high
videos,uth-6rYywdc,84.5758,94.2136,0.97762708,703,70.119,high
videos,07T7V-Szcx0,84.4739,92.9031,0.96376006,862,71.8301,high
videos,Sa1fv_V8aNU,84.4518,91.7573,0.95141937,1001,73.4935,high
videos,8EvIfu20R00,84.2911,90.5621,0.93415916,1146,74.8845,high
videos,mOM8wWpNxrc,84.1577,90.4962,0.93301258,1154,74.65,high
videos,_r8GxQf1OVE,83.8415,87.7019,0.88413242,1493,78.0508,high
videos,qg6EEfAl5Ss,83.6846,92.4827,0.9594369,913,70.4874,high
videos,5CvlKCBrPHI,83.4499,88.724,0.90241352,1369,75.5387,high
videos,-ZkKZACg2JA,83.2035,95.8375,0.98847471,506,64.2524,high
videos,ZTy5GYXNaOQ,83.0184,95.45,0.98631327,553,64.371,high
videos,fHG4ws99ZR4,82.9235,87.4794,0.87948253,1520,76.0896,high
videos,JpVtso3S9rM,82.6334,98.4174,0.99907573,193,58.9575,high
videos,xXdXuWmK5lI,82.4338,88.0152,0.89100772,1455,74.0618,high
videos,LtuHWk_UdRw,82.4073,97.3459,0.99620687,323,59.9995,high
videos,7FWnR7NzYIo,82.2799,98.8048,0.99964562,146,57.4925,medium
videos,wd5ZZV8if54,82.1455,97.5931,0.99687764,293,58.9741,medium
videos,45Z_eYO-TS0,82.066,98.2361,0.99866621,215,57.8108,medium
videos,zI1yXpSA-HM,82.0556,94.8236,0.98109734,629,62.9036,high
videos,ffqFlTgFZLM,81.9393,98.9862,0.99978745,124,56.3689,medium
videos,_V_wkba_kyI,81.9057,99.7857,1.0,22,55.0857,medium
videos,J7ieKmP96Hc,81.8518,94.7906,0.98096862,633,62.4435,high
videos,aSY_vFFmkW0,81.746,95.6561,0.98719121,528,60.8809,medium
videos,4kDEC02_JMU,81.7346,92.8619,0.96345484,867,65.0437,high
videos,K8km6zZ7lvM,81.6949,90.1665,0.92709376,1194,68.9876,high
videos,xjOYsyFjvtc,81.684,88.0729,0.8917406,1448,72.1007,high
videos,yBwL_An2mDw,81.6468,98.3762,0.99894336,198,56.5528,medium
videos,dl0-TveDDGA,81.5539,94.3455,0.97811788,687,62.3665,high
videos,LFXpmx75kBY,81.4177,99.7527,0.99999998,31,53.9153,medium
videos,YCwNCVftOvg,81.1505,80.9265,0.66304951,2315,81.4864,high
videos,HcbPtWTn8y4,81.1273,92.9443,0.96413614,857,63.4017,high
videos,TDFYK314ZrA,80.9583,85.1137,0.81688718,1807,74.7252,high
videos,3o2rUryu45E,80.7602,87.941,0.88951835,1464,69.989,high
videos,7Beh7FJpYpY,80.6375,86.3584,0.85142504,1656,72.0561,high
videos,Sd1HRo5EAKk,80.6032,94.7082,0.98025519,643,59.4457,high
videos,pFzXlGstqEs,80.5215,89.3175,0.91227419,1297,67.3274,high
videos,GMOSBZEJtqw,80.3243,86.0617,0.84241932,1692,71.7181,high
videos,byRZrLYIuyo,80.2096,88.18,0.89326102,1435,68.254,high
videos,6RdlEm1Mv98,80.2009,90.9331,0.93957798,1101,64.1025,high
videos,bPZICZCnbfs,80.1722,83.9845,0.780807,1944,74.4538,high
videos,l9ST7fEqVhI,80.0709,95.516,0.98651575,545,56.9033,high
videos,U7XA7VHwrxg,79.7913,94.5763,0.97940326,659,57.6137,high
videos,AOCmqA4-vEE,79.7135,93.0432,0.96559923,845,59.7189,high
videos,0toNj6rLLvY,79.566,81.9156,0.70970757,2195,76.0417,high
videos,9dCDr4GooUw,79.2736,87.8915,0.88859159,1470,66.3467,high
videos,D0Sptq9OEY4,79.1415,92.7712,0.96284146,878,58.697,high
videos,6qmEF-qvED4,79.0686,91.576,0.94902968,1023,60.3074,high
videos,Wo6VcQNG050,78.983,78.3877,0.5566488,2623,79.8759,high
videos,fPl9HhLNmEQ,78.4359,80.8028,0.65843443,2330,74.8855,high
videos,t-muE1ckn_s,78.4038,84.4708,0.79635933,1885,69.3034,high
videos,9p43lgooFUM,77.9686,78.8493,0.57742679,2567,76.6475,high
videos,LKTexFQZmig,77.2996,80.943,0.66423438,2313,71.8346,high
videos,EVYo5mKZWG0,77.206,89.6307,0.91783274,1259,58.569,high
videos,M9dnAMUTJPc,77.1377,81.9733,0.71088543,2188,69.8843,high
videos,wDAY1NNFtTg,77.1182,85.666,0.83006754,1740,64.2966,high
videos,cbnadNxii0A,76.9041,84.4131,0.79423463,1892,65.6405,high
videos,8IV57LdtmPw,76.6756,79.3274,0.59312652,2509,72.6978,high
videos,ogHn_l8f-0k,76.6241,80.0115,0.62567079,2426,71.543,high
videos,qYy14J1l1gk,76.2847,89.606,0.91724051,1262,56.3027,high
videos,GXeBi91SkIw,76.1828,84.2071,0.78857703,1917,64.1463,high
videos,6R0TOxpbaFQ,75.6938,86.9189,0.86554502,1588,58.8562,high
videos,fpz8IPxeiNc,75.6855,88.7982,0.90385577,1360,56.0165,high
videos,7XRdsOUGDFk,75.6727,75.7583,0.44158251,2942,75.5443,high
videos,11hLt-kO69U,75.6424,87.636,0.8821394,1501,57.6519,high
videos,nHH771Vtkxw,75.3455,79.7643,0.61600823,2456,68.7173,high
videos,YjBp3Kvjvmo,75.2045,78.8164,0.57653907,2571,69.7866,high
videos,NcO_PEuhQq8,75.1523,74.6291,0.39112412,3079,75.9371,high
