content_format,video_id,hybrid_decision_score,model_score_percentile,model_score,prediction_rank,decision_score,confidence_level
all,MANsPvLwJs0,32.5598,0.0,0.0,,81.3995,high
all,_AqBNvs7ko8,32.0436,0.0,0.0,,80.1089,high
all,IXYVjF7zckU,31.9689,0.0,0.0,,79.9222,high
all,m1ddx427bHI,31.9136,0.0,0.0,,79.7841,high
all,ASMDfvp7HM4,31.8528,0.0,0.0,,79.6321,high
all,mYxbmWCkImc,31.6841,0.0,0.0,,79.2102,high
all,R_SOXyvBPuA,31.5365,0.0,0.0,,78.8412,high
all,2G1BiZp3MmU,31.2237,0.0,0.0,,78.0592,high
all,iuo88mIjzbk,31.0245,0.0,0.0,,77.5613,high
all,QhCO1k8MGjE,30.9557,0.0,0.0,,77.3892,high
all,tLlucpJbi5E,30.7055,0.0,0.0,,76.7637,high
all,MCnA_GAeAfg,30.6154,0.0,0.0,,76.5385,high
all,dINRvKoLQ-c,30.571,0.0,0.0,,76.4274,high
all,bMzRXbjLUAs,30.5479,0.0,0.0,,76.3698,high
all,GuS4LQP-X2I,30.447,0.0,0.0,,76.1175,high
all,tZjLTRwSGig,30.4271,0.0,0.0,,76.0677,high
all,yhuivB5l4dQ,30.1439,0.0,0.0,,75.3598,high
all,nOR-IY0SnEY,30.1361,0.0,0.0,,75.3403,high
all,1-zrnj9Z6FA,30.1245,0.0,0.0,,75.3113,high
all,SK8tkpErsm8,30.0475,0.0,0.0,,75.1187,high
all,Cyfs-ngasus,29.8706,0.0,0.0,,74.6765,high
all,sebAi3RkL4o,29.8475,0.0,0.0,,74.6187,high
all,Wz8CxWdCHC0,29.8131,0.0,0.0,,74.5328,high
all,em_K85l2WNY,29.761,0.0,0.0,,74.4025,high
all,0lt4j7GTtGU,29.5271,0.0,0.0,,73.8177,high
all,sncgYGQt1T8,29.3885,0.0,0.0,,73.4713,high
all,SvLaz6y-mhs,29.3641,0.0,0.0,,73.4103,high
all,oXKkhajzwgE,29.3426,0.0,0.0,,73.3565,high
all,-X2P40t70LM,29.32,0.0,0.0,,73.3001,high
all,ax0ogeQpq3E,29.2804,0.0,0.0,,73.2011,high
all,Mxv60XerzG4,29.2795,0.0,0.0,,73.1987,high
all,E6IrH04B8wg,29.0972,0.0,0.0,,72.7431,high
all,45GqOfk996I,29.0876,0.0,0.0,,72.7189,high
all,xIE99iYdH_o,29.0405,0.0,0.0,,72.6012,high
all,GKCz_gBPkvI,28.9825,0.0,0.0,,72.4563,high
all,9T90MfOpaZY,28.9069,0.0,0.0,,72.2672,high
all,mTqDtRTKvqE,28.7581,0.0,0.0,,71.8953,high
all,RBz3O-4xBYE,28.726,0.0,0.0,,71.815,high
all,2cg5fjvpn6E,28.6929,0.0,0.0,,71.7322,high
all,fbStigxrqsk,28.6585,0.0,0.0,,71.6462,high
all,AXvou3mSGQA,28.6041,0.0,0.0,,71.5102,high
all,vg9owOLbmvA,28.5952,0.0,0.0,,71.4881,high
all,pTWhfAY5kSk,28.559,0.0,0.0,,71.3975,high
all,VvBy9AkhR2w,28.5276,0.0,0.0,,71.319,high
all,oOLYgK6RqS4,28.5255,0.0,0.0,,71.3137,high
