content_format,target,model_family,feature,feature_group,importance_type,importance_value,importance_rank,direction,notes
shorts,future_log_views_delta_7d,random_forest_regressor,ai_semantic_score,semantic_scores,permutation_importance_mean,1.576e-05,33,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,ai_semantic_score,semantic_scores,permutation_importance_std,1.11e-06,33,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,ai_semantic_score,semantic_scores,impurity_importance,7.259e-05,33,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,alpha_score,engagement_context,permutation_importance_mean,-0.00029774,12,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,alpha_score,engagement_context,permutation_importance_std,0.00018975,12,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,alpha_score,engagement_context,impurity_importance,0.00404549,12,positive,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,channel_momentum_score,channel_context,permutation_importance_mean,0.00719808,4,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,channel_momentum_score,channel_context,permutation_importance_std,0.00085985,4,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,channel_momentum_score,channel_context,impurity_importance,0.0045409,4,positive,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,channel_relative_success_score,channel_context,permutation_importance_mean,0.03078958,2,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,channel_relative_success_score,channel_context,permutation_importance_std,0.00481258,2,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,channel_relative_success_score,channel_context,impurity_importance,0.02177016,2,positive,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,curiosity_semantic_score,semantic_scores,permutation_importance_mean,-1.494e-05,34,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,curiosity_semantic_score,semantic_scores,permutation_importance_std,4.01e-06,34,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,curiosity_semantic_score,semantic_scores,impurity_importance,1.41e-05,34,positive,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,decision_score,model_decision,permutation_importance_mean,8.8e-05,21,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,decision_score,model_decision,permutation_importance_std,4.962e-05,21,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,decision_score,model_decision,impurity_importance,0.00086804,21,negative,secondary
