content_format,target,model_family,feature_group,group_importance,feature_count
shorts,future_log_views_delta_7d,random_forest_regressor,semantic_scores,0.00019235,9
shorts,future_log_views_delta_7d,random_forest_regressor,engagement_context,1.61235486,14
shorts,future_log_views_delta_7d,random_forest_regressor,channel_context,0.00522465,2
shorts,future_log_views_delta_7d,random_forest_regressor,model_decision,0.0130904,2
shorts,future_log_views_delta_7d,random_forest_regressor,metadata,0.0,1
shorts,future_log_views_delta_7d,random_forest_regressor,semantic_cluster,0.00017301,7
shorts,future_log_views_delta_7d,random_forest_regressor,title_style,0.00092346,14
shorts,future_log_views_delta_7d,random_forest_regressor,topic_metrics,0.00037127,15
shorts,future_log_views_delta_7d,linear_regularized_regressor,semantic_scores,0.61901715,9
shorts,future_log_views_delta_7d,linear_regularized_regressor,engagement_context,4.05372972,14
shorts,future_log_views_delta_7d,linear_regularized_regressor,channel_context,0.82638007,2
shorts,future_log_views_delta_7d,linear_regularized_regressor,model_decision,1.06470926,2
shorts,future_log_views_delta_7d,linear_regularized_regressor,metadata,0.0028963,1
shorts,future_log_views_delta_7d,linear_regularized_regressor,semantic_cluster,0.35528679,7
shorts,future_log_views_delta_7d,linear_regularized_regressor,title_style,0.70023326,14
shorts,future_log_views_delta_7d,linear_regularized_regressor,topic_metrics,0.60373388,15
shorts,future_log_views_delta_7d,shallow_tree_regressor,semantic_scores,0.0,9
shorts,future_log_views_delta_7d,shallow_tree_regressor,engagement_context,0.9984212,14
shorts,future_log_views_delta_7d,shallow_tree_regressor,channel_context,0.0,2
shorts,future_log_views_delta_7d,shallow_tree_regressor,model_decision,0.0015788,2
shorts,future_log_views_delta_7d,shallow_tree_regressor,metadata,0.0,1
shorts,future_log_views_delta_7d,shallow_tree_regressor,semantic_cluster,0.0,7
shorts,future_log_views_delta_7d,shallow_tree_regressor,title_style,0.0,14
shorts,future_log_views_delta_7d,shallow_tree_regressor,topic_metrics,0.0,15
shorts,future_relative_views_delta_7d,random_forest_regressor,semantic_scores,0.00283496,9
shorts,future_relative_views_delta_7d,random_forest_regressor,engagement_context,0.06015839,14
shorts,future_relative_views_delta_7d,random_forest_regressor,channel_context,1.11364283,2
shorts,future_relative_views_delta_7d,random_forest_regressor,model_decision,0.00290421,2
shorts,future_relative_views_delta_7d,random_forest_regressor,metadata,0.0,1
shorts,future_relative_views_delta_7d,random_forest_regressor,semantic_cluster,0.00178831,7
shorts,future_relative_views_delta_7d,random_forest_regressor,title_style,0.01343104,14
shorts,future_relative_views_delta_7d,random_forest_regressor,topic_metrics,0.00703097,15
shorts,future_relative_views_delta_7d,linear_regularized_regressor,semantic_scores,8.84781586,9
shorts,future_relative_views_delta_7d,linear_regularized_regressor,engagement_context,150.20088067,14
shorts,future_relative_views_delta_7d,linear_regularized_regressor,channel_context,26.49581418,2
shorts,future_relative_views_delta_7d,linear_regularized_regressor,model_decision,68.27797965,2
shorts,future_relative_views_delta_7d,linear_regularized_regressor,metadata,0.26250698,1
shorts,future_relative_views_delta_7d,linear_regularized_regressor,semantic_cluster,16.83397374,7
shorts,future_relative_views_delta_7d,linear_regularized_regressor,title_style,16.38702663,14
shorts,future_relative_views_delta_7d,linear_regularized_regressor,topic_metrics,10.48426877,15
shorts,future_relative_views_delta_7d,shallow_tree_regressor,semantic_scores,0.01101298,9
shorts,future_relative_views_delta_7d,shallow_tree_regressor,engagement_context,0.00607369,14
shorts,future_relative_views_delta_7d,shallow_tree_regressor,channel_context,0.98045757,2
shorts,future_relative_views_delta_7d,shallow_tree_regressor,model_decision,0.00245576,2
shorts,future_relative_views_delta_7d,shallow_tree_regressor,metadata,0.0,1
shorts,future_relative_views_delta_7d,shallow_tree_regressor,semantic_cluster,0.0,7
shorts,future_relative_views_delta_7d,shallow_tree_regressor,title_style,0.0,14
shorts,future_relative_views_delta_7d,shallow_tree_regressor,topic_metrics,0.0,15
shorts,future_engagement_delta_7d,random_forest_regressor,semantic_scores,0.0,9
shorts,future_engagement_delta_7d,random_forest_regressor,engagement_context,0.0,14
shorts,future_engagement_delta_7d,random_forest_regressor,channel_context,0.0,2
shorts,future_engagement_delta_7d,random_forest_regressor,model_decision,0.0,2
shorts,future_engagement_delta_7d,random_forest_regressor,metadata,0.0,1
shorts,future_engagement_delta_7d,random_forest_regressor,semantic_cluster,0.0,7
shorts,future_engagement_delta_7d,random_forest_regressor,title_style,0.0,14
shorts,future_engagement_delta_7d,random_forest_regressor,topic_metrics,0.0,15
shorts,future_engagement_delta_7d,linear_regularized_regressor,semantic_scores,0.0,9
shorts,future_engagement_delta_7d,linear_regularized_regressor,engagement_context,0.0,14
shorts,future_engagement_delta_7d,linear_regularized_regressor,channel_context,0.0,2
shorts,future_engagement_delta_7d,linear_regularized_regressor,model_decision,0.0,2
shorts,future_engagement_delta_7d,linear_regularized_regressor,metadata,0.0,1
shorts,future_engagement_delta_7d,linear_regularized_regressor,semantic_cluster,0.0,7
shorts,future_engagement_delta_7d,linear_regularized_regressor,title_style,0.0,14
shorts,future_engagement_delta_7d,linear_regularized_regressor,topic_metrics,0.0,15
shorts,future_engagement_delta_7d,shallow_tree_regressor,semantic_scores,0.0,9
shorts,future_engagement_delta_7d,shallow_tree_regressor,engagement_context,0.0,14
shorts,future_engagement_delta_7d,shallow_tree_regressor,channel_context,0.0,2
shorts,future_engagement_delta_7d,shallow_tree_regressor,model_decision,0.0,2
shorts,future_engagement_delta_7d,shallow_tree_regressor,metadata,0.0,1
shorts,future_engagement_delta_7d,shallow_tree_regressor,semantic_cluster,0.0,7
shorts,future_engagement_delta_7d,shallow_tree_regressor,title_style,0.0,14
shorts,future_engagement_delta_7d,shallow_tree_regressor,topic_metrics,0.0,15
shorts,content_value_score_7d,random_forest_regressor,semantic_scores,0.00261258,9
shorts,content_value_score_7d,random_forest_regressor,engagement_context,0.12583625,14
shorts,content_value_score_7d,random_forest_regressor,channel_context,0.63701603,2
shorts,content_value_score_7d,random_forest_regressor,model_decision,0.06483084,2
shorts,content_value_score_7d,random_forest_regressor,metadata,0.0,1
shorts,content_value_score_7d,random_forest_regressor,semantic_cluster,0.019121,7
shorts,content_value_score_7d,random_forest_regressor,title_style,0.01061928,14
shorts,content_value_score_7d,random_forest_regressor,topic_metrics,0.00670395,15
shorts,content_value_score_7d,linear_regularized_regressor,semantic_scores,7.26421522,9
shorts,content_value_score_7d,linear_regularized_regressor,engagement_context,71.44290944,14
shorts,content_value_score_7d,linear_regularized_regressor,channel_context,0.97674126,2
shorts,content_value_score_7d,linear_regularized_regressor,model_decision,5.38136267,2
shorts,content_value_score_7d,linear_regularized_regressor,metadata,0.06543664,1
shorts,content_value_score_7d,linear_regularized_regressor,semantic_cluster,2.4990896,7
shorts,content_value_score_7d,linear_regularized_regressor,title_style,9.39613433,14
shorts,content_value_score_7d,linear_regularized_regressor,topic_metrics,6.55971252,15
shorts,content_value_score_7d,shallow_tree_regressor,semantic_scores,0.0,9
shorts,content_value_score_7d,shallow_tree_regressor,engagement_context,0.12960148,14
shorts,content_value_score_7d,shallow_tree_regressor,channel_context,0.82128488,2
shorts,content_value_score_7d,shallow_tree_regressor,model_decision,0.04670323,2
shorts,content_value_score_7d,shallow_tree_regressor,metadata,0.0,1
shorts,content_value_score_7d,shallow_tree_regressor,semantic_cluster,0.0,7
shorts,content_value_score_7d,shallow_tree_regressor,title_style,0.0024104,14
shorts,content_value_score_7d,shallow_tree_regressor,topic_metrics,0.0,15
