content_format,model_id,model_family,target,feature,direction,direction_score,direction_method,low_bin_prediction,high_bin_prediction,notes
shorts,shorts-random_forest-is_top_growth_7d-20260518T140905Z,random_forest,is_top_growth_7d,views_delta,mixed,0.709802,quantile_bins,0.065971,0.775773,direction estimated via directional analysis
shorts,shorts-random_forest-is_top_growth_7d-20260518T140905Z,random_forest,is_top_growth_7d,engagement_rate,negative,-0.225815,quantile_bins,0.297813,0.071997,direction estimated via directional analysis
shorts,shorts-random_forest-is_top_growth_7d-20260518T140905Z,random_forest,is_top_growth_7d,comment_rate,mixed,0.005616,quantile_bins,0.219142,0.224757,direction estimated via directional analysis
shorts,shorts-random_forest-is_top_growth_7d-20260518T140905Z,random_forest,is_top_growth_7d,video_age_days,mixed,0.005616,quantile_bins,0.219142,0.224757,direction estimated via directional analysis
shorts,shorts-random_forest-is_top_growth_7d-20260518T140905Z,random_forest,is_top_growth_7d,duration_bucket,mixed,0.005616,quantile_bins,0.219142,0.224757,direction estimated via directional analysis
shorts,shorts-random_forest-is_top_growth_7d-20260518T140905Z,random_forest,is_top_growth_7d,alpha_score,positive,0.72009,quantile_bins,0.010004,0.730094,direction estimated via directional analysis
shorts,shorts-random_forest-is_top_growth_7d-20260518T140905Z,random_forest,is_top_growth_7d,opportunity_score,positive,0.501456,quantile_bins,0.017475,0.518931,direction estimated via directional analysis
shorts,shorts-random_forest-is_top_growth_7d-20260518T140905Z,random_forest,is_top_growth_7d,trend_burst_score,mixed,0.01055,quantile_bins,0.219142,0.229692,direction estimated via directional analysis
shorts,shorts-random_forest-is_top_growth_7d-20260518T140905Z,random_forest,is_top_growth_7d,evergreen_score,mixed,0.005616,quantile_bins,0.219142,0.224757,direction estimated via directional analysis
shorts,shorts-random_forest-is_top_growth_7d-20260518T140905Z,random_forest,is_top_growth_7d,packaging_problem_score,negative,-0.596948,quantile_bins,0.615242,0.018295,direction estimated via directional analysis
shorts,shorts-random_forest-is_top_growth_7d-20260518T140905Z,random_forest,is_top_growth_7d,metric_confidence_score,mixed,0.043253,quantile_bins,0.198076,0.241329,direction estimated via directional analysis
shorts,shorts-random_forest-is_top_growth_7d-20260518T140905Z,random_forest,is_top_growth_7d,channel_momentum_score,mixed,-0.023152,quantile_bins,0.140328,0.117176,direction estimated via directional analysis
shorts,shorts-random_forest-is_top_growth_7d-20260518T140905Z,random_forest,is_top_growth_7d,channel_relative_success_score,positive,0.243512,quantile_bins,0.126316,0.369828,direction estimated via directional analysis
shorts,shorts-random_forest-is_top_growth_7d-20260518T140905Z,random_forest,is_top_growth_7d,title_length_chars,negative,-0.311161,quantile_bins,0.347711,0.03655,direction estimated via directional analysis
shorts,shorts-random_forest-is_top_growth_7d-20260518T140905Z,random_forest,is_top_growth_7d,has_number,positive,0.11463,quantile_bins,0.190698,0.305328,direction estimated via directional analysis
shorts,shorts-random_forest-is_top_growth_7d-20260518T140905Z,random_forest,is_top_growth_7d,has_question,positive,0.038629,quantile_bins,0.20752,0.246149,direction estimated via directional analysis
shorts,shorts-random_forest-is_top_growth_7d-20260518T140905Z,random_forest,is_top_growth_7d,has_ai_word,mixed,-0.065182,quantile_bins,0.235336,0.170154,direction estimated via directional analysis
shorts,shorts-random_forest-is_top_growth_7d-20260518T140905Z,random_forest,is_top_growth_7d,has_finance_word,mixed,-0.01189,quantile_bins,0.224594,0.212704,direction estimated via directional analysis
shorts,shorts-random_forest-is_top_growth_7d-20260518T140905Z,random_forest,is_top_growth_7d,metadata_changed,mixed,0.005616,quantile_bins,0.219142,0.224757,direction estimated via directional analysis
shorts,shorts-shallow_tree-is_top_growth_7d-20260518T140905Z,shallow_tree,is_top_growth_7d,views_delta,mixed,0.72665,quantile_bins,0.069617,0.796268,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260518T140905Z,shallow_tree,is_top_growth_7d,engagement_rate,negative,-0.208718,quantile_bins,0.29439,0.085672,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260518T140905Z,shallow_tree,is_top_growth_7d,comment_rate,mixed,0.008925,quantile_bins,0.22593,0.234855,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260518T140905Z,shallow_tree,is_top_growth_7d,video_age_days,mixed,0.008925,quantile_bins,0.22593,0.234855,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260518T140905Z,shallow_tree,is_top_growth_7d,duration_bucket,mixed,0.008925,quantile_bins,0.22593,0.234855,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260518T140905Z,shallow_tree,is_top_growth_7d,alpha_score,positive,0.770813,quantile_bins,0.001423,0.772236,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260518T140905Z,shallow_tree,is_top_growth_7d,opportunity_score,positive,0.556664,quantile_bins,0.005495,0.562158,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260518T140905Z,shallow_tree,is_top_growth_7d,trend_burst_score,mixed,0.014596,quantile_bins,0.22593,0.240526,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260518T140905Z,shallow_tree,is_top_growth_7d,evergreen_score,mixed,0.008925,quantile_bins,0.22593,0.234855,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260518T140905Z,shallow_tree,is_top_growth_7d,packaging_problem_score,negative,-0.601386,quantile_bins,0.618279,0.016893,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260518T140905Z,shallow_tree,is_top_growth_7d,metric_confidence_score,mixed,0.019616,quantile_bins,0.221309,0.240925,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260518T140905Z,shallow_tree,is_top_growth_7d,channel_momentum_score,mixed,-0.015432,quantile_bins,0.147411,0.131978,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260518T140905Z,shallow_tree,is_top_growth_7d,channel_relative_success_score,positive,0.309212,quantile_bins,0.107185,0.416397,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260518T140905Z,shallow_tree,is_top_growth_7d,title_length_chars,negative,-0.325955,quantile_bins,0.36139,0.035435,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260518T140905Z,shallow_tree,is_top_growth_7d,has_number,positive,0.096775,quantile_bins,0.201672,0.298447,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260518T140905Z,shallow_tree,is_top_growth_7d,has_question,positive,0.040409,quantile_bins,0.212738,0.253148,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260518T140905Z,shallow_tree,is_top_growth_7d,has_ai_word,mixed,-0.06862,quantile_bins,0.242741,0.174121,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260518T140905Z,shallow_tree,is_top_growth_7d,has_finance_word,mixed,-0.008771,quantile_bins,0.230573,0.221802,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260518T140905Z,shallow_tree,is_top_growth_7d,metadata_changed,mixed,0.008925,quantile_bins,0.22593,0.234855,estimated from prediction behavior
shorts,shorts-random_forest-future_log_views_delta_7d-20260518T140905Z,random_forest,future_log_views_delta_7d,views_delta,positive,6.739515,quantile_bins,2.04449,8.784005,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260518T140905Z,random_forest,future_log_views_delta_7d,engagement_rate,negative,-2.220138,quantile_bins,4.966919,2.746781,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260518T140905Z,random_forest,future_log_views_delta_7d,comment_rate,mixed,0.086354,quantile_bins,4.227278,4.313632,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260518T140905Z,random_forest,future_log_views_delta_7d,video_age_days,mixed,0.086354,quantile_bins,4.227278,4.313632,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260518T140905Z,random_forest,future_log_views_delta_7d,duration_bucket,mixed,0.086354,quantile_bins,4.227278,4.313632,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260518T140905Z,random_forest,future_log_views_delta_7d,alpha_score,positive,7.036448,quantile_bins,1.664585,8.701033,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260518T140905Z,random_forest,future_log_views_delta_7d,opportunity_score,positive,5.374364,quantile_bins,1.963015,7.337379,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260518T140905Z,random_forest,future_log_views_delta_7d,trend_burst_score,mixed,0.155983,quantile_bins,4.227278,4.38326,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260518T140905Z,random_forest,future_log_views_delta_7d,evergreen_score,mixed,0.086354,quantile_bins,4.227278,4.313632,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260518T140905Z,random_forest,future_log_views_delta_7d,packaging_problem_score,negative,-5.604544,quantile_bins,7.718171,2.113627,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260518T140905Z,random_forest,future_log_views_delta_7d,metric_confidence_score,mixed,-0.865983,quantile_bins,5.065035,4.199052,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260518T140905Z,random_forest,future_log_views_delta_7d,channel_momentum_score,mixed,-0.27101,quantile_bins,3.572992,3.301981,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260518T140905Z,random_forest,future_log_views_delta_7d,channel_relative_success_score,positive,2.695401,quantile_bins,3.434586,6.129987,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260518T140905Z,random_forest,future_log_views_delta_7d,title_length_chars,negative,-3.651194,quantile_bins,5.982363,2.331169,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260518T140905Z,random_forest,future_log_views_delta_7d,has_number,positive,0.98587,quantile_bins,4.028672,5.014543,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260518T140905Z,random_forest,future_log_views_delta_7d,has_question,positive,0.435436,quantile_bins,4.147504,4.582941,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260518T140905Z,random_forest,future_log_views_delta_7d,has_ai_word,mixed,-0.642718,quantile_bins,4.428491,3.785772,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260518T140905Z,random_forest,future_log_views_delta_7d,has_finance_word,mixed,-0.048469,quantile_bins,4.296485,4.248017,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260518T140905Z,random_forest,future_log_views_delta_7d,metadata_changed,mixed,0.086354,quantile_bins,4.227278,4.313632,direction estimated via directional analysis
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260518T140905Z,shallow_tree,future_log_views_delta_7d,views_delta,positive,6.43155,quantile_bins,2.193386,8.624937,estimated from prediction behavior
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260518T140905Z,shallow_tree,future_log_views_delta_7d,engagement_rate,mixed,-1.989735,quantile_bins,4.824893,2.835158,estimated from prediction behavior
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260518T140905Z,shallow_tree,future_log_views_delta_7d,comment_rate,mixed,0.06548,quantile_bins,4.21945,4.28493,estimated from prediction behavior
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260518T140905Z,shallow_tree,future_log_views_delta_7d,video_age_days,mixed,0.06548,quantile_bins,4.21945,4.28493,estimated from prediction behavior
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260518T140905Z,shallow_tree,future_log_views_delta_7d,duration_bucket,mixed,0.06548,quantile_bins,4.21945,4.28493,estimated from prediction behavior
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260518T140905Z,shallow_tree,future_log_views_delta_7d,alpha_score,positive,6.817388,quantile_bins,1.782019,8.599406,estimated from prediction behavior
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260518T140905Z,shallow_tree,future_log_views_delta_7d,opportunity_score,positive,5.350177,quantile_bins,2.058292,7.408469,estimated from prediction behavior
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260518T140905Z,shallow_tree,future_log_views_delta_7d,trend_burst_score,mixed,0.141612,quantile_bins,4.21945,4.361062,estimated from prediction behavior
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260518T140905Z,shallow_tree,future_log_views_delta_7d,evergreen_score,mixed,0.06548,quantile_bins,4.21945,4.28493,estimated from prediction behavior
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260518T140905Z,shallow_tree,future_log_views_delta_7d,packaging_problem_score,negative,-5.305088,quantile_bins,7.464048,2.15896,estimated from prediction behavior
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260518T140905Z,shallow_tree,future_log_views_delta_7d,metric_confidence_score,negative,-0.902891,quantile_bins,5.044013,4.141121,estimated from prediction behavior
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260518T140905Z,shallow_tree,future_log_views_delta_7d,channel_momentum_score,mixed,-0.263611,quantile_bins,3.620682,3.357071,estimated from prediction behavior
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260518T140905Z,shallow_tree,future_log_views_delta_7d,channel_relative_success_score,positive,2.689604,quantile_bins,3.538086,6.22769,estimated from prediction behavior
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260518T140905Z,shallow_tree,future_log_views_delta_7d,title_length_chars,negative,-3.346485,quantile_bins,5.775704,2.429219,estimated from prediction behavior
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260518T140905Z,shallow_tree,future_log_views_delta_7d,has_number,positive,0.902145,quantile_bins,4.017353,4.919498,estimated from prediction behavior
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260518T140905Z,shallow_tree,future_log_views_delta_7d,has_question,positive,0.374196,quantile_bins,4.129463,4.503659,estimated from prediction behavior
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260518T140905Z,shallow_tree,future_log_views_delta_7d,has_ai_word,mixed,-0.657225,quantile_bins,4.417483,3.760258,estimated from prediction behavior
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260518T140905Z,shallow_tree,future_log_views_delta_7d,has_finance_word,mixed,-0.059263,quantile_bins,4.284709,4.225447,estimated from prediction behavior
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260518T140905Z,shallow_tree,future_log_views_delta_7d,metadata_changed,mixed,0.06548,quantile_bins,4.21945,4.28493,estimated from prediction behavior
