content_format,model_id,model_family,target,feature,importance_type,importance_value,importance_rank,direction,direction_method,coefficient,standardized_coefficient,permutation_importance_mean,permutation_importance_std,notes
shorts,shorts-linear_regularized-is_top_growth_7d-20260625T124400Z,linear_regularized,is_top_growth_7d,views_delta,model_native,-1.0,1,,,,,,,
shorts,shorts-linear_regularized-is_top_growth_7d-20260625T124400Z,linear_regularized,is_top_growth_7d,engagement_rate,model_native,-2.0,2,,,,,,,
shorts,shorts-linear_regularized-is_top_growth_7d-20260625T124400Z,linear_regularized,is_top_growth_7d,comment_rate,model_native,-3.0,3,,,,,,,
shorts,shorts-linear_regularized-is_top_growth_7d-20260625T124400Z,linear_regularized,is_top_growth_7d,video_age_days,model_native,-4.0,4,,,,,,,
shorts,shorts-linear_regularized-is_top_growth_7d-20260625T124400Z,linear_regularized,is_top_growth_7d,duration_bucket,model_native,-5.0,5,,,,,,,
shorts,shorts-linear_regularized-is_top_growth_7d-20260625T124400Z,linear_regularized,is_top_growth_7d,alpha_score,model_native,-6.0,6,,,,,,,
shorts,shorts-linear_regularized-is_top_growth_7d-20260625T124400Z,linear_regularized,is_top_growth_7d,opportunity_score,model_native,-7.0,7,,,,,,,
shorts,shorts-linear_regularized-is_top_growth_7d-20260625T124400Z,linear_regularized,is_top_growth_7d,trend_burst_score,model_native,-8.0,8,,,,,,,
shorts,shorts-linear_regularized-is_top_growth_7d-20260625T124400Z,linear_regularized,is_top_growth_7d,evergreen_score,model_native,-9.0,9,,,,,,,
shorts,shorts-linear_regularized-is_top_growth_7d-20260625T124400Z,linear_regularized,is_top_growth_7d,packaging_problem_score,model_native,-10.0,10,,,,,,,
shorts,shorts-linear_regularized-is_top_growth_7d-20260625T124400Z,linear_regularized,is_top_growth_7d,metric_confidence_score,model_native,-11.0,11,,,,,,,
shorts,shorts-linear_regularized-is_top_growth_7d-20260625T124400Z,linear_regularized,is_top_growth_7d,channel_momentum_score,model_native,-12.0,12,,,,,,,
shorts,shorts-linear_regularized-is_top_growth_7d-20260625T124400Z,linear_regularized,is_top_growth_7d,channel_relative_success_score,model_native,-13.0,13,,,,,,,
shorts,shorts-linear_regularized-is_top_growth_7d-20260625T124400Z,linear_regularized,is_top_growth_7d,title_length_chars,model_native,-14.0,14,,,,,,,
shorts,shorts-linear_regularized-is_top_growth_7d-20260625T124400Z,linear_regularized,is_top_growth_7d,has_number,model_native,-15.0,15,,,,,,,
shorts,shorts-linear_regularized-is_top_growth_7d-20260625T124400Z,linear_regularized,is_top_growth_7d,has_question,model_native,-16.0,16,,,,,,,
shorts,shorts-linear_regularized-is_top_growth_7d-20260625T124400Z,linear_regularized,is_top_growth_7d,has_ai_word,model_native,-17.0,17,,,,,,,
shorts,shorts-linear_regularized-is_top_growth_7d-20260625T124400Z,linear_regularized,is_top_growth_7d,has_finance_word,model_native,-18.0,18,,,,,,,
shorts,shorts-linear_regularized-is_top_growth_7d-20260625T124400Z,linear_regularized,is_top_growth_7d,metadata_changed,model_native,-19.0,19,,,,,,,
shorts,shorts-random_forest-is_top_growth_7d-20260625T124400Z,random_forest,is_top_growth_7d,views_delta,model_native,-1.0,1,,,,,,,
shorts,shorts-random_forest-is_top_growth_7d-20260625T124400Z,random_forest,is_top_growth_7d,engagement_rate,model_native,-2.0,2,,,,,,,
shorts,shorts-random_forest-is_top_growth_7d-20260625T124400Z,random_forest,is_top_growth_7d,comment_rate,model_native,-3.0,3,,,,,,,
shorts,shorts-random_forest-is_top_growth_7d-20260625T124400Z,random_forest,is_top_growth_7d,video_age_days,model_native,-4.0,4,,,,,,,
