content_format,target,model_family,feature,feature_group,importance_type,importance_value,importance_rank,direction,notes
videos,future_log_views_delta_7d,random_forest_regressor,ai_semantic_score,semantic_scores,permutation_importance_mean,-2.241e-05,32,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,ai_semantic_score,semantic_scores,permutation_importance_std,2.286e-05,32,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,ai_semantic_score,semantic_scores,impurity_importance,0.00010018,32,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,alpha_score,engagement_context,permutation_importance_mean,0.00094161,5,positive,primary
videos,future_log_views_delta_7d,random_forest_regressor,alpha_score,engagement_context,permutation_importance_std,0.00019357,5,positive,primary
videos,future_log_views_delta_7d,random_forest_regressor,alpha_score,engagement_context,impurity_importance,0.00187902,5,positive,secondary
videos,future_log_views_delta_7d,random_forest_regressor,channel_momentum_score,channel_context,permutation_importance_mean,0.00066244,6,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,channel_momentum_score,channel_context,permutation_importance_std,0.00027808,6,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,channel_momentum_score,channel_context,impurity_importance,0.00172607,6,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,channel_relative_success_score,channel_context,permutation_importance_mean,0.00379373,2,positive,primary
videos,future_log_views_delta_7d,random_forest_regressor,channel_relative_success_score,channel_context,permutation_importance_std,0.00035191,2,positive,primary
videos,future_log_views_delta_7d,random_forest_regressor,channel_relative_success_score,channel_context,impurity_importance,0.00527497,2,positive,secondary
videos,future_log_views_delta_7d,random_forest_regressor,curiosity_semantic_score,semantic_scores,permutation_importance_mean,3.997e-05,23,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,curiosity_semantic_score,semantic_scores,permutation_importance_std,7.143e-05,23,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,curiosity_semantic_score,semantic_scores,impurity_importance,0.00020807,23,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,decision_score,model_decision,permutation_importance_mean,0.00050925,7,negative,primary
