content_format,target,model_family,feature_group,group_importance,feature_count
shorts,future_log_views_delta_7d,random_forest_regressor,semantic_scores,0.00018692,9
shorts,future_log_views_delta_7d,random_forest_regressor,engagement_context,1.84194131,14
shorts,future_log_views_delta_7d,random_forest_regressor,channel_context,0.03185883,2
shorts,future_log_views_delta_7d,random_forest_regressor,model_decision,0.00341592,2
shorts,future_log_views_delta_7d,random_forest_regressor,metadata,0.0,1
shorts,future_log_views_delta_7d,random_forest_regressor,semantic_cluster,0.00012929,8
shorts,future_log_views_delta_7d,random_forest_regressor,title_style,0.00075557,14
shorts,future_log_views_delta_7d,random_forest_regressor,topic_metrics,9.81e-05,15
shorts,future_log_views_delta_7d,linear_regularized_regressor,semantic_scores,0.28353109,9
shorts,future_log_views_delta_7d,linear_regularized_regressor,engagement_context,6.71435071,14
shorts,future_log_views_delta_7d,linear_regularized_regressor,channel_context,0.42944847,2
shorts,future_log_views_delta_7d,linear_regularized_regressor,model_decision,0.52039627,2
shorts,future_log_views_delta_7d,linear_regularized_regressor,metadata,0.00658427,1
shorts,future_log_views_delta_7d,linear_regularized_regressor,semantic_cluster,0.29206877,8
shorts,future_log_views_delta_7d,linear_regularized_regressor,title_style,0.33187189,14
shorts,future_log_views_delta_7d,linear_regularized_regressor,topic_metrics,0.31636647,15
shorts,future_log_views_delta_7d,shallow_tree_regressor,semantic_scores,0.0,9
shorts,future_log_views_delta_7d,shallow_tree_regressor,engagement_context,0.99228183,14
shorts,future_log_views_delta_7d,shallow_tree_regressor,channel_context,0.00771817,2
shorts,future_log_views_delta_7d,shallow_tree_regressor,model_decision,0.0,2
shorts,future_log_views_delta_7d,shallow_tree_regressor,metadata,0.0,1
shorts,future_log_views_delta_7d,shallow_tree_regressor,semantic_cluster,0.0,8
shorts,future_log_views_delta_7d,shallow_tree_regressor,title_style,0.0,14
shorts,future_log_views_delta_7d,shallow_tree_regressor,topic_metrics,0.0,15
shorts,future_relative_views_delta_7d,random_forest_regressor,semantic_scores,0.00025955,9
shorts,future_relative_views_delta_7d,random_forest_regressor,engagement_context,0.38598124,14
shorts,future_relative_views_delta_7d,random_forest_regressor,channel_context,0.39117393,2
shorts,future_relative_views_delta_7d,random_forest_regressor,model_decision,0.00016912,2
shorts,future_relative_views_delta_7d,random_forest_regressor,metadata,0.0,1
shorts,future_relative_views_delta_7d,random_forest_regressor,semantic_cluster,0.00245914,8
shorts,future_relative_views_delta_7d,random_forest_regressor,title_style,0.07486645,14
shorts,future_relative_views_delta_7d,random_forest_regressor,topic_metrics,0.0037459,15
shorts,future_relative_views_delta_7d,linear_regularized_regressor,semantic_scores,73.79448122,9
shorts,future_relative_views_delta_7d,linear_regularized_regressor,engagement_context,256.12711906,14
shorts,future_relative_views_delta_7d,linear_regularized_regressor,channel_context,59.4108858,2
shorts,future_relative_views_delta_7d,linear_regularized_regressor,model_decision,19.84066128,2
shorts,future_relative_views_delta_7d,linear_regularized_regressor,metadata,0.80008096,1
shorts,future_relative_views_delta_7d,linear_regularized_regressor,semantic_cluster,14.13504758,8
shorts,future_relative_views_delta_7d,linear_regularized_regressor,title_style,64.38200086,14
shorts,future_relative_views_delta_7d,linear_regularized_regressor,topic_metrics,85.67490338,15
shorts,future_relative_views_delta_7d,shallow_tree_regressor,semantic_scores,0.0,9
shorts,future_relative_views_delta_7d,shallow_tree_regressor,engagement_context,0.39553922,14
shorts,future_relative_views_delta_7d,shallow_tree_regressor,channel_context,0.30429998,2
shorts,future_relative_views_delta_7d,shallow_tree_regressor,model_decision,0.0,2
shorts,future_relative_views_delta_7d,shallow_tree_regressor,metadata,0.0,1
shorts,future_relative_views_delta_7d,shallow_tree_regressor,semantic_cluster,0.0,8
shorts,future_relative_views_delta_7d,shallow_tree_regressor,title_style,0.30016082,14
