content_format,target,model_family,mae_log,rmse_log,spearman_corr,top_10_overlap_with_actual,precision_at_top_decile_regression,lift_vs_baseline_alpha,lift_vs_baseline_decision,lift_vs_baseline_views_delta,train_rows,valid_rows
shorts,future_log_views_delta_7d,random_forest_regressor,0.715843,0.952116,0.907337,0.3,0.811594,0.285013,7.373559,0.040688,8246,2062
shorts,future_log_views_delta_7d,linear_regularized_regressor,0.801308,1.025985,0.885911,0.1,0.768116,0.238465,7.327011,-0.00586,8246,2062
shorts,future_log_views_delta_7d,shallow_tree_regressor,0.762566,0.99053,0.896765,0.3,0.782609,0.210717,7.299263,-0.033608,8246,2062
shorts,future_relative_views_delta_7d,random_forest_regressor,7.173165,27.008968,0.446129,0.3,0.565217,35.883989,43.19703,48.501056,8246,2062
shorts,future_relative_views_delta_7d,linear_regularized_regressor,28.266268,51.237118,0.278328,0.0,0.425121,29.368286,36.681327,41.985353,8246,2062
shorts,future_relative_views_delta_7d,shallow_tree_regressor,7.564117,27.173934,0.173904,0.5,0.497585,31.980021,39.293062,44.597088,8246,2062
shorts,future_engagement_delta_7d,random_forest_regressor,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,8246,2062
shorts,future_engagement_delta_7d,linear_regularized_regressor,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,8246,2062
shorts,future_engagement_delta_7d,shallow_tree_regressor,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,8246,2062
shorts,content_value_score_7d,random_forest_regressor,17.162811,21.28795,0.589168,0.4,0.541063,15.628508,16.841808,15.767492,8246,2062
shorts,content_value_score_7d,linear_regularized_regressor,16.671485,20.849964,0.535572,0.0,0.550725,16.248951,17.46225,16.387934,8246,2062
shorts,content_value_score_7d,shallow_tree_regressor,17.391499,21.564401,0.530447,0.4,0.487923,13.121273,14.334572,13.260256,8246,2062
videos,future_log_views_delta_7d,random_forest_regressor,0.634595,0.885314,0.944241,0.9,0.783784,0.542095,5.394883,0.020989,10331,2583
videos,future_log_views_delta_7d,linear_regularized_regressor,0.77325,1.044269,0.928564,0.7,0.644788,0.394762,5.24755,-0.126345,10331,2583
videos,future_log_views_delta_7d,shallow_tree_regressor,0.663656,0.922391,0.938297,0.7,0.76834,0.481639,5.334427,-0.039468,10331,2583
videos,future_relative_views_delta_7d,random_forest_regressor,18.301764,153.232705,0.531162,0.5,0.637066,22.79554,73.203916,75.095578,10331,2583
videos,future_relative_views_delta_7d,linear_regularized_regressor,41.341508,74.951587,0.412154,0.2,0.34749,-12.707825,37.70055,39.592212,10331,2583
videos,future_relative_views_delta_7d,shallow_tree_regressor,23.58663,201.112839,0.024776,0.5,0.46332,15.146305,65.55468,67.446342,10331,2583
videos,future_engagement_delta_7d,random_forest_regressor,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10331,2583
videos,future_engagement_delta_7d,linear_regularized_regressor,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10331,2583
videos,future_engagement_delta_7d,shallow_tree_regressor,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10331,2583
videos,content_value_score_7d,random_forest_regressor,15.604112,19.114718,0.684337,0.0,0.65251,6.277578,21.875102,16.347341,10331,2583
videos,content_value_score_7d,linear_regularized_regressor,16.649484,20.134283,0.694913,0.3,0.610039,5.204552,20.802076,15.274315,10331,2583
videos,content_value_score_7d,shallow_tree_regressor,15.690876,19.450516,0.670924,0.0,0.644788,5.949341,21.546865,16.019103,10331,2583
