content_format,model_id,model_family,target,feature,direction,direction_score,direction_method,low_bin_prediction,high_bin_prediction,notes
shorts,shorts-random_forest-is_top_growth_7d-20260720T123812Z,random_forest,is_top_growth_7d,views_delta,mixed,0.380166,quantile_bins,0.133798,0.513964,direction estimated via directional analysis
shorts,shorts-random_forest-is_top_growth_7d-20260720T123812Z,random_forest,is_top_growth_7d,engagement_rate,positive,0.136041,quantile_bins,0.109642,0.245683,direction estimated via directional analysis
shorts,shorts-random_forest-is_top_growth_7d-20260720T123812Z,random_forest,is_top_growth_7d,comment_rate,flat,0.006911,quantile_bins,0.182032,0.188943,direction estimated via directional analysis
shorts,shorts-random_forest-is_top_growth_7d-20260720T123812Z,random_forest,is_top_growth_7d,video_age_days,flat,0.006911,quantile_bins,0.182032,0.188943,direction estimated via directional analysis
shorts,shorts-random_forest-is_top_growth_7d-20260720T123812Z,random_forest,is_top_growth_7d,duration_bucket,flat,0.006911,quantile_bins,0.182032,0.188943,direction estimated via directional analysis
shorts,shorts-random_forest-is_top_growth_7d-20260720T123812Z,random_forest,is_top_growth_7d,alpha_score,positive,0.582726,quantile_bins,0.011402,0.594128,direction estimated via directional analysis
shorts,shorts-random_forest-is_top_growth_7d-20260720T123812Z,random_forest,is_top_growth_7d,opportunity_score,positive,0.480049,quantile_bins,0.012952,0.493,direction estimated via directional analysis
shorts,shorts-random_forest-is_top_growth_7d-20260720T123812Z,random_forest,is_top_growth_7d,trend_burst_score,positive,0.091787,quantile_bins,0.161805,0.253592,direction estimated via directional analysis
shorts,shorts-random_forest-is_top_growth_7d-20260720T123812Z,random_forest,is_top_growth_7d,evergreen_score,flat,0.007277,quantile_bins,0.182311,0.189588,direction estimated via directional analysis
shorts,shorts-random_forest-is_top_growth_7d-20260720T123812Z,random_forest,is_top_growth_7d,packaging_problem_score,negative,-0.224849,quantile_bins,0.274722,0.049873,direction estimated via directional analysis
shorts,shorts-random_forest-is_top_growth_7d-20260720T123812Z,random_forest,is_top_growth_7d,metric_confidence_score,mixed,-0.07933,quantile_bins,0.297038,0.217708,direction estimated via directional analysis
shorts,shorts-random_forest-is_top_growth_7d-20260720T123812Z,random_forest,is_top_growth_7d,channel_momentum_score,mixed,-0.109438,quantile_bins,0.272675,0.163237,direction estimated via directional analysis
shorts,shorts-random_forest-is_top_growth_7d-20260720T123812Z,random_forest,is_top_growth_7d,channel_relative_success_score,positive,0.342298,quantile_bins,0.043597,0.385895,direction estimated via directional analysis
shorts,shorts-random_forest-is_top_growth_7d-20260720T123812Z,random_forest,is_top_growth_7d,title_length_chars,negative,-0.236888,quantile_bins,0.325779,0.088891,direction estimated via directional analysis
shorts,shorts-random_forest-is_top_growth_7d-20260720T123812Z,random_forest,is_top_growth_7d,has_number,positive,0.03928,quantile_bins,0.169558,0.208838,direction estimated via directional analysis
shorts,shorts-random_forest-is_top_growth_7d-20260720T123812Z,random_forest,is_top_growth_7d,has_question,positive,0.034823,quantile_bins,0.17301,0.207833,direction estimated via directional analysis
shorts,shorts-random_forest-is_top_growth_7d-20260720T123812Z,random_forest,is_top_growth_7d,has_ai_word,mixed,0.000594,quantile_bins,0.183253,0.183847,direction estimated via directional analysis
shorts,shorts-random_forest-is_top_growth_7d-20260720T123812Z,random_forest,is_top_growth_7d,has_finance_word,flat,0.006267,quantile_bins,0.182106,0.188373,direction estimated via directional analysis
shorts,shorts-random_forest-is_top_growth_7d-20260720T123812Z,random_forest,is_top_growth_7d,metadata_changed,flat,0.008385,quantile_bins,0.181767,0.190151,direction estimated via directional analysis
shorts,shorts-shallow_tree-is_top_growth_7d-20260720T123812Z,shallow_tree,is_top_growth_7d,views_delta,mixed,0.373447,quantile_bins,0.144752,0.518199,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260720T123812Z,shallow_tree,is_top_growth_7d,engagement_rate,positive,0.169651,quantile_bins,0.089211,0.258862,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260720T123812Z,shallow_tree,is_top_growth_7d,comment_rate,flat,0.008299,quantile_bins,0.184358,0.192657,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260720T123812Z,shallow_tree,is_top_growth_7d,video_age_days,flat,0.008299,quantile_bins,0.184358,0.192657,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260720T123812Z,shallow_tree,is_top_growth_7d,duration_bucket,flat,0.008299,quantile_bins,0.184358,0.192657,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260720T123812Z,shallow_tree,is_top_growth_7d,alpha_score,positive,0.622285,quantile_bins,0.005483,0.627767,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260720T123812Z,shallow_tree,is_top_growth_7d,opportunity_score,positive,0.537351,quantile_bins,0.005773,0.543125,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260720T123812Z,shallow_tree,is_top_growth_7d,trend_burst_score,positive,0.112865,quantile_bins,0.159682,0.272547,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260720T123812Z,shallow_tree,is_top_growth_7d,evergreen_score,flat,0.007389,quantile_bins,0.184875,0.192263,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260720T123812Z,shallow_tree,is_top_growth_7d,packaging_problem_score,negative,-0.213797,quantile_bins,0.259481,0.045684,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260720T123812Z,shallow_tree,is_top_growth_7d,metric_confidence_score,mixed,-0.076514,quantile_bins,0.300333,0.22382,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260720T123812Z,shallow_tree,is_top_growth_7d,channel_momentum_score,mixed,-0.109176,quantile_bins,0.278718,0.169542,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260720T123812Z,shallow_tree,is_top_growth_7d,channel_relative_success_score,positive,0.380241,quantile_bins,0.032923,0.413164,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260720T123812Z,shallow_tree,is_top_growth_7d,title_length_chars,negative,-0.225102,quantile_bins,0.318358,0.093256,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260720T123812Z,shallow_tree,is_top_growth_7d,has_number,positive,0.043512,quantile_bins,0.172875,0.216387,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260720T123812Z,shallow_tree,is_top_growth_7d,has_question,positive,0.033612,quantile_bins,0.176411,0.210023,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260720T123812Z,shallow_tree,is_top_growth_7d,has_ai_word,mixed,0.001538,quantile_bins,0.185823,0.187361,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260720T123812Z,shallow_tree,is_top_growth_7d,has_finance_word,flat,0.00837,quantile_bins,0.184261,0.192632,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260720T123812Z,shallow_tree,is_top_growth_7d,metadata_changed,flat,0.009757,quantile_bins,0.184195,0.193952,estimated from prediction behavior
shorts,shorts-random_forest-future_log_views_delta_7d-20260720T123812Z,random_forest,future_log_views_delta_7d,views_delta,mixed,3.810143,quantile_bins,3.041395,6.851538,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260720T123812Z,random_forest,future_log_views_delta_7d,engagement_rate,positive,1.021976,quantile_bins,3.219321,4.241296,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260720T123812Z,random_forest,future_log_views_delta_7d,comment_rate,mixed,0.052384,quantile_bins,3.918863,3.971246,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260720T123812Z,random_forest,future_log_views_delta_7d,video_age_days,mixed,0.052384,quantile_bins,3.918863,3.971246,direction estimated via directional analysis
