content_format,model_id,model_family,task_type,target,horizon,train_examples,validation_examples,precision_at_10,recall_at_10,roc_auc,pr_auc,brier_score,mae_log,rmse_log,spearman_corr,champion_metric,champion_metric_value,baseline_metric_value,lift_vs_best_baseline,selected_as_champion,interpretability_level,artifact_name,workflow_run_id,created_at
shorts,shorts-linear_regularized-is_top_growth_7d-20260608T144032Z,linear_regularized,classification,is_top_growth_7d,7d,18407,6136,1.0,0.010571,0.995655,0.976563,0.021445,,,,precision_at_10,1.0,-999.0,-999.0,True,high,,,2026-06-08T14:40:32.520609+00:00
shorts,shorts-random_forest-is_top_growth_7d-20260608T144032Z,random_forest,classification,is_top_growth_7d,7d,18407,6136,1.0,0.010571,0.98788,0.933884,0.039073,,,,precision_at_10,1.0,-999.0,-999.0,False,medium,,,2026-06-08T14:40:32.520609+00:00
shorts,shorts-shallow_tree-is_top_growth_7d-20260608T144032Z,shallow_tree,classification,is_top_growth_7d,7d,18407,6136,0.8,0.008457,0.961996,0.764866,0.058326,,,,precision_at_10,0.8,-0.2,-0.2,False,high,,,2026-06-08T14:40:32.520609+00:00
shorts,shorts-linear_regularized-future_log_views_delta_7d-20260608T144032Z,linear_regularized,regression,future_log_views_delta_7d,7d,18407,6136,,,,,,0.482355,0.672315,0.982532,spearman_corr,0.982532,0.394143,0.394143,True,high,,,2026-06-08T14:40:32.520609+00:00
shorts,shorts-random_forest-future_log_views_delta_7d-20260608T144032Z,random_forest,regression,future_log_views_delta_7d,7d,18407,6136,,,,,,0.682798,0.887975,0.958704,spearman_corr,0.958704,0.370315,0.370315,False,medium,,,2026-06-08T14:40:32.520609+00:00
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260608T144032Z,shallow_tree,regression,future_log_views_delta_7d,7d,18407,6136,,,,,,0.947385,1.222578,0.919583,spearman_corr,0.919583,0.331194,0.331194,False,high,,,2026-06-08T14:40:32.520609+00:00
videos,videos-linear_regularized-is_top_growth_7d-20260608T144047Z,linear_regularized,classification,is_top_growth_7d,7d,30846,10282,1.0,0.006532,0.995863,0.977401,0.022501,,,,precision_at_10,1.0,-999.0,-999.0,True,high,,,2026-06-08T14:40:47.441392+00:00
videos,videos-random_forest-is_top_growth_7d-20260608T144047Z,random_forest,classification,is_top_growth_7d,7d,30846,10282,1.0,0.006532,0.990252,0.949184,0.037606,,,,precision_at_10,1.0,-999.0,-999.0,False,medium,,,2026-06-08T14:40:47.441392+00:00
videos,videos-shallow_tree-is_top_growth_7d-20260608T144047Z,shallow_tree,classification,is_top_growth_7d,7d,30846,10282,1.0,0.006532,0.97441,0.812039,0.047802,,,,precision_at_10,1.0,-999.0,-999.0,False,high,,,2026-06-08T14:40:47.441392+00:00
videos,videos-linear_regularized-future_log_views_delta_7d-20260608T144047Z,linear_regularized,regression,future_log_views_delta_7d,7d,30846,10282,,,,,,0.386834,0.525842,0.989779,spearman_corr,0.989779,0.378516,0.378516,True,high,,,2026-06-08T14:40:47.441392+00:00
videos,videos-random_forest-future_log_views_delta_7d-20260608T144047Z,random_forest,regression,future_log_views_delta_7d,7d,30846,10282,,,,,,0.558295,0.732644,0.972465,spearman_corr,0.972465,0.361202,0.361202,False,medium,,,2026-06-08T14:40:47.441392+00:00
videos,videos-shallow_tree-future_log_views_delta_7d-20260608T144047Z,shallow_tree,regression,future_log_views_delta_7d,7d,30846,10282,,,,,,0.834135,1.067029,0.928976,spearman_corr,0.928976,0.317713,0.317713,False,high,,,2026-06-08T14:40:47.441392+00:00
