video_id,execution_date,channel_id,channel_name,title,content_format,views_delta,engagement_rate,comment_rate,video_age_days,duration_bucket,alpha_score,opportunity_score,trend_burst_score,evergreen_score,packaging_problem_score,metric_confidence_score,channel_momentum_score,channel_relative_success_score,title_length_chars,has_number,has_question,has_ai_word,has_finance_word,metadata_changed
QAkEMtJpq3c,2026-05-18T12:49:30.314781+00:00,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,"Hit The Button, Win $1,000",shorts,22910648.0,0.009588,0.00039,2.867596,short,63.429305,60.296247,47.892848,,0.0,49.0,36.057692,81.110213,26.0,True,False,False,False,False
A_TI_Wct288,2026-05-18T12:49:30.314781+00:00,UCGmnsW623G1r-Chmo5RB4Yw,KSI,"$1 vs $50,000 Katana",shorts,3790704.0,0.021519,8e-05,2.844923,short,72.341543,72.230471,49.43073,,0.0,49.0,36.057692,89.059553,20.0,True,False,False,False,False
hCuqh2NU2Yg,2026-05-18T12:49:30.314781+00:00,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,World's Fastest Date,shorts,3305183.0,0.022614,0.000173,5.867631,short,61.763024,55.494701,55.121098,,0.0,49.0,36.057692,50.107788,20.0,False,False,False,False,False
PJmv9cFz6bw,2026-05-18T12:49:30.314781+00:00,UCvCfpQXRXdJdL07pzTIA6Cw,Kai Cenat Live,Kai Cenat & Druski Thought They Would Win The MVP Award 😂,shorts,2518206.0,0.012854,5e-05,0.967122,short,71.035342,70.676376,51.553725,,0.0,82.0,36.057692,92.454864,57.0,False,False,False,False,False
dqpCvSU-ECE,2026-05-18T12:49:30.314781+00:00,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,If This Goes In You Have To Subscribe,shorts,866851.0,0.055264,0.00279,0.867712,short,70.703283,63.462182,60.550156,,48.89185,49.0,36.057692,21.719213,37.0,False,False,False,False,False
fp77qbUJJbQ,2026-05-18T12:49:30.314781+00:00,UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,"Break The Glass, YOU LOSE",shorts,786522.0,0.018338,3.3e-05,4.618916,short,63.385667,58.781959,56.240826,,0.0,46.0,36.057692,64.45702,25.0,False,False,False,False,False
gNwzZxHjEOs,2026-05-18T12:49:30.314781+00:00,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,I Tried Anti-Scream Devices,shorts,668194.0,0.044362,0.000325,2.815536,short,81.088308,84.13085,66.493073,,16.533439,100.0,90.865385,98.194557,27.0,False,False,False,False,False
C-nqRY6WLZQ,2026-05-18T12:49:30.314781+00:00,UCvCfpQXRXdJdL07pzTIA6Cw,Kai Cenat Live,Druski Is Shocked By How Much Kai Cenat Looks Like Diddy 😭,shorts,638671.0,0.016351,0.000218,0.962735,short,71.045529,69.655012,52.403136,,0.0,82.0,36.057692,81.56831,58.0,False,False,False,False,False
V52uRy6jcLs,2026-05-18T12:49:30.314781+00:00,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,I Bought The World’s Itchiest Shirt,shorts,437571.0,0.045507,0.000491,0.815559,short,84.385181,87.903372,61.621812,,20.77544,100.0,90.865385,97.413096,35.0,False,False,False,False,False
CzuO_VH3lEc,2026-05-18T12:49:30.314781+00:00,UCvCfpQXRXdJdL07pzTIA6Cw,Kai Cenat Live,Ed Sheeran Has Unlimited Aura 🔥,shorts,402453.0,0.01807,9.2e-05,2.019298,short,69.069983,66.845746,48.842987,,0.0,82.0,36.057692,76.690919,31.0,False,False,False,False,False
