video_id,lsa_1,lsa_2,lsa_3,lsa_4,lsa_5,lsa_6,lsa_7,lsa_8,lsa_9,lsa_10,lsa_11,lsa_12,lsa_13,lsa_14,lsa_15,lsa_16,lsa_17,lsa_18,lsa_19,lsa_20
1djBIY7HO0k,0.04264481,0.00871641,0.05696294,0.05836554,-0.0302229,0.35913681,-0.06293613,-0.01050854,0.12035872,0.84084264,0.20371016,0.10962803,-0.00831845,0.05032697,-0.09554714,0.08266577,0.05754034,0.01333561,-0.05165355,0.09707901
n-gYFcVx-8Y,0.00628227,0.00318485,0.02167305,0.02204182,-0.00709299,0.09621518,-0.03093831,0.01738395,-0.0124376,-0.02774884,-0.01020442,-0.00713654,-0.00655391,0.00069464,-0.07593499,-0.02013553,-0.03045719,-0.01175946,0.02317422,-0.04694508
wDUtigax8Lg,0.00371349,0.00131291,0.00942699,0.00644938,-0.00836343,0.04524206,-0.01739932,0.00681538,0.00152678,-0.00355171,0.00503844,-0.00094906,-0.00133764,-0.00094153,0.0299114,-0.0010667,-0.00175884,-0.00312178,0.01309491,-0.01307877
0idqiLonGYI,0.05919497,0.08222213,-0.01761547,0.00235882,-0.00373653,0.0660533,-0.02670115,0.04456193,0.02726588,0.01881223,0.01458496,0.01089607,-0.00178075,-0.00297521,0.03660454,-0.01828355,-0.01517637,-0.01238996,0.02345156,0.00698687
N5iBaZ5gnfE,0.01201255,0.00051719,0.03112844,0.03156107,-0.0063646,0.2516615,-0.09653162,0.04368434,-0.01215082,-0.03809813,-0.00182061,0.00806745,-0.03542402,0.00778776,-0.2869496,-0.04326607,-0.13459832,-0.00261854,0.04920379,-0.09866556
MjWI_rWQL68,0.01434383,0.0091436,0.03968449,0.02457637,-0.03016288,0.16712251,-0.02881138,-0.03184963,0.07138866,0.5182894,0.10819848,0.06034321,-0.03705067,-0.00023912,-0.19738487,0.06833701,0.07278265,0.08417118,-0.07576774,0.10600816
GlOQIsLX2rA,0.02606783,0.00822622,0.04085622,0.02962201,-0.04847979,0.00879775,0.01560521,-0.038753,0.01171306,0.0022873,0.01644703,-0.03021605,0.00862679,-0.01955613,-0.03325422,-0.07664763,-0.01930673,-0.08721656,-0.02314429,-0.02988267
SzG_O-In1vg,0.01080555,-0.00358631,0.01044597,0.010533,-0.00664577,0.05031738,-0.01697798,0.00051885,0.00535858,0.03992532,0.00940125,0.00238793,-0.00542285,-0.00099647,-0.02497136,-0.01237582,-0.04604149,0.00697247,0.00860485,-0.00620772
T_LWKGJDKgo,0.01788605,0.01367211,0.04077548,0.03561524,-0.03404276,0.17911729,-0.01878743,-0.05042935,0.09194023,0.65955846,0.13201547,0.08100651,-0.04316354,0.00953294,-0.24278943,0.08495227,0.07960756,0.06613944,-0.080718,0.11970148
GREaEG_0Xcw,0.01483585,0.00467469,0.0228944,0.0132228,-0.02116644,0.06381746,-0.00982512,-0.00713546,0.0146994,-0.02190055,-0.01473484,-0.0135803,-0.00072541,-0.01743319,0.04428568,-0.01494054,0.02581305,0.05354445,-0.01237338,-0.0061268
