content_format,keyword,semantic_group,video_count,total_views_delta,avg_engagement_rate,top_video_title
videos,ia,ai_tools,1593,1605722.0,0.03171,"Professor Jiang: World War 3 Is About To Begin, Let Me Explain!"
videos,ai,ai_tools,763,903558.0,0.024836,"Professor Jiang: World War 3 Is About To Begin, Let Me Explain!"
videos,trump,general,643,12468.0,0.0183,"Cole Allen, Trump y los 11 científicos desaparecidos"
shorts,ia,ai_tools,628,1561263.0,0.02767,Financial Audit Guest Demands Money From Me
shorts,shorts,general,606,163728.0,0.049835,Estas son las personas más raras que existen #shorts
videos,2026,general,535,31592.0,0.026954,Cómo Crear Una Tienda De Dropshipping En 2026
videos,china,general,393,64307.0,0.019212,China rechaza a Zuckerberg (otra vez)
shorts,ai,ai_tools,368,646278.0,0.034464,"""How Do I Raise My Prices?"""
videos,live,general,323,1309.0,0.012917,How Much You Need Invested to Live Off Dividends in 2026
videos,highlights,general,296,0.0,0.022633,5 highlights from the Trump-Xi summit in China
videos,with,general,267,14941.0,0.018267,"""How Do I Deal With Negative Reviews?"""
videos,news,general,254,63.0,0.021789,"AI NEWS | OpenAI Lawsuit, Google Hacks, Grok Build Beta"
videos,para,general,247,102647.0,0.03733,Se acabó la IA GRATIS (sobre todo para HISPANOHABLANTES)
videos,iran,general,247,0.0,0.016275,CIERRE DE WALL STREET: TRUMP LLEGA A PEKÍN MIENTRAS IRAN Y LA INFLACIÓN SACUDEN EL MERCADO EN EEUU
videos,full,general,222,13336.0,0.017206,How I Render | Full Digital Art Process
videos,méxico,general,189,47550.0,0.044191,ASÍ TE ROBAN EN LOS CONCIERTOS: BTS en MÉXICO - Ruido Social
shorts,trump,general,179,2203.0,0.01625,Trump desclasifica informes del FBI sobre... extraterrestres
videos,noticia,news_trends,157,4523.0,0.019843,El aterrador manifiesto de Palantir. #diegoruzzarin #noticias
videos,noticias,general,156,4556.0,0.017631,El aterrador manifiesto de Palantir. #diegoruzzarin #noticias
videos,game,general,153,5741.0,0.021992,The worst subscriber game I've ever seen. I'm done. Goodbye.
videos,says,general,148,0.0,0.018852,"Goldman says the economy is bending, not breaking"
videos,after,general,144,50632.0,0.018504,I Tested Places After Closing (Again)
videos,from,general,142,25505.0,0.023395,The call is coming from inside the house
shorts,with,general,138,33038.0,0.02064,I Went To School With Her Husband
videos,hantavirus,general,135,3930.0,0.019612,"Brote de Hantavirus, PCOS recibe otro nombre y fetos que bostezan- JefiNews Mayo 2"
videos,youtube,general,133,9481.0,0.015726,Escúchalo completo en Más Allá del Rosa en YouTube
shorts,esto,general,131,64573.0,0.071477,Me cambió la vida cuando Jaime Higuera dijo esto #shorts
videos,summit,general,125,0.0,0.011145,"Yahoo Finance Live: Dow, S&P 500, Nasdaq rise as Nvidia jumps, Trump-Xi summit kicks off"
videos,what,general,119,244460.0,0.0241,What's Hidden Under Antarctica?
videos,país,general,116,5707.0,0.019821,Cómo PERÚ amenaza la GUERRA de los CHIPS: el país que puede PARALIZAR la IA @VisualPolitik
videos,real,general,111,6744.0,0.025858,AI Music Scammer Gets Caught Then Hires Real Humans
shorts,para,general,109,8751.0,0.029934,"Platzi lanza AI Academy, la ruta completa para dominar IA"
videos,starmer,general,109,0.0,0.014812,ÚLTIMA HORA | El fin de Starmer en Reino Unido: Burnham recibe el apoyo para controlar el Parlamento
shorts,this,general,108,424134.0,0.027455,"This Civil Engineer Makes $150,000!"
videos,jinping,general,105,807.0,0.016822,Xi Jinping humilla a Trump? #china #usa
videos,tras,general,104,376.0,0.024119,"Talibanes Cruzan Montañas Hacia China Tras 80 Años Aislados, pero China Cierra la Salida"
videos,world,general,102,600307.0,0.024222,"Professor Jiang: World War 3 Is About To Begin, Let Me Explain!"
videos,sony,general,99,0.0,0.006134,Sony Xperia 1 VI (2026): ¿El smartphone más caro de la historia vale 1.868€?
videos,final,general,98,30715.0,0.022595,EBT Final Boss | Financial Audit
videos,mayo,general,98,4390.0,0.018355,"Brote de Hantavirus, PCOS recibe otro nombre y fetos que bostezan- JefiNews Mayo 2"
videos,sign,general,98,0.0,0.005702,Innocent Professor | Crime Patrol Satark | Inspector Series | Sign up for Sony LIV on YouTube
videos,episode,general,95,0.0,0.01467,Is inflation putting the AI rally at risk? [Opening Bid Full Episode]
videos,over,general,93,37697.0,0.022553,GERMANY IS OVER
videos,cómo,tutorial,92,59943.0,0.052138,Negociador Del FBI: Cómo Leer La Mente De Cualquiera Y Detectar Mentiras En Segundos
videos,está,general,92,21956.0,0.040804,Ozempic está DESTRUYENDO negocios que NADIE esperaba
videos,directo,general,91,41135.0,0.018807,Pensó Que Apagó Directo e Intentó Lo Peor
videos,watch,general,91,0.0,0.016762,"moto watch special edition, el RELOJ QUE QUIERES COMPRAR #motowatchspecialedition #urbantecno"
videos,this,general,89,55746.0,0.033297,I'm giving away $15k+ worth of Morgan Silver Dollars and a $3k+ Gold Coin this Saturday May 16th ⬇️
videos,cómo,general,89,60022.0,0.052944,Negociador Del FBI: Cómo Leer La Mente De Cualquiera Y Detectar Mentiras En Segundos
videos,irán,general,89,11164.0,0.026678,¿Se acerca el FIN de NETANYAHU? El ERROR estratégico en IRÁN que ISRAEL no perdona @VisualPolitik
videos,about,general,88,580650.0,0.024657,"Professor Jiang: World War 3 Is About To Begin, Let Me Explain!"
shorts,bbcnews,general,88,0.0,0.013431,Crew safe after fighter jets collide at US air show #BBCNews
shorts,este,general,84,21644.0,0.042355,Este efecto táctil te hará sentir DOBLE
shorts,after,general,83,31400.0,0.021915,Foods Named After Celebrities
shorts,2026,general,83,4366.0,0.022296,Cars Are WAY Too Expensive in 2026
videos,hora,general,83,0.0,0.022731,Todo el MERCADO parece CARO… ¿Es hora de vender? INVERSOR experto ANALIZA 💰
shorts,from,general,81,540139.0,0.021413,Financial Audit Guest Demands Money From Me
videos,sobre,general,81,59901.0,0.032155,Se acabó la IA GRATIS (sobre todo para HISPANOHABLANTES)
videos,contra,general,81,354.0,0.038332,Una Aldea POBRE contra un Güerito...
