content_format,topic,video_count,channel_count,total_views_delta,avg_views_delta,avg_engagement_rate,avg_alpha_score,avg_decision_score,avg_hybrid_decision_score,avg_model_score_percentile,topic_velocity_score,topic_saturation_score,topic_opportunity_score,top_video_id,top_video_title,top_channel_name
shorts,unknown,4367,223,105084612.0,24063.3414,0.026774,40.7522,10.0316,32.609,47.4556,100.0,72.7422,82.2028,QAkEMtJpq3c,"Hit The Button, Win $1,000",El Mundo
shorts,ai_tools,1634,136,14814558.0,9066.437,0.025741,39.9442,11.0399,30.3085,42.9133,93.3333,66.5696,75.6489,uW4B6ziQqvY,What is Gemini Omni?,Reuters
videos,unknown,8538,366,68360588.0,8006.6278,0.027639,40.5871,9.8268,31.7069,46.0783,86.6667,76.2268,80.9053,AaMdXZMvT3w,"Survive 30 Days On An Island With Your Ex, Win $250,000",Firstpost
videos,ai_tools,4195,243,14235043.0,3393.3356,0.026921,39.0486,10.4049,30.1257,43.0358,73.3333,69.6641,72.0852,tTi2uZQsmlo,TWS (투어스) '너의 모든 가능성이 되어 줄게' Official MV,Firstpost
videos,tutorial,172,59,576462.0,3351.5233,0.047881,41.274,23.3514,34.812,41.8263,66.6667,60.1454,76.0464,8-MZLqVumkk,"Quién era el fundador de Mango, cómo murió y por qué acusan a su hijo",COMPUESTOS Podcast
videos,news_trends,537,35,488797.0,910.2365,0.022499,33.8219,10.9723,25.5977,35.1751,20.0,57.2011,40.5373,Mj30PRb3r3I,⭐NUEVO⭐ Blippi y Elmo en la Estación de Bomberos 🚒👨‍🚒 Plaza Sésamo y Blippi,Imagen Noticias
videos,productivity,30,18,190792.0,6359.7333,0.040777,52.6593,16.3874,45.0871,64.2202,80.0,33.3334,76.005,IVImmuoYrfU,Necesitamos un Tiempo ft. @JuegaGerman,Negocios TV
unknown,unknown,89,32,233280.0,2621.1236,0.023682,7.1212,5.6912,0.0,0.0,60.0,43.9214,40.3828,DYHs0O78H48,Best of Penta: Full Match Marathon,Peppa Pig - Official Channel
videos,finance_personal,109,34,199437.0,1829.6972,0.045903,41.4236,28.2223,36.3538,40.8641,53.3333,47.5413,66.4997,IeUqSXHpeYg,"""Invirtiendo"" Todo Mi Dinero HASTA HACERME MILLONARIO",Mis Propias Finanzas
shorts,tutorial,82,28,149537.0,1823.622,0.029291,33.9345,24.3882,31.3843,35.4415,46.6667,39.8211,55.1909,I8poL_Uxv8I,QUICK! HIDE!... Tutorial (Part 3),Inteligencia Artificial
shorts,news_trends,112,21,105899.0,945.5268,0.018045,31.5354,8.2308,23.105,32.9442,26.6667,43.9554,36.499,BBab9n8ssng,Las 5 noticias de la noche: (20-05-2026),Imagen Noticias
unknown,ai_tools,28,16,26776.0,956.2857,1.074075,5.5899,4.8071,0.0,0.0,33.3333,26.0357,41.2773,AYyhsqA8a4w,🔴 LIVE 🏆 Top Baby Shark Dance Songs | Summer Special Spooky Baby Sharks 🦈 | @Pinkfong Official,Firstpost
shorts,finance_personal,46,19,59764.0,1299.2174,0.049149,42.1547,25.2985,33.9428,39.0746,40.0,36.5579,60.6533,7GXMpV77Egk,ÚLTIMA HORA | ¿Sin dinero para la guerra? Filtran cuándo podría EEUU colapsar militarmente ante Irán,Omar - Educación Financiera
shorts,productivity,14,10,3721.0,265.7857,0.040211,39.9341,27.0628,32.3303,34.9606,13.3333,27.2381,42.1236,YizJyo3g5z8,"Los jugadores del ARSENAL al Manchester CITY: ""No tenemos tiempo para PERDEDORES"" #shorts",Jaime Higuera
unknown,finance_personal,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,8.25,1sofoaFEV58,Los 3 primeros pasos para comenzar a invertir desde cero.,Pao Almontes
unknown,news_trends,3,3,0.0,0.0,0.024366,0.0,16.8632,0.0,0.0,6.6667,24.3334,18.3393,67NGow3dYck,"LAS NOTICIAS: Rubio sacude a Europa, Trump tensiona Ormuz y Zapatero se juega la cárcel en España",Negocios TV
